s,x,y,kappa,theta,radial_dot
8.639999999999999902e-01,-1.300541677538202545e-01,7.219490812942490621e-01,3.151791373949645703e+00,2.618701833623339859e+00,4.732080389866628600e-01
8.645000000000000462e-01,-1.304875573938677202e-01,7.221984269558634484e-01,3.266855929414612003e+00,2.620306495449181039e+00,4.728079617981452154e-01
8.649999999999999911e-01,-1.309213538218541584e-01,7.224470642142094556e-01,3.384765555236914025e+00,2.621969400820343576e+00,4.723739304731925381e-01
8.655000000000000471e-01,-1.313555704915271849e-01,7.226949668126850801e-01,3.505407317529966260e+00,2.623691944038535340e+00,4.719050240574015342e-01
8.659999999999999920e-01,-1.317902210625555848e-01,7.229421078297117997e-01,3.628650056036337723e+00,2.625475458381926863e+00,4.714003468252703777e-01
8.665000000000000480e-01,-1.322253193752768452e-01,7.231884597027369299e-01,3.754343794914651422e+00,2.627321206844664747e+00,4.708590334291439805e-01
8.669999999999999929e-01,-1.326608794230108579e-01,7.234339942563354775e-01,3.882319255768144739e+00,2.629230372607335386e+00,4.702802542732228974e-01
8.675000000000000488e-01,-1.330969153219485335e-01,7.236786827345588202e-01,4.012387486402180237e+00,2.631204049292878100e+00,4.696632210905887783e-01
8.679999999999999938e-01,-1.335334412786413072e-01,7.239224958376564434e-01,4.144339618539861547e+00,2.633243231069113399e+00,4.690071926973014560e-01
8.685000000000000497e-01,-1.339704715551474912e-01,7.241654037632735408e-01,4.277946767245915716e+00,2.635348802665560264e+00,4.683114808936495455e-01
8.689999999999999947e-01,-1.344080204319110516e-01,7.244073762521987536e-01,4.412960084089079693e+00,2.637521529378393570e+00,4.675754564786505640e-01
8.695000000000000506e-01,-1.348461021684815020e-01,7.246483826387087879e-01,4.549110975109678101e+00,2.639762047143193513e+00,4.667985553399334187e-01
8.699999999999999956e-01,-1.352847309622047800e-01,7.248883919055204572e-01,4.686111493442565390e+00,2.642070852760331157e+00,4.659802845772834656e-01
8.705000000000000515e-01,-1.357239209050496720e-01,7.251273727433292793e-01,4.823654914978343200e+00,2.644448294362436780e+00,4.651202286144114906e-01
8.709999999999999964e-01,-1.361636859387563570e-01,7.253652936148704544e-01,4.961416503730656125e+00,2.646894562217113833e+00,4.642180552500438373e-01
8.715000000000000524e-01,-1.366040398085275887e-01,7.256021228234030840e-01,5.099054471627145979e+00,2.649409679960953667e+00,4.632735215962332509e-01
8.719999999999999973e-01,-1.370449960155044611e-01,7.258378285854710787e-01,5.236211135272113459e+00,2.651993496362678115e+00,4.622864798490007865e-01
8.725000000000000533e-01,-1.374865677683007326e-01,7.260723791077549061e-01,5.372514269861654590e+00,2.654645677713961760e+00,4.612568828340402605e-01
8.729999999999999982e-01,-1.379287679338878636e-01,7.263057426677788087e-01,5.507578657896474716e+00,2.657365700945900855e+00,4.601847892684007291e-01
8.735000000000000542e-01,-1.383716089881511790e-01,7.265378876981966050e-01,5.641007827668460095e+00,2.660152847567292422e+00,4.590703686778072612e-01
8.739999999999999991e-01,-1.388151029664510261e-01,7.267687828743292222e-01,5.772395973733202901e+00,2.663006198517642531e+00,4.579139059087270480e-01
8.745000000000000551e-01,-1.392592614145451990e-01,7.269983972045862552e-01,5.901330048765778713e+00,2.665924630023267738e+00,4.567158051744380498e-01
8.750000000000000000e-01,-1.397040953402351460e-01,7.272267001233544415e-01,6.027392013381948743e+00,2.668906810538804297e+00,4.554765935753235517e-01
8.755000000000000560e-01,-1.401496151661140444e-01,7.274536615858994137e-01,6.150161227740994718e+00,2.671951198849085163e+00,4.541969240353990744e-01
8.760000000000000009e-01,-1.405958306837922500e-01,7.276792521647804657e-01,6.269216966085164877e+00,2.675056043397541217e+00,4.528775775997577746e-01
8.765000000000000568e-01,-1.410427510099822590e-01,7.279034431472463096e-01,6.384141032868133614e+00,2.678219382897280010e+00,4.515194650411771815e-01
8.770000000000000018e-01,-1.414903845448135522e-01,7.281262066330437266e-01,6.494520456834439237e+00,2.681439048269705250e+00,4.501236277286209120e-01
8.775000000000000577e-01,-1.419387389327441962e-01,7.283475156320433630e-01,6.599950237390873831e+00,2.684712665943262078e+00,4.486912377157264986e-01
8.780000000000000027e-01,-1.423878210264146460e-01,7.285673441610608370e-01,6.700036115901387035e+00,2.688037662531584715e+00,4.472235970136436700e-01
8.785000000000000586e-01,-1.428376368537757346e-01,7.287856673392373308e-01,6.794397343193208982e+00,2.691411270896358676e+00,4.457221360196398363e-01
8.790000000000000036e-01,-1.432881915887914137e-01,7.290024614813263026e-01,6.882669413615164267e+00,2.694830537585560570e+00,4.441884110807560737e-01
8.795000000000000595e-01,-1.437394895259942462e-01,7.292177041882320632e-01,6.964506735480392230e+00,2.698292331622834883e+00,4.426241011802967695e-01
8.800000000000000044e-01,-1.441915340591319317e-01,7.294313744341448524e-01,7.039585207670889133e+00,2.701793354608622355e+00,4.410310037440540176e-01
8.805000000000000604e-01,-1.446443276641118658e-01,7.296434526496259343e-01,7.107604672602276352e+00,2.705330152078690986e+00,4.394110295727033932e-01
8.810000000000000053e-01,-1.450978718864046335e-01,7.298539208000125456e-01,7.168291216650399811e+00,2.708899126051003581e+00,4.377661969166993239e-01
8.815000000000000613e-01,-1.455521673330305576e-01,7.300627624585370734e-01,7.221399290515986280e+00,2.712496548677795438e+00,4.360986247200200894e-01
8.820000000000000062e-01,-1.460072136692017741e-01,7.302699628735824788e-01,7.266713623843316761e+00,2.716118576906384696e+00,4.344105250691786546e-01
8.825000000000000622e-01,-1.464630096196533615e-01,7.304755090295377284e-01,7.304050910684534159e+00,2.719761268040016944e+00,4.327041948937748739e-01
8.830000000000000071e-01,-1.469195529746434026e-01,7.306793897007591854e-01,7.333261245080226587e+00,2.723420596078957701e+00,4.309820069744364490e-01
8.835000000000000631e-01,-1.473768406005622755e-01,7.308815954981957574e-01,7.354229289064220687e+00,2.727092468712494444e+00,4.292464003229963243e-01
8.840000000000000080e-01,-1.478348684550396530e-01,7.310821189082923333e-01,7.366875158746929664e+00,2.730772744824446985e+00,4.274998700081406033e-01
8.845000000000000639e-01,-1.482936316064003557e-01,7.312809543238496524e-01,7.371155017725944170e+00,2.734457252368565516e+00,4.257449565072345399e-01
8.850000000000000089e-01,-1.487531242572731061e-01,7.314780980665823718e-01,7.367061370852811208e+00,2.738141806465709926e+00,4.239842346715867460e-01
8.855000000000000648e-01,-1.492133397721237265e-01,7.316735484011895885e-01,7.354623055278719512e+00,2.741822227572243253e+00,4.222203023977803005e-01
8.860000000000000098e-01,-1.496742707084443569e-01,7.318673055408229100e-01,7.333904929642533155e+00,2.745494359568473097e+00,4.204557691018873111e-01
8.865000000000000657e-01,-1.501359088513054552e-01,7.320593716439128817e-01,7.305007266177018010e+00,2.749154087617428299e+00,4.186932440962111146e-01
8.870000000000000107e-01,-1.505982452509455338e-01,7.322497508023864121e-01,7.268064854322368262e+00,2.752797355647552902e+00,4.169353249696811647e-01
8.875000000000000666e-01,-1.510612702630586002e-01,7.324384490213859955e-01,7.223245828082958120e+00,2.756420183318154749e+00,4.151845860730620785e-01
8.880000000000000115e-01,-1.515249735914168672e-01,7.326254741906697010e-01,7.170750232778491551e+00,2.760018682333369888e+00,4.134435672087855562e-01
8.885000000000000675e-01,-1.519893443324615845e-01,7.328108360479443917e-01,7.110808349966561970e+00,2.763589071979056566e+00,4.117147626224387791e-01
8.890000000000000124e-01,-1.524543710214822656e-01,7.329945461344502533e-01,7.043678802096099645e+00,2.767127693767071683e+00,4.100006103888609310e-01
8.895000000000000684e-01,-1.529200416800100826e-01,7.331766177431759957e-01,6.969646460850079883e+00,2.770631025082808563e+00,4.083034822804170738e-01
8.900000000000000133e-01,-1.533863438640484522e-01,7.333570658601432646e-01,6.889020185115961148e+00,2.774095691744299597e+00,4.066256741985317946e-01
8.905000000000000693e-01,-1.538532647127782149e-01,7.335359070992494290e-01,6.802130416054619211e+00,2.777518479394592621e+00,4.049693972419937671e-01
8.910000000000000142e-01,-1.543207909973807190e-01,7.337131596312016502e-01,6.709326657814911776e+00,2.780896343663059600e+00,4.033367694771492484e-01
8.915000000000000702e-01,-1.547889091696445230e-01,7.338888431071163287e-01,6.610974873049859646e+00,2.784226419045776169e+00,4.017298084659314816e-01
8.920000000000000151e-01,-1.552576054100341663e-01,7.340629785773862270e-01,6.507454822541414607e+00,2.787506026469673603e+00,4.001504245980058161e-01
8.925000000000000711e-01,-1.557268656749277169e-01,7.342355884064430960e-01,6.399157377942551683e+00,2.790732679519794868e+00,3.986004152632194319e-01
8.930000000000000160e-01,-1.561966757427475649e-01,7.344066961840587382e-01,6.286481835926111650e+00,2.793904089323261619e+00,3.970814598903072978e-01
8.935000000000000719e-01,-1.566670212587416289e-01,7.345763266338368735e-01,6.169833260914054485e+00,2.797018168097471946e+00,3.955951158675093948e-01
8.940000000000000169e-01,-1.571378877781920425e-01,7.347445055195483965e-01,6.049619882090652823e+00,2.800073031383222943e+00,3.941428153506489895e-01
8.945000000000000728e-01,-1.576092608078636659e-01,7.349112595499600609e-01,5.926250568613657954e+00,2.803066998995899173e+00,3.927258629543939339e-01
8.950000000000000178e-01,-1.580811258455254720e-01,7.350766162827890859e-01,5.800132404884566384e+00,2.805998594739273599e+00,3.913454343130874369e-01
8.955000000000000737e-01,-1.585534684174129127e-01,7.352406040284044098e-01,5.671668385462205642e+00,2.808866544936860610e+00,3.900025754887641583e-01
8.960000000000000187e-01,-1.590262741135200220e-01,7.354032517538648950e-01,5.541255246761811470e+00,2.811669775844916508e+00,3.886982031959193007e-01
8.964999999999999636e-01,-1.594995286206425944e-01,7.355645889878604793e-01,5.409281450120125179e+00,2.814407410019136524e+00,3.874331058053314680e-01
8.970000000000000195e-01,-1.599732177531137944e-01,7.357246457270860684e-01,5.276125328181815455e+00,2.817078761713712520e+00,3.862079450828570515e-01
8.974999999999999645e-01,-1.604473274812003580e-01,7.358834523445408893e-01,5.142153403917308907e+00,2.819683331396737103e+00,3.850232586136442814e-01
8.980000000000000204e-01,-1.609218439571499792e-01,7.360410395002076056e-01,5.007718888964896031e+00,2.822220799469957964e+00,3.838794628576902013e-01
