x_lo,x_hi,y_lo,y_hi,depth,block_upper
8.383333333333333,8.4,-0.12666666666666668,-0.12,0,-0.0001984837303683209
8.383333333333333,8.4,-0.13333333333333336,-0.12666666666666668,0,-0.00023412456629376855
8.383333333333333,8.4,-0.14,-0.13333333333333336,0,-0.000266973954503774
8.383333333333333,8.4,-0.14666666666666667,-0.14,0,-0.0002963385426014737
8.383333333333333,8.4,-0.15333333333333335,-0.14666666666666667,0,-0.0003214975526677409
8.383333333333333,8.4,-0.16,-0.15333333333333335,0,-0.0003417038914261605
8.383333333333333,8.4,-0.16666666666666669,-0.16,0,-0.00035618526765187307
8.383333333333333,8.4,-0.17333333333333334,-0.16666666666666669,0,-0.0003641453203739305
8.383333333333333,8.4,-0.18,-0.17333333333333334,0,-0.0003647647694107859
8.383333333333333,8.4,-0.18666666666666668,-0.18,0,-0.00035720260773266333
8.383333333333333,8.4,-0.19333333333333336,-0.18666666666666668,0,-0.0003405973622361501
8.383333333333333,8.4,-0.2,-0.19333333333333336,0,-0.0003140684549646627
8.366666666666667,8.383333333333333,-0.10666666666666667,-0.1,0,-7.411354716261712e-05
8.366666666666667,8.383333333333333,-0.11333333333333334,-0.10666666666666667,0,-0.00010299906648767202
8.366666666666667,8.383333333333333,-0.12,-0.11333333333333334,0,-0.00013084062277901804
8.366666666666667,8.383333333333333,-0.12666666666666668,-0.12,0,-0.00015713713006024034
8.366666666666667,8.383333333333333,-0.13333333333333336,-0.12666666666666668,0,-0.00018136480551595114
8.366666666666667,8.383333333333333,-0.14,-0.13333333333333336,0,-0.0002029786363763532
8.366666666666667,8.383333333333333,-0.14666666666666667,-0.14,0,-0.0002214138763304716
8.366666666666667,8.383333333333333,-0.15333333333333335,-0.14666666666666667,0,-0.0002360875434183901
8.366666666666667,8.383333333333333,-0.16,-0.15333333333333335,0,-0.00024639989797752595
8.366666666666667,8.383333333333333,-0.16666666666666669,-0.16,0,-0.00025173588972235596
8.366666666666667,8.383333333333333,-0.17333333333333334,-0.16666666666666669,0,-0.00025146657645466205
8.366666666666667,8.383333333333333,-0.18,-0.17333333333333334,0,-0.00024495053180162847
8.366666666666667,8.383333333333333,-0.18666666666666668,-0.18,0,-0.00023153527414179222
8.366666666666667,8.383333333333333,-0.19333333333333336,-0.18666666666666668,0,-0.00021055876192842797
8.366666666666667,8.383333333333333,-0.2,-0.19333333333333336,0,-0.0001813510105526925
8.35,8.366666666666667,-0.10666666666666667,-0.1,0,-6.528818958504779e-05
8.35,8.366666666666667,-0.11333333333333334,-0.10666666666666667,0,-8.57053315798896e-05
8.35,8.366666666666667,-0.12,-0.11333333333333334,0,-0.00010504939185071286
8.35,8.366666666666667,-0.12666666666666668,-0.12,0,-0.00012291309151085997
