h,d,ratio,N,max_radius,lambda_min,lambda_max,gram_min
0.08,0.24,3.0,9,2.2399999999999998,0.03094442711827468,1.3870224732969754,0.47898767598562075
0.12,0.3,2.5,5,1.68,0.032212666647623824,0.5534634282551412,0.4735147899465777
0.08,0.32,4.0,7,2.2399999999999998,0.033680751708129855,1.2766346899316536,0.47936507936507927
0.1,0.25,2.5,7,1.9,0.036899553524577126,0.8741469500467243,0.47312396607971624
0.06,0.09,1.5,5,0.6,0.03838876093076424,1.6063270239715637,0.31674154879056965
0.08,0.28,3.5,7,2.0,0.041459270398641626,1.0356456047861915,0.47936221515516003
0.1,0.4,4.0,5,2.0,0.05319848033219412,0.6515400671136716,0.47936507936507927
0.1,0.2,2.0,7,1.6,0.06432360934290293,1.120608998246221,0.4353708159121496
0.08,0.24,3.0,7,1.76,0.06798723932850062,1.2734600437301338,0.47899846050299455
0.12,0.24,2.0,5,1.44,0.07172127585894286,0.9178444947707928,0.43812577442295264
0.06,0.18,3.0,13,2.4000000000000004,0.07458296776170305,2.6673077683093354,0.47897820320947565
0.06,0.18,3.0,11,2.04,0.0786485976745909,2.2409434184865256,0.4789817754657822
0.06,0.18,3.0,9,1.68,0.08635725385499565,1.8661982881828805,0.47898767598562075
0.06,0.12,2.0,13,1.68,0.08672082460346195,2.0536627763890674,0.4329399406897425
0.08,0.16,2.0,9,1.6,0.08936632892907594,1.6802613626847276,0.4340766738272033
0.06,0.12,2.0,11,1.44,0.09397657067101976,1.952730932722793,0.4333686114465404
0.1,0.2,2.0,5,1.2000000000000002,0.0950088365808153,0.9943370768598186,0.43812577442295264
0.08,0.16,2.0,7,1.28,0.09764373155204611,1.2947238699737609,0.4353708159121496
0.08,0.28,3.5,5,1.4400000000000002,0.09837292858015266,0.9319298021857642,0.47936239451444174
0.08,0.16,2.0,5,0.96,0.10816942864870864,1.0631128279747328,0.43812577442295264
0.1,0.30000000000000004,3.0,5,1.6,0.11555306468393267,0.6433355082148945,0.4790214184905831
0.06,0.12,2.0,9,1.2,0.12198491097890396,1.674721627518965,0.4340766738272033
0.06,0.12,2.0,7,0.96,0.12353009069948837,1.3889903506962074,0.4353708159121496
0.06,0.24,4.0,13,3.12,0.1254872652612862,1.9622096462008578,0.47936507936507927
0.06,0.12,2.0,5,0.72,0.12825509022452164,1.3616496413778556,0.43812577442295264
0.06,0.24,4.0,11,2.6399999999999997,0.14925963053943245,1.4968268234018336,0.47936507936507927
0.06,0.24,4.0,9,2.16,0.1546566603576465,1.4575132968962112,0.47936507936507927
0.1,0.25,2.5,5,1.4,0.1598357839085266,0.8245119812933002,0.4735147899465777
0.08,0.2,2.5,7,1.5200000000000002,0.16003258628068964,1.0695402856028426,0.47312396607971624
0.08,0.32,4.0,5,1.6,0.1852147087969644,0.9340675116439057,0.47936507936507927
0.08,0.24,3.0,5,1.28,0.20127265004127934,1.0947542476457646,0.4790214184905831
0.06,0.21,3.5,13,2.76,0.2150856051134676,1.8187351617847782,0.4793620568950511
0.06,0.15,2.5,13,2.04,0.22108251140110452,2.049864123205288,0.472779117309561
0.06,0.24,4.0,7,1.68,0.22580789443976138,1.3817853397303983,0.47936507936507927
0.06,0.18,3.0,7,1.32,0.24378797844762826,1.6081356764754462,0.47899846050299455
0.06,0.15,2.5,11,1.74,0.2605536171910276,1.751539899469831,0.47283992939153086
0.08,0.2,2.5,5,1.12,0.2729701764462881,0.978209781521779,0.4735147899465777
0.06,0.21,3.5,11,2.34,0.284377715087221,1.7462087074941608,0.47936208480330406
0.06,0.15,2.5,9,1.44,0.2943020092258391,1.5807896371157004,0.47294037652222426
0.06,0.21,3.5,9,1.92,0.2995590604450992,1.593125495408575,0.47936213090111635
0.06,0.15,2.5,7,1.14,0.2997670854654679,1.2653190966027223,0.47312396607971624
0.06,0.15,2.5,5,0.84,0.3532840644713527,1.155545075809541,0.4735147899465777
0.06,0.24,4.0,5,1.2,0.37267246170513096,1.2475608312421158,0.47936507936507927
0.06,0.21,3.5,7,1.5,0.4205727596509836,1.4474376872648707,0.47936221515516003
0.06,0.18,3.0,5,0.96,0.44711079599304904,1.166809412438544,0.4790214184905831
0.06,0.21,3.5,5,1.08,0.5691481819965503,1.1228332433560901,0.47936239451444174
