N,A,mode,lambda_over_d,dx,energy,initial_curvature,line_length_factor,initial_min_separation,probe_min_separation,graph_event_time,slice_event_time,event_by_tmax,slice_event_by_tmax,initial_components,initial_cycle_rank,probe_components,probe_cycle_rank,initial_orientation_entropy,probe_orientation_entropy,orientation_jsd,edge_growth,probe_branch_fraction,projection_loss_probe,separation_collapse,initial_mode_power,probe_mode_power,initial_off_power,probe_off_power,spectral_leakage_gain,total_deformation_gain_log,spectral_entropy_change,G_proxy,R_proxy,D_proxy,runtime_seconds
40,1.4,7,0.7619047619047619,0.8,0.04696523008106234,0.2593407558813253,1.6386236310220135,3.1999999999999957,5.600000000000001,6.1499999999999995,6.1499999999999995,1,1,2,2,2,2,0.6279802245228493,0.8204044306259652,0.3976907289074888,0.0879687729459566,0.0,0.5789473684210527,-0.7500000000000026,1.0316911199105896,0.9302720900434349,0.0489088800894113,0.08392790995656263,0.03394332779577697,-0.0634163180489894,0.04565399868965413,0.03394332779577697,0.4856595018534454,1.1390588535740855,3.502107858657837
40,1.4,8,0.6666666666666666,0.8,0.05433167604549468,0.24500955150470885,1.7810087911815706,3.1999999999999957,4.800000000000001,,,0,0,2,2,2,2,0.627163236369738,0.9808340377961374,0.2078056469860775,0.08701137698962928,0.0,0.5833333333333333,-0.5000000000000021,0.9187467217919574,0.5934167011199735,0.002853278208042931,0.02098329888002648,0.019733426244615444,-0.4054651081076222,0.042698738444929905,0.019733426244615444,0.2948170239757068,0.8943749812179709,3.645829677581787
40,1.6,1,5.333333333333333,0.8,0.023624855486772102,0.05356281847956993,1.0242352285641818,2.3999999999999986,2.3999999999999986,3.75,3.75,1,1,2,2,2,2,0.43410971756178185,0.567678966997173,0.019890743362221092,0.040005334613698776,0.0,0.21568627450980393,0.0,1.3215512784004648,1.419300514203637,0.05184872159953691,0.11209948579636553,0.04559093936158674,0.1088929324923723,0.06244887230178488,0.15448387185395904,0.059896077975919865,0.26516254265243466,3.5581092834472656
40,1.6,2,2.6666666666666665,0.8,0.02555308880043527,0.1497887638182719,1.0923835473308647,2.3999999999999986,2.3999999999999986,,3.75,0,1,2,2,2,2,0.5637805949652523,0.5637805949652523,0.0,0.0,0.0,0.31034482758620685,0.0,1.3724604921220234,1.3724604921220234,0.050739507877977985,0.050739507877977985,0.0,0.0,0.0,0.0,0.0,0.31034482758620685,3.3945488929748535
40,1.6,3,1.7777777777777777,0.8,0.0287668104210278,0.21395777135785188,1.1944523009924375,2.3999999999999986,2.3999999999999986,5.3999999999999995,5.3999999999999995,1,1,2,2,2,2,0.6064727741416666,0.8168179943670089,0.04430946458035579,0.07410797215372142,0.0,0.4285714285714286,0.0,1.3215512784004646,1.2507277477680487,0.05184872159953713,0.08887225223195294,0.02801520549183616,-0.024918355266508083,0.053038554197339605,0.02801520549183616,0.1184174367340772,0.48041234601064847,3.5633552074432373
40,1.6,4,1.3333333333333333,0.8,0.03326611936385203,0.23828033518772768,1.3206107654515378,2.3999999999999986,3.1999999999999957,,,0,0,2,2,2,2,0.6296684517256448,0.8580597279744401,0.05738972280768335,0.0,0.0,0.4736842105263158,-0.3333333333333322,1.5791850930239288,1.198699654823946,0.036814906976072814,0.09090034517605661,0.03424895437455222,-0.2256218673285193,0.07734177105160946,0.03424895437455222,0.05738972280768335,0.6315530973482216,3.8511710166931152
40,1.6,5,1.0666666666666667,0.8,0.03905254705311947,0.2388436213920054,1.4628024595479758,2.3999999999999986,3.1999999999999957,5.55,5.55,1,1,2,2,2,2,0.6293540357675653,0.9656336071428223,0.1275946727112696,0.057158413839948206,0.0,0.5555555555555556,-0.3333333333333322,1.5336753236814733,1.097401153701778,0.04132467631852865,0.09259884629822368,0.03343221944562671,-0.28030196515395267,0.06873024492533542,0.03343221944562671,0.1847530865512178,0.7430152122928027,3.292790174484253
40,1.6,6,0.8888888888888888,0.8,0.04611397395600421,0.22857437921097626,1.6186025759886973,2.3999999999999986,3.1999999999999957,4.2,4.05,1,1,2,2,2,2,0.6287126600366759,0.9808340377961374,0.14299093403257235,0.11000089521432789,0.0,0.5833333333333333,-0.3333333333333322,1.3724604921220234,1.0090885915701737,0.05073950787797821,0.0965114084298262,0.03335025001779441,-0.2525196833380193,0.08828305958147836,0.03335025001779441,0.2529918292469002,0.7759985319126108,3.210677146911621
40,1.6,7,0.7619047619047619,0.8,0.05443592085962292,0.21438335756662025,1.7820795257549087,2.3999999999999986,5.600000000000001,3.15,3.15,1,1,2,2,2,2,0.6220076032393906,0.8540321729673281,0.3885445065750184,0.09237332013101467,0.0,0.607843137254902,-1.3333333333333348,1.3215512784004646,1.1523203266249022,0.05184872159953691,0.09407967337509437,0.031955590725650546,-0.0970300210700218,0.0658078622439532,0.031955590725650546,0.48091782670603306,1.5937773491281022,3.318009853363037
40,1.6,8,0.6666666666666666,0.8,0.0640324557331224,0.1994805251635628,1.9499684649775026,2.3999999999999986,4.800000000000001,4.8,4.8,1,1,2,2,2,2,0.6064727741416666,0.9808340377961374,0.22455541345338817,-0.08004270767353601,0.0,0.5833333333333333,-1.000000000000001,1.579185093023927,0.5934167011199735,0.03361490697607272,0.02098329888002648,-0.007998814168040564,-0.9650808960425795,0.015886735036061306,0.0,0.3045981211269242,1.2510338043319509,3.4387247562408447
