x,y,block,inside_target
41.875,-0.45,0.0030543038988209794,False
42.0,-0.45,0.0024177530747483424,False
42.125,-0.45,0.001480970937261284,False
42.25,-0.45,0.0005373511550756704,False
42.375,-0.45,-0.00016830139105079162,False
42.5,-0.45,-0.0005150966757916696,False
42.625,-0.45,-0.0005247302781201444,False
42.75,-0.45,-0.0003245686947863723,False
42.875,-0.45,-7.795575042508458e-05,False
43.0,-0.45,8.579263168736148e-05,False
43.125,-0.45,0.00011406122656887047,False
43.25,-0.45,3.4014649541354815e-05,False
43.375,-0.45,-7.805559129019885e-05,False
43.5,-0.45,-0.00014230981557596028,False
43.625,-0.45,-0.00011394508839347495,False
43.75,-0.45,5.622103790297477e-07,False
43.875,-0.45,0.0001528766638336366,False
44.0,-0.45,0.00027965567111467855,False
44.125,-0.45,0.0003323827521911261,False
44.25,-0.45,0.00029669531922019154,False
44.375,-0.45,0.00019434868470321646,False
44.5,-0.45,6.952216500901355e-05,False
44.625,-0.45,-3.2326285357930944e-05,False
44.75,-0.45,-8.290523688343902e-05,False
44.875,-0.45,-7.942426985776518e-05,False
45.0,-0.45,-4.0911349799761377e-05,False
45.125,-0.45,3.946966386619713e-06,False
45.25,-0.45,3.086017425775623e-05,False
45.375,-0.45,2.958652331189146e-05,False
45.5,-0.45,5.828352641712e-06,False
45.625,-0.45,-2.4101458364763397e-05,False
45.75,-0.45,-4.232068882577635e-05,False
45.875,-0.45,-3.7637549560021655e-05,False
46.0,-0.45,-9.656954448273532e-06,False
46.125,-0.45,3.228870808311226e-05,False
46.25,-0.45,7.405265597371415e-05,False
46.375,-0.45,0.00010274515421218719,False
46.5,-0.45,0.00011130716613803345,False
46.625,-0.45,0.00010005819288725127,False
46.75,-0.45,7.521944992527133e-05,False
46.875,-0.45,4.561842086443538e-05,False
47.0,-0.45,1.92283792366935e-05,False
47.125,-0.45,8.708867704975917e-07,False
47.25,-0.45,-8.373131451258943e-06,False
47.375,-0.45,-1.0301597339256172e-05,False
47.5,-0.45,-8.023028650010916e-06,False
47.625,-0.45,-4.4780774142244205e-06,False
47.75,-0.45,-1.5636765890618877e-06,False
47.875,-0.45,3.077669383878627e-08,False
48.0,-0.45,4.834539578645776e-07,False
48.125,-0.45,3.290814282935365e-07,False
48.25,-0.45,5.1158367897795574e-08,False
48.375,-0.45,-1.0166388510041841e-07,False
48.5,-0.45,-1.0085273180726367e-07,False
48.625,-0.45,-2.72072306130816e-08,False
48.75,-0.45,3.583295760926491e-08,False
48.875,-0.45,5.330258972531359e-08,False
49.0,-0.45,3.5322614677122705e-08,False
49.125,-0.45,8.63554218891208e-09,False
49.25,-0.45,-7.821160408657301e-09,False
49.375,-0.45,-1.0568410870969447e-08,False
49.5,-0.45,-5.911962592015511e-09,False
49.625,-0.45,-9.987279653331133e-10,False
49.75,-0.45,1.0651697372417452e-09,False
49.875,-0.45,8.886483712882198e-10,False
50.0,-0.45,1.7461097396858615e-10,False
50.125,-0.45,-1.4944846506216353e-10,False
50.25,-0.45,-1.10805349140422e-10,False
50.375,-0.45,-1.7504599773969748e-11,False
50.5,-0.45,7.27642264945297e-12,False
50.625,-0.45,2.2581565312615248e-12,False
50.75,-0.45,1.7794425875607976e-13,False
50.875,-0.45,1.1040415807574028e-12,False
51.0,-0.45,1.3802530694056493e-11,False
51.125,-0.45,1.4957240298620727e-11,False
51.25,-0.45,-7.65812047772043e-11,False
51.375,-0.45,-2.2194780914681072e-10,False
51.5,-0.45,-5.4010191401336934e-11,False
51.625,-0.45,8.010345424063456e-10,False
51.75,-0.45,1.6891941498784221e-09,False
51.875,-0.45,2.2928444616220914e-10,False
52.0,-0.45,-6.1663196675251e-09,False
52.125,-0.45,-1.59803320785989e-08,False
52.25,-0.45,-1.9600047033244285e-08,False
52.375,-0.45,-1.9707542235810326e-09,False
52.5,-0.45,4.380646225837636e-08,False
52.625,-0.45,9.740340696877483e-08,False
52.75,-0.45,1.0525807675745588e-07,False
52.875,-0.45,1.0339375484493179e-08,False
53.0,-0.45,-1.7779307412923667e-07,False
53.125,-0.45,-3.110225426433452e-07,False
53.25,-0.45,-1.1526679501191134e-07,False
53.375,-0.45,6.134152064146131e-07,False
53.5,-0.45,1.5965342385425845e-06,False
53.625,-0.45,1.570199283418473e-06,False
53.75,-0.45,-1.9799098085287056e-06,False
53.875,-0.45,-1.2380421997300485e-05,False
54.0,-0.45,-3.223306294290747e-05,False
54.125,-0.45,-6.075031790682395e-05,False
54.25,-0.45,-9.056668295556578e-05,False
54.375,-0.45,-0.00010531386183268256,False
54.5,-0.45,-7.964574865852064e-05,False
54.625,-0.45,1.6841517953568568e-05,False
54.75,-0.45,0.00021140164224105667,False
54.875,-0.45,0.0005169538900337181,False
55.0,-0.45,0.0009210535976328861,False
55.125,-0.45,0.0013793030995853603,False
55.25,-0.45,0.0018172450643855612,False
55.375,-0.45,0.0021428066487433643,False
55.5,-0.45,0.0022679899145720784,False
55.625,-0.45,0.002134747856098056,False
55.75,-0.45,0.001737267940337074,False
55.875,-0.45,0.001132512552120076,False
56.0,-0.45,0.00043345312353617043,False
56.125,-0.45,-0.0002154797272038556,False
56.25,-0.45,-0.0006751559054257501,False
56.375,-0.45,-0.000850267193521043,False
56.5,-0.45,-0.000717442731574984,False
56.625,-0.45,-0.0003332239046523632,False
56.75,-0.45,0.00018174149579202334,False
56.875,-0.45,0.0006781049316605215,False
57.0,-0.45,0.0010218436884003672,False
57.125,-0.45,0.0011327063395212497,False
57.25,-0.45,0.0010045733533534584,False
57.375,-0.45,0.0007013981040250905,False
57.5,-0.45,0.00033087647628985155,False
57.625,-0.45,5.6995298646316775e-06,False
57.75,-0.45,-0.00019367947044697894,False
57.875,-0.45,-0.0002418884214828337,False
58.0,-0.45,-0.00016995695081251777,False
58.125,-0.45,-4.6174570442023853e-05,False
58.25,-0.45,5.495732348700999e-05,False
