x,y,block
20.2325,-0.2,-5.570659852803832e-08
20.235,-0.2,-5.319389893782951e-08
20.2375,-0.2,-5.1101889182358866e-08
20.24,-0.2,-4.937247684135059e-08
20.2425,-0.2,-4.795174587778427e-08
20.245,-0.2,-4.6789871490623796e-08
20.2475,-0.2,-4.584103312792079e-08
20.25,-0.2,-4.5063325737479955e-08
20.2525,-0.2,-4.441866934368122e-08
20.255,-0.2,-4.387271703094716e-08
20.2575,-0.2,-4.339476142064775e-08
20.26,-0.2,-4.2957639722085616e-08
20.2625,-0.2,-4.253763744576452e-08
20.265,-0.2,-4.2114390854239074e-08
20.2675,-0.2,-4.167078824117797e-08
20.27,-0.2,-4.11928701172286e-08
20.2725,-0.2,-4.0669728383791845e-08
20.275,-0.2,-4.009340457972064e-08
20.2775,-0.2,-3.94587872789516e-08
20.28,-0.2,-3.8763508722810004e-08
20.2825,-0.2,-3.800784076446636e-08
20.285,-0.2,-3.719459020835457e-08
20.2875,-0.2,-3.6328993621104314e-08
20.29,-0.2,-3.541861169664132e-08
20.2925,-0.2,-3.447322324869856e-08
20.295,-0.2,-3.350471891396112e-08
20.2975,-0.2,-3.252699463806529e-08
20.3,-0.2,-3.15558450258882e-08
20.3025,-0.2,-3.0608856625387454e-08
20.305,-0.2,-2.970530122996654e-08
20.3075,-0.2,-2.8866029262107e-08
20.31,-0.2,-2.8113363321744226e-08
20.3125,-0.2,-2.747099196825225e-08
20.315,-0.2,-2.6963863806707457e-08
20.3175,-0.2,-2.6618081955874788e-08
20.32,-0.2,-2.646079896119489e-08
20.3225,-0.2,-2.6520112226690268e-08
20.325,-0.2,-2.6824960038413365e-08
20.3275,-0.2,-2.7405018237772338e-08
20.33,-0.2,-2.829059762173627e-08
20.3325,-0.2,-2.951254213096349e-08
20.335,-0.2,-3.110212789347097e-08
20.3375,-0.2,-3.309096318726928e-08
20.34,-0.2,-3.551088938540215e-08
20.3425,-0.2,-3.839388294835006e-08
20.345,-0.2,-4.1771958519361406e-08
20.3475,-0.2,-4.5677073195025676e-08
