index,t,value_midpoint,value_lower,value_upper
203,-0.97,-0.7005490710217093,-0.7005490710217093,-0.7005490710217093
204,-0.96,-0.762507930091385,-0.762507930091385,-0.762507930091385
205,-0.95,-0.801036298546977,-0.801036298546977,-0.801036298546977
206,-0.94,-0.8098911005153817,-0.8098911005153817,-0.8098911005153817
207,-0.9299999999999999,-0.7877245232876036,-0.7877245232876036,-0.7877245232876036
208,-0.9199999999999999,-0.735043775789461,-0.735043775789461,-0.735043775789461
209,-0.9099999999999999,-0.6568631122579881,-0.6568631122579881,-0.6568631122579881
210,-0.8999999999999999,-0.574433742774357,-0.574433742774357,-0.574433742774357
211,-0.8899999999999999,-0.5409315379847814,-0.5409315379847814,-0.5409315379847814
212,-0.8799999999999999,-0.5464901460489672,-0.5464901460489672,-0.5464901460489672
213,-0.87,-0.5453319578552323,-0.5453319578552323,-0.5453319578552323
214,-0.86,-0.5366751912750356,-0.5366751912750356,-0.5366751912750356
215,-0.85,-0.5218640521619642,-0.5218640521619642,-0.5218640521619642
216,-0.84,-0.4994381331451671,-0.4994381331451671,-0.4994381331451671
217,-0.83,-0.46700553504634446,-0.46700553504634446,-0.46700553504634446
218,-0.82,-0.42267030422292196,-0.42267030422292196,-0.42267030422292196
219,-0.8099999999999999,-0.36453238450730296,-0.36453238450730296,-0.36453238450730296
220,-0.7999999999999999,-0.2908672737261224,-0.2908672737261224,-0.2908672737261224
221,-0.7899999999999999,-0.20176239728143877,-0.20176239728143877,-0.20176239728143877
222,-0.7799999999999999,-0.10497402408242476,-0.10497402408242476,-0.10497402408242476
223,-0.7699999999999999,-0.031406941410231815,-0.031406941410231815,-0.031406941410231815
224,-0.7599999999999999,-0.01846391191268337,-0.01846391191268337,-0.01846391191268337
225,-0.75,-0.018559404836697133,-0.018559404836697133,-0.018559404836697133
226,-0.74,-0.018355708662542887,-0.018355708662542887,-0.018355708662542887
227,-0.73,0.00035201473529460206,0.00035201473529460206,0.00035201473529460206
228,-0.72,0.05832277934409996,0.05832277934409996,0.05832277934409996
229,-0.71,0.12477124692649119,0.12477124692649119,0.12477124692649119
230,-0.7,0.18436457951495344,0.18436457951495344,0.18436457951495344
231,-0.69,0.23402198722866624,0.23402198722866624,0.23402198722866624
232,-0.6799999999999999,0.27431955484082926,0.27431955484082926,0.27431955484082926
233,-0.6699999999999999,0.30656815052197234,0.30656815052197234,0.30656815052197234
