s,round6_deficit,round7_deficit,round8_seed_deficit,round6_signed_clearance,round7_signed_clearance,round8_seed_signed_clearance
2.299999999999999961e-02,2.753649933045616491e-02,2.765852965747511369e-02,0.000000000000000000e+00,1.246350066954383592e-02,1.234147034252488714e-02,5.279795930942077914e-02
2.400000000000000050e-02,2.752343833257368810e-02,2.771256815964823900e-02,0.000000000000000000e+00,1.247656166742631446e-02,1.228743184035176357e-02,5.333023663125111696e-02
2.500000000000000139e-02,2.750188688870727760e-02,2.770393192704440760e-02,0.000000000000000000e+00,1.249811311129272497e-02,1.229606807295559150e-02,5.385168526070576583e-02
2.600000000000000228e-02,2.747208929126911808e-02,2.763235827101210434e-02,0.000000000000000000e+00,1.252791070873088448e-02,1.236764172898789475e-02,5.436248165606558796e-02
2.699999999999999969e-02,2.743430298928188973e-02,2.749855185252345763e-02,0.000000000000000000e+00,1.256569701071811110e-02,1.250144814747654147e-02,5.486282179351644611e-02
2.800000000000000058e-02,2.738886682389730237e-02,2.730412326229751663e-02,0.000000000000000000e+00,1.261113317610269673e-02,1.269587673770248420e-02,5.535291804397948767e-02
2.900000000000000147e-02,2.733597210672289446e-02,2.705146649983789300e-02,0.000000000000000000e+00,1.266402789327710811e-02,1.294853350016210956e-02,5.583299609122837487e-02
2.999999999999999889e-02,2.727583835105267668e-02,2.674359489404481288e-02,0.000000000000000000e+00,1.272416164894732415e-02,1.325640510595518969e-02,5.630329195209200777e-02
3.099999999999999978e-02,2.720871639685695786e-02,2.638395866366863990e-02,0.000000000000000000e+00,1.279128360314304297e-02,1.361604133633136267e-02,5.676404914948113972e-02
3.200000000000000067e-02,2.713485392564062015e-02,2.597755767193733051e-02,0.000000000000000000e+00,1.286514607435938068e-02,1.402244232806267032e-02,5.721551607845197507e-02
3.300000000000000155e-02,2.705449431835350166e-02,2.556445976013383206e-02,0.000000000000000000e+00,1.294550568164649744e-02,1.443554023986616877e-02,5.765794584794857458e-02
3.400000000000000244e-02,2.696796433503668641e-02,2.516449194146283194e-02,0.000000000000000000e+00,1.303203566496331442e-02,1.483550805853717063e-02,5.809158781859819626e-02
3.500000000000000333e-02,2.687545811244893348e-02,2.477589687985598879e-02,0.000000000000000000e+00,1.312454188755106735e-02,1.522410312014401378e-02,5.851669125838644681e-02
3.600000000000000422e-02,2.677715017759022334e-02,2.439963734740363890e-02,0.000000000000000000e+00,1.322284982240977749e-02,1.560036265259636019e-02,5.893350241570538550e-02
3.699999999999999817e-02,2.667325809568190167e-02,2.403474836301365547e-02,0.000000000000000000e+00,1.332674190431809916e-02,1.596525163698634536e-02,5.934226285373929433e-02
3.799999999999999906e-02,2.656399147579596026e-02,2.368103032959339299e-02,0.000000000000000000e+00,1.343600852420403884e-02,1.631896967040660784e-02,5.974320828953365303e-02
3.899999999999999994e-02,2.644955159963090913e-02,2.333872991694329463e-02,0.000000000000000000e+00,1.355044840036909344e-02,1.666127008305670620e-02,6.013656766409122140e-02
4.000000000000000083e-02,2.633021182070091615e-02,2.300640603783788221e-02,0.000000000000000000e+00,1.366978817929908468e-02,1.699359396216211862e-02,6.052256446532767314e-02
4.100000000000000172e-02,2.620613641951772405e-02,2.268516399109024931e-02,0.000000000000000000e+00,1.379386358048227679e-02,1.731483600890975152e-02,6.090141191575865198e-02
4.200000000000000261e-02,2.607743959626903155e-02,2.237355156781217422e-02,0.000000000000000000e+00,1.392256040373096929e-02,1.762644843218782661e-02,6.127331350852723013e-02
4.300000000000000350e-02,2.594428741904432345e-02,2.207203716923782782e-02,0.000000000000000000e+00,1.405571258095567912e-02,1.792796283076217301e-02,6.163846580866028102e-02
4.399999999999999745e-02,2.580683706987514300e-02,2.178032281172873064e-02,0.000000000000000000e+00,1.419316293012485783e-02,1.821967718827127020e-02,6.199705680938302765e-02
4.499999999999999833e-02,2.566523693271922923e-02,2.149747894293300293e-02,0.000000000000000000e+00,1.433476306728077333e-02,1.850252105706699790e-02,6.234926601118122302e-02
4.599999999999999922e-02,2.551971246016253997e-02,2.122438204070136239e-02,0.000000000000000000e+00,1.448028753983745913e-02,1.877561795929863844e-02,6.269526647510850759e-02
4.700000000000000011e-02,2.537036656109876998e-02,2.095946574335407972e-02,0.000000000000000000e+00,1.462963343890123259e-02,1.904053425664592111e-02,6.303522245275648694e-02
4.800000000000000100e-02,2.521726489549244721e-02,2.070352914856050247e-02,0.000000000000000000e+00,1.478273510450755189e-02,1.929647085143949836e-02,6.336928665347020539e-02
4.900000000000000189e-02,2.506052239109939073e-02,2.045605563907935270e-02,0.000000000000000000e+00,1.493947760890061184e-02,1.954394436092064813e-02,6.369760722691840404e-02
5.000000000000000278e-02,2.490024623254041836e-02,2.021632789764225488e-02,0.000000000000000000e+00,1.509975376745958421e-02,1.978367210235774595e-02,6.402032546377384170e-02
5.100000000000000366e-02,2.473653616017962298e-02,1.998514833635176013e-02,0.000000000000000000e+00,1.526346383982037959e-02,2.001485166364824070e-02,6.433757627152147940e-02
5.200000000000000455e-02,2.456958400928548752e-02,1.976095469361418416e-02,0.000000000000000000e+00,1.543041599071451504e-02,2.023904530638581667e-02,6.464949329913442788e-02
5.299999999999999850e-02,2.439942083261949918e-02,1.954462647549282117e-02,0.000000000000000000e+00,1.560057916738050339e-02,2.045537352450717966e-02,6.495619684029495244e-02
5.399999999999999939e-02,2.422608152004646076e-02,1.933565719417452283e-02,0.000000000000000000e+00,1.577391847995354007e-02,2.066434280582547800e-02,6.525780465704549005e-02
5.500000000000000028e-02,2.404963937472105392e-02,1.913332098336021844e-02,0.000000000000000000e+00,1.595036062527894691e-02,2.086667901663978239e-02,6.555443118465822949e-02
5.600000000000000117e-02,2.387016201204211763e-02,1.893845274642631457e-02,0.000000000000000000e+00,1.612983798795788321e-02,2.106154725357368626e-02,6.584618700091887655e-02
