case,epsilon,action_difference
short_before_conjugate,0.8600000000000001,0.5426318982064098
short_before_conjugate,0.8699999999999999,0.5553246129697671
short_before_conjugate,0.8800000000000001,0.5681640643199843
short_before_conjugate,0.8899999999999999,0.5811502522570606
short_before_conjugate,0.9000000000000001,0.5942831767809977
short_before_conjugate,0.9099999999999999,0.6075628378917934
short_before_conjugate,0.9200000000000002,0.6209892355894504
short_before_conjugate,0.9299999999999999,0.634562369873966
short_before_conjugate,0.9400000000000002,0.648282240745341
short_before_conjugate,0.95,0.662148848203576
short_before_conjugate,0.9600000000000002,0.6761621922486722
short_before_conjugate,0.97,0.6903222728806258
short_before_conjugate,0.9800000000000002,0.704629090099441
short_before_conjugate,0.99,0.7190826439051148
short_before_conjugate,1.0000000000000002,0.733682934297649
short_before_conjugate,1.01,0.7484299612770422
short_before_conjugate,1.0200000000000002,0.7633237248432962
short_before_conjugate,1.03,0.7783642249964093
short_before_conjugate,1.0400000000000003,0.7935514617363824
short_before_conjugate,1.05,0.8088854350632149
short_before_conjugate,1.0600000000000003,0.8243661449769073
short_before_conjugate,1.07,0.8399935914774597
short_before_conjugate,1.0800000000000003,0.855767774564872
short_before_conjugate,1.09,0.8716886942391442
short_before_conjugate,1.1000000000000003,0.8877563505002755
short_before_conjugate,1.11,0.9039707433482662
short_before_conjugate,1.1199999999999999,0.9203318727831169
short_before_conjugate,1.1300000000000001,0.9368397388048284
short_before_conjugate,1.14,0.9534943414133981
short_before_conjugate,1.1500000000000001,0.9702956806088281
short_before_conjugate,1.16,0.987243756391118
short_before_conjugate,1.1700000000000002,1.0043385687602684
short_before_conjugate,1.18,1.0215801177162769
short_before_conjugate,1.1900000000000002,1.0389684032591462
short_before_conjugate,1.2,1.056503425388875
long_after_conjugate,-1.2,-0.5517482873049189
long_after_conjugate,-1.19,-0.5425907983697891
long_after_conjugate,-1.18,-0.533509941141229
long_after_conjugate,-1.17,-0.5245057156192403
long_after_conjugate,-1.16,-0.5155781218038196
long_after_conjugate,-1.15,-0.5067271596949694
long_after_conjugate,-1.14,-0.4979528292926898
long_after_conjugate,-1.13,-0.4892551305969808
long_after_conjugate,-1.1199999999999999,-0.48063406360784233
long_after_conjugate,-1.1099999999999999,-0.47208962832527357
long_after_conjugate,-1.0999999999999999,-0.4636218247492736
long_after_conjugate,-1.0899999999999999,-0.4552306528798442
long_after_conjugate,-1.08,-0.4469161127169854
long_after_conjugate,-1.0699999999999998,-0.43867820426069803
long_after_conjugate,-1.06,-0.4305169275109795
long_after_conjugate,-1.05,-0.4224322824678306
long_after_conjugate,-1.04,-0.4144242691312523
long_after_conjugate,-1.03,-0.4064928875012437
long_after_conjugate,-1.02,-0.39863813757780564
long_after_conjugate,-1.01,-0.39086001936093906
long_after_conjugate,-1.0,-0.3831585328506404
long_after_conjugate,-0.99,-0.3755336780469132
long_after_conjugate,-0.98,-0.36798545494975476
long_after_conjugate,-0.97,-0.3605138635591678
long_after_conjugate,-0.96,-0.35311890387514966
long_after_conjugate,-0.95,-0.34580057589770297
long_after_conjugate,-0.94,-0.33855887962682596
long_after_conjugate,-0.9299999999999999,-0.3313938150625195
long_after_conjugate,-0.9199999999999999,-0.3243053822047828
long_after_conjugate,-0.9099999999999999,-0.3172935810536148
long_after_conjugate,-0.8999999999999999,-0.3103584116090201
long_after_conjugate,-0.8899999999999999,-0.3034998738709942
long_after_conjugate,-0.8799999999999999,-0.2967179678395371
long_after_conjugate,-0.8699999999999999,-0.29001269351465053
long_after_conjugate,-0.8599999999999999,-0.28338405089633456
long_after_conjugate,-0.8499999999999999,-0.27683203998458916
long_after_conjugate,-0.84,-0.27035666077941256
long_after_conjugate,-0.83,-0.263957913280807
long_after_conjugate,-0.82,-0.25763579748877197
long_after_conjugate,-0.8099999999999999,-0.25139031340330664
long_after_conjugate,-0.7999999999999999,-0.245221461024411
long_after_conjugate,-0.7899999999999999,-0.23912924035208594
long_after_conjugate,-0.78,-0.233113651386331
long_after_conjugate,-0.77,-0.2271746941271462
long_after_conjugate,-0.76,-0.2213123685745324
long_after_conjugate,-0.75,-0.21552667472848697
long_after_conjugate,-0.74,-0.20981761258901255
long_after_conjugate,-0.73,-0.20418518215610826
long_after_conjugate,-0.72,-0.19862938342977365
long_after_conjugate,-0.71,-0.19315021641000962
long_after_conjugate,-0.7,-0.18774768109681528
long_after_conjugate,-0.69,-0.1824217774901924
long_after_conjugate,-0.6799999999999999,-0.17717250559013786
long_after_conjugate,-0.6699999999999999,-0.1719998653966539
long_after_conjugate,-0.6599999999999999,-0.16690385690974185
long_after_conjugate,-0.6499999999999999,-0.1618844801293977
long_after_conjugate,-0.6399999999999999,-0.15694173505562414
long_after_conjugate,-0.6299999999999999,-0.15207562168842115
long_after_conjugate,-0.62,-0.14728614002778828
long_after_conjugate,-0.61,-0.14257329007372554
long_after_conjugate,-0.6,-0.13793707182623294
