beta,load_fraction,connector_reserve,connector_differential_authority,max_real_eigenvalue,stability_margin
0.02,0.07684615384615384,0.9231538461538462,0.9940946686390533,-0.03525555419627541,0.03525555419627541
0.02,0.08018729096989965,0.9198127090301004,0.9935699983669086,-0.03525600547230397,0.03525600547230397
0.02,0.08352842809364548,0.9164715719063545,0.9930230017002047,-0.035256475965760814,0.035256475965760814
0.02,0.0868695652173913,0.9131304347826087,0.9924536786389414,-0.03525696567842105,0.03525696567842105
0.02,0.09021070234113712,0.9097892976588628,0.9918620291831187,-0.03525747461213216,0.03525747461213216
0.02,0.09355183946488294,0.9064481605351171,0.9912480533327368,-0.03525800276881426,0.03525800276881426
0.02,0.09689297658862876,0.9031070234113713,0.9906117510877954,-0.035258550150460366,0.035258550150460366
0.02,0.10023411371237458,0.8997658862876254,0.9899531224482948,-0.03525911675913587,0.03525911675913587
0.02,0.1035752508361204,0.8964247491638796,0.9892721674142347,-0.0352597025969789,0.0352597025969789
0.02,0.10691638795986622,0.8930836120401338,0.9885688859856153,-0.03526030766620057,0.03526030766620057
0.02,0.11025752508361203,0.889742474916388,0.9878432781624367,-0.03526093196908435,0.03526093196908435
0.02,0.11359866220735786,0.8864013377926422,0.9870953439446986,-0.03526157550798667,0.03526157550798667
0.02,0.11693979933110367,0.8830602006688963,0.9863250833324012,-0.035262238285336964,0.035262238285336964
0.02,0.1202809364548495,0.8797190635451505,0.9855324963255444,-0.03526292030363708,0.03526292030363708
0.02,0.12362207357859531,0.8763779264214047,0.9847175829241284,-0.035263621565461756,0.035263621565461756
0.02,0.12696321070234112,0.8730367892976589,0.983880343128153,-0.03526434207345894,0.03526434207345894
0.02,0.13030434782608696,0.869695652173913,0.9830207769376181,-0.03526508183034932,0.03526508183034932
0.02,0.13364548494983278,0.8663545150501673,0.982138884352524,-0.035265840838926255,0.035265840838926255
0.02,0.1369866220735786,0.8630133779264214,0.9812346653728705,-0.03526661910205647,0.03526661910205647
0.02,0.1403277591973244,0.8596722408026756,0.9803081199986577,-0.03526741662267928,0.03526741662267928
0.02,0.14366889632107022,0.8563311036789298,0.9793592482298856,-0.03526823340380737,0.03526823340380737
0.02,0.14701003344481606,0.8529899665551839,0.978388050066554,-0.0352690694485262,0.0352690694485262
0.02,0.15035117056856187,0.8496488294314382,0.9773945255086632,-0.03526992475999445,0.03526992475999445
0.02,0.15369230769230768,0.8463076923076923,0.9763786745562131,-0.03527079934144396,0.03527079934144396
0.02,0.1570334448160535,0.8429665551839465,0.9753404972092035,-0.03527169319617965,0.03527169319617965
0.02,0.1603745819397993,0.8396254180602007,0.9742799934676346,-0.03527260632757972,0.03527260632757972
0.02,0.16371571906354515,0.8362842809364548,0.9731971633315064,-0.03527353873909514,0.03527353873909514
0.02,0.16705685618729096,0.8329431438127091,0.9720920068008188,-0.035274490434250974,0.035274490434250974
0.02,0.17039799331103678,0.8296020066889632,0.9709645238755719,-0.035275461416644796,0.035275461416644796
0.02,0.1737391304347826,0.8262608695652174,0.9698147145557656,-0.03527645168994813,0.03527645168994813
0.02,0.17708026755852843,0.8229197324414715,0.9686425788413999,-0.03527746125790534,0.03527746125790534
0.02,0.18042140468227424,0.8195785953177257,0.967448116732475,-0.03527849012433455,0.03527849012433455
0.02,0.18376254180602006,0.81623745819398,0.9662313282289907,-0.03527953829312733,0.03527953829312733
0.02,0.18710367892976587,0.8128963210702341,0.9649922133309471,-0.03528060576824847,0.03528060576824847
0.02,0.19044481605351168,0.8095551839464883,0.9637307720383441,-0.035281692553736616,0.035281692553736616
0.02,0.19378595317725753,0.8062140468227424,0.9624470043511818,-0.035282798653703866,0.035282798653703866
0.02,0.19712709030100334,0.8028729096989966,0.96114091026946,-0.03528392407233592,0.03528392407233592
0.02,0.20046822742474915,0.7995317725752509,0.959812489793179,-0.03528506881389226,0.03528506881389226
0.02,0.20380936454849496,0.796190635451505,0.9584617429223387,-0.03528623288270591,0.03528623288270591
0.02,0.2071505016722408,0.7928494983277592,0.957088669656939,-0.035287416283183756,0.035287416283183756
0.02,0.21049163879598662,0.7895083612040134,0.9556932699969799,-0.03528861901980668,0.03528861901980668
0.02,0.21383277591973243,0.7861672240802675,0.9542755439424615,-0.035289841097129036,0.035289841097129036
0.02,0.21717391304347824,0.7828260869565218,0.9528354914933838,-0.03529108251977936,0.03529108251977936
0.02,0.22051505016722406,0.7794849498327759,0.9513731126497467,-0.03529234329246007,0.03529234329246007
0.02,0.2238561872909699,0.7761438127090301,0.9498884074115502,-0.035293623419947656,0.035293623419947656
0.02,0.2271973244147157,0.7728026755852843,0.9483813757787944,-0.03529492290709259,0.03529492290709259
0.02,0.23053846153846153,0.7694615384615384,0.9468520177514793,-0.0352962417588194,0.0352962417588194
0.02,0.23387959866220734,0.7661204013377927,0.9453003333296048,-0.035297579980126975,0.035297579980126975
0.02,0.23722073578595318,0.7627792642140468,0.943726322513171,-0.035298937576088193,0.035298937576088193
0.02,0.240561872909699,0.759438127090301,0.9421299853021778,-0.03530031455185041,0.03530031455185041
0.02,0.2439030100334448,0.7560969899665552,0.9405113216966253,-0.035301710912635176,0.035301710912635176
0.02,0.24724414715719062,0.7527558528428093,0.9388703316965135,-0.035303126663738485,0.035303126663738485
0.02,0.25058528428093646,0.7494147157190636,0.9372070153018423,-0.035304561810530766,0.035304561810530766
0.02,0.25392642140468225,0.7460735785953178,0.9355213725126117,-0.035306016358456906,0.035306016358456906
0.02,0.2572675585284281,0.7427324414715719,0.9338134033288218,-0.03530749031303633,0.03530749031303633
0.02,0.2606086956521739,0.7393913043478261,0.9320831077504725,-0.03530898367986318,0.03530898367986318
0.02,0.2639498327759197,0.7360501672240802,0.930330485777564,-0.03531049646460628,0.03531049646460628
0.02,0.26729096989966555,0.7327090301003345,0.9285555374100961,-0.03531202867300898,0.03531202867300898
0.02,0.27063210702341134,0.7293678929765887,0.9267582626480688,-0.035313580310889735,0.035313580310889735
0.02,0.2739732441471572,0.7260267558528428,0.9249386614914822,-0.035315151384141666,0.035315151384141666
0.02,0.277314381270903,0.722685618729097,0.9230967339403362,-0.035316741898732795,0.035316741898732795
0.02,0.2806555183946488,0.7193444816053511,0.921232479994631,-0.035318351860706185,0.035318351860706185
0.02,0.28399665551839465,0.7160033444816054,0.9193458996543663,-0.0353199812761801,0.0353199812761801
0.02,0.28733779264214043,0.7126622073578596,0.9174369929195423,-0.035321630151347747,0.035321630151347747
0.02,0.2906789297658863,0.7093210702341137,0.9155057597901589,-0.03532329849247748,0.03532329849247748
0.02,0.2940200668896321,0.7059799331103679,0.9135522002662162,-0.035324986305913186,0.035324986305913186
0.02,0.2973612040133779,0.702638795986622,0.9115763143477142,-0.03532669359807369,0.03532669359807369
0.02,0.30070234113712374,0.6992976588628763,0.9095781020346528,-0.03532842037545357,0.03532842037545357
0.02,0.3040434782608695,0.6959565217391305,0.9075575633270322,-0.03533016664462253,0.03533016664462253
0.02,0.30738461538461537,0.6926153846153846,0.9055146982248521,-0.035331932412226014,0.035331932412226014
0.02,0.3107257525083612,0.6892742474916388,0.9034495067281126,-0.035333717684985236,0.035333717684985236
0.02,0.314066889632107,0.685933110367893,0.901361988836814,-0.035335522469696644,0.035335522469696644
0.02,0.31740802675585283,0.6825919732441472,0.8992521445509558,-0.03533734677323284,0.03533734677323284
0.02,0.3207491638795986,0.6792508361204014,0.8971199738705384,-0.03533919060254208,0.03533919060254208
0.02,0.32409030100334446,0.6759096989966555,0.8949654767955616,-0.03534105396464847,0.03534105396464847
0.02,0.3274314381270903,0.6725685618729097,0.8927886533260254,-0.0353429368666522,0.0353429368666522
0.02,0.3307725752508361,0.6692274247491639,0.89058950346193,-0.03534483931572953,0.03534483931572953
0.02,0.33411371237458193,0.6658862876254181,0.8883680272032751,-0.03534676131913274,0.03534676131913274
0.02,0.33745484949832777,0.6625451505016722,0.8861242245500609,-0.03534870288419038,0.03534870288419038
0.02,0.34079598662207355,0.6592040133779264,0.8838580955022874,-0.035350664018307235,0.035350664018307235
0.02,0.3441371237458194,0.6558628762541806,0.8815696400599546,-0.0353526447289647,0.0353526447289647
0.02,0.3474782608695652,0.6525217391304348,0.8792588582230624,-0.035354645023720224,0.035354645023720224
0.02,0.350819397993311,0.649180602006689,0.8769257499916109,-0.03535666491020806,0.03535666491020806
0.02,0.35416053511705686,0.6458394648829431,0.8745703153655999,-0.03535870439613917,0.03535870439613917
0.02,0.35750167224080265,0.6424983277591974,0.8721925543450297,-0.03536076348930084,0.03536076348930084
0.02,0.3608428093645485,0.6391571906354515,0.8697924669299001,-0.03536284219755753,0.03536284219755753
0.02,0.3641839464882943,0.6358160535117057,0.8673700531202112,-0.03536494052885025,0.03536494052885025
0.02,0.3675250836120401,0.6324749163879599,0.8649253129159629,-0.035367058491197215,0.035367058491197215
