mu,gamma,chi_saturation,reserve_1_minus_chi,max_real_eigenvalue,stationary_var_x,stationary_sd_x
3.1500000000000004,0.2,0.958908721799535,0.04109127820046499,-0.5999999999999996,0.01976051279202075,0.14057209108503987
3.2,0.2,0.9608342772032357,0.039165722796764335,-0.6000000000000002,0.019902345575054027,0.14107567322204784
3.25,0.2,0.9626731126558706,0.03732688734412937,-0.6000000000000001,0.020051119605217077,0.14160197599333518
3.3,0.2,0.9644288107273639,0.03557118927263614,-0.5999999999999999,0.02020715343054784,0.1421518674887806
3.3500000000000005,0.2,0.9661048358408219,0.03389516415917815,-0.5999999999999996,0.020370778425660284,0.14272623594020928
3.4000000000000004,0.2,0.9677045353015495,0.03229546469845046,-0.6000000000000002,0.020542339105875926,0.1433259889408614
3.45,0.2,0.969231140642852,0.030768859357148015,-0.6000000000000001,0.020722193427038484,0.14395205252805007
3.5,0.2,0.9706877692486436,0.02931223075135636,-0.5999999999999998,0.020910713067824247,0.14460537012097527
3.55,0.2,0.9720774262159271,0.027922573784072924,-0.5999999999999999,0.021108283691048328,0.14528690130582428
3.6000000000000005,0.2,0.973403006423134,0.026596993576865957,-0.5999999999999995,0.021315305180136985,0.14599762046053005
3.6500000000000004,0.2,0.9746672967731284,0.025332703226871645,-0.6000000000000001,0.02153219184659093,0.1467385152118929
3.7,0.2,0.9758729785823308,0.024127021417669203,-0.5999999999999999,0.021759372603899787,0.14751058471818146
3.75,0.2,0.9770226300899744,0.022977369910025636,-0.5999999999999999,0.02199729110299448,0.1483148377708531
3.8000000000000007,0.2,0.9781187290638694,0.02188127093613057,-0.5999999999999999,0.02224640582393164,0.14915229070963557
3.8500000000000005,0.2,0.9791636554813196,0.02083634451868044,-0.5999999999999999,0.022507190118107222,0.15002396514593
3.9000000000000004,0.2,0.9801596942659225,0.019840305734077468,-0.6000000000000003,0.022780132194888007,0.15093088549030648
3.95,0.2,0.9811090380629609,0.018890961937039097,-0.6000000000000001,0.023065735046141102,0.15187407628078303
4.0,0.2,0.9820137900379085,0.01798620996209155,-0.6,0.023364516301730757,0.15285455930959585
4.050000000000001,0.2,0.9828759666842724,0.01712403331572765,-0.5999999999999999,0.02367700800864984,0.15387335054729212
4.1000000000000005,0.2,0.9836975006285591,0.016302499371440904,-0.6000000000000001,0.024003756326062466,0.15493145686419676
4.15,0.2,0.9844802434215911,0.015519756578408872,-0.5999999999999999,0.024345321128162994,0.15602987255062087
4.2,0.2,0.9852259683067269,0.01477403169327307,-0.5999999999999999,0.024702275506413005,0.15716957563858536
4.25,0.2,0.9859363729567544,0.014063627043245597,-0.5999999999999999,0.02507520516241252,0.1583515240293333
4.300000000000001,0.2,0.9866130821723351,0.01338691782766488,-0.5999999999999998,0.025464707682402134,0.1595766514324766
4.3500000000000005,0.2,0.9872576505358884,0.012742349464111569,-0.5999999999999999,0.025871391684193494,0.1608458631242765
4.4,0.2,0.9878715650157257,0.012128434984274294,-0.5999999999999999,0.02629587582719861,0.16216003153427977
4.45,0.2,0.9884562475160777,0.011543752483922254,-0.5999999999999999,0.026738787676188567,0.16351999167132
4.5,0.2,0.9890130573694068,0.010986942630593188,-0.5999999999999999,0.02720076240946839,0.16492653640172156
4.550000000000001,0.2,0.9895432937680818,0.01045670623191819,-0.5999999999999999,0.027682441362339886,0.16638041159445388
4.6000000000000005,0.2,0.9900481981330957,0.009951801866904253,-0.5999999999999996,0.028184470397031165,0.167882311149898
4.65,0.2,0.9905289564180538,0.00947104358194617,-0.6000000000000002,0.02870749809073899,0.16943287193085937
4.7,0.2,0.990986701347152,0.009013298652847945,-0.6000000000000001,0.029252173734073055,0.17103266861647531
4.75,0.2,0.991422514586288,0.00857748541371195,-0.5999999999999999,0.02981914513300685,0.17268220850164864
4.800000000000001,0.2,0.9918374288468401,0.008162571153159881,-0.6000000000000002,0.03040905620848484,0.17438192626670013
4.8500000000000005,0.2,0.9922324299219849,0.007767570078015096,-0.6000000000000001,0.031022544389093354,0.1761321787439574
4.9,0.2,0.9926084586557181,0.007391541344281882,-0.5999999999999999,0.031660237793700814,0.17793323971001263
4.95,0.2,0.9929664128450049,0.007033587154995136,-0.5999999999999999,0.032322752202733465,0.17978529473439553
5.0,0.2,0.9933071490757153,0.006692850924284732,-0.5999999999999999,0.03301068781878605,0.18168843611739866
5.050000000000001,0.2,0.9936314844931846,0.0063685155068153865,-0.6000000000000002,0.03372462581955194,0.1836426579516642
5.1000000000000005,0.2,0.9939401985084158,0.006059801491584249,-0.5999999999999998,0.03446512470865806,0.18564785134403808
5.15,0.2,0.994234034441075,0.005765965558924946,-0.5999999999999999,0.035232716472839515,0.1877037998359104
5.2,0.2,0.9945137011005495,0.005486298899450515,-0.6000000000000001,0.036027902557010744,0.18981017506185158
5.25,0.2,0.9947798743064417,0.005220125693558342,-0.6000000000000001,0.03685114967220621,0.1919665326878782
5.300000000000001,0.2,0.995033198349943,0.004966801650057029,-0.6000000000000003,0.03770288545494098,0.19417230867181082
5.3500000000000005,0.2,0.9952742873976046,0.004725712602395404,-0.5999999999999996,0.03858349400040645,0.19642681588929362
5.4,0.2,0.9955037268390589,0.004496273160941144,-0.5999999999999998,0.039493311295847995,0.19872924116960744
5.45,0.2,0.9957220745802952,0.004277925419704842,-0.5999999999999999,0.04043262058460985,0.2010786427858758
5.5,0.2,0.995929862284104,0.004070137715896038,-0.5999999999999999,0.041401647695410826,0.20347394844404731
5.550000000000001,0.2,0.9961275965593289,0.0038724034406710794,-0.5999999999999999,0.0424005563755643,0.20591395381460748
5.6000000000000005,0.2,0.9963157601005641,0.0036842398994358927,-0.5999999999999999,0.04342944367081232,0.2083973216498051
5.65,0.2,0.9964948127799336,0.0035051872200664302,-0.5999999999999998,0.044488335398237516,0.21092258152752993
5.7,0.2,0.9966651926925867,0.003334807307413312,-0.5999999999999999,0.0455771817622267,0.21348813026074
5.75,0.2,0.9968273171575148,0.003172682842485175,-0.5999999999999999,0.04669585316645096,0.21609223300815547
5.800000000000001,0.2,0.9969815836752917,0.0030184163247083395,-0.5999999999999999,0.047844136277458246,0.2187330251184266
5.8500000000000005,0.2,0.9971283708442995,0.0028716291557004947,-0.5999999999999999,0.04902173039727307,0.22140851473525824
5.9,0.2,0.997268039236989,0.0027319607630109655,-0.6,0.05022824420361808,0.2241165861858914
