s,x,y,kappa,theta,radial_dot
1.340000000000000045e-02,1.332797978149258440e-02,1.181828797471915762e-03,1.619938179410324608e+01,1.874493692670443912e-01,1.331474821769309050e-02
1.360000000000000098e-02,1.352441533833807254e-02,1.219418246687963784e-03,1.625281836259582846e+01,1.906945892827143219e-01,1.351038549141011895e-02
1.380000000000000150e-02,1.372072767052718092e-02,1.257646014427695868e-03,1.630546849077504845e+01,1.939504179680514306e-01,1.370586551932194939e-02
1.400000000000000029e-02,1.391691429462473678e-02,1.296513762491266746e-03,1.635731847967261032e+01,1.972166966650961695e-01,1.390118505009572090e-02
1.420000000000000082e-02,1.411297271463994932e-02,1.336023110528167333e-03,1.640835469283358350e+01,2.004932639823467921e-01,1.409634082879152039e-02
1.440000000000000134e-02,1.430890042253088988e-02,1.376175635445886763e-03,1.645856356305680634e+01,2.037799558079358697e-01,1.429132959852097776e-02
1.460000000000000013e-02,1.450469489872067454e-02,1.416972870826305447e-03,1.650793159921075670e+01,2.070766053241626103e-01,1.448614810213791695e-02
1.480000000000000066e-02,1.470035361262519644e-02,1.458416306350227443e-03,1.655644539312027064e+01,2.103830430233957216e-01,1.468079308396009683e-02
1.500000000000000118e-02,1.489587402319226053e-02,1.500507387230457434e-03,1.660409162652003801e+01,2.136990967253597495e-01,1.487526129152110486e-02
1.519999999999999997e-02,1.509125357945200092e-02,1.543247513653840577e-03,1.665085707806998983e+01,2.170245915958187721e-01,1.506954947735135268e-02
1.540000000000000049e-02,1.528648972107841085e-02,1.586638040232672686e-03,1.669672863042812949e+01,2.203593501666686050e-01,1.526365440078707864e-02
1.560000000000000102e-02,1.548157987896178756e-02,1.630680275465886233e-03,1.674169327737576296e+01,2.237031923574490100e-01,1.545757282980622128e-02
1.580000000000000154e-02,1.567652147579194633e-02,1.675375481210430008e-03,1.678573813099007950e+01,2.270559354982855937e-01,1.565130154288995809e-02
1.600000000000000033e-02,1.587131192665198684e-02,1.720724872163242316e-03,1.682885042885902749e+01,2.304173943542704994e-01,1.584483733090862392e-02
1.619999999999999912e-02,1.606594863962240369e-02,1.766729615354229680e-03,1.687101754133307097e+01,2.337873811512896915e-01,1.603817699903075863e-02
1.640000000000000138e-02,1.626042901639531205e-02,1.813390829650650274e-03,1.691222697880835923e+01,2.371657056033038835e-01,1.623131736865379010e-02
1.660000000000000017e-02,1.645475045289856303e-02,1.860709585273302366e-03,1.695246639903561459e+01,2.405521749410882704e-01,1.642425527935504823e-02
1.680000000000000243e-02,1.664891033992953878e-02,1.908686903324926512e-03,1.699172361444925983e+01,2.439465939424368124e-01,1.661698759086156774e-02
1.700000000000000122e-02,1.684290606379827346e-02,1.957323755331195122e-03,1.702998659951061100e+01,2.473487649638327901e-01,1.680951118503713759e-02
1.720000000000000001e-02,1.703673500697975435e-02,2.006621062794703998e-03,1.706724349805933016e+01,2.507584879735897387e-01,1.700182296788503231e-02
1.740000000000000227e-02,1.723039454877501805e-02,2.056579696762330343e-03,1.710348263066691388e+01,2.541755605864624012e-01,1.719391987156478410e-02
1.760000000000000106e-02,1.742388206598077804e-02,2.107200477406347573e-03,1.713869250198609606e+01,2.575997780997276720e-01,1.738579885642126815e-02
1.779999999999999985e-02,1.761719493356733723e-02,2.158484173619676372e-03,1.717286180808969931e+01,2.610309335307352541e-01,1.757745691302446678e-02
1.800000000000000211e-02,1.781033052536437622e-02,2.210431502625630033e-03,1.720597944379271027e+01,2.644688176559236159e-01,1.776889106421800785e-02
1.820000000000000090e-02,1.800328621475432919e-02,2.263043129602519861e-03,1.723803450995078279e+01,2.679132190512979461e-01,1.796009836717471844e-02
1.839999999999999969e-02,1.819605937537304222e-02,2.316319667323487111e-03,1.726901632072867443e+01,2.713639241343658859e-01,1.815107591545732715e-02
1.860000000000000195e-02,1.838864738181729755e-02,2.370261675811893235e-03,1.729891441083207937e+01,2.748207172075219917e-01,1.834182084108242419e-02
1.880000000000000074e-02,1.858104761035887093e-02,2.424869662012615803e-03,1.732771854269579848e+01,2.782833805028747665e-01,1.853233031658562194e-02
1.899999999999999953e-02,1.877325743966477833e-02,2.480144079479590109e-03,1.735541871362152477e+01,2.817516942285064885e-01,1.872260155708609097e-02
1.920000000000000179e-02,1.896527425152326821e-02,2.536085328079904812e-03,1.738200516285846930e+01,2.852254366161545152e-01,1.891263182234831364e-02
1.940000000000000058e-02,1.915709543157520164e-02,2.592693753714773400e-03,1.740746837861982854e+01,2.887043839703023473e-01,1.910241841883911218e-02
1.959999999999999937e-02,1.934871837005044254e-02,2.649969648057691127e-03,1.743179910502779251e+01,2.921883107186671324e-01,1.929195870177777966e-02
1.980000000000000163e-02,1.954014046250876838e-02,2.707913248310059307e-03,1.745498834898063123e+01,2.956769894640680074e-01,1.948125007717729784e-02
2.000000000000000042e-02,1.973135911058494785e-02,2.766524736974564080e-03,1.747702738693434554e+01,2.991701910376594609e-01,1.967029000387441814e-02
2.020000000000000268e-02,1.992237172273753770e-02,2.825804241646596299e-03,1.749790777159219957e+01,3.026676845535121729e-01,1.985907599554653097e-02
2.040000000000000147e-02,2.011317571500090620e-02,2.885751834823944983e-03,1.751762133849460668e+01,3.061692374645208492e-01,2.004760562271311677e-02
2.060000000000000026e-02,2.030376851174014313e-02,2.946367533735045393e-03,1.753616021250266144e+01,3.096746156196205635e-01,2.023587651471961749e-02
2.080000000000000251e-02,2.049414754640827355e-02,3.007651300185993325e-03,1.755351681416840393e+01,3.131835833222876841e-01,2.042388636170147653e-02
2.100000000000000130e-02,2.068431026230539357e-02,3.069603040426558543e-03,1.756968386598427401e+01,3.166959033903029574e-01,2.061163291652622423e-02
2.120000000000000009e-02,2.087425411333925299e-02,3.132222605035419813e-03,1.758465439850509782e+01,3.202113372167519345e-01,2.079911399671134642e-02
2.140000000000000235e-02,2.106397656478676411e-02,3.195509788824799774e-03,1.759842175633571770e+01,3.237296448322360409e-01,2.098632748631574022e-02
2.160000000000000114e-02,2.125347509405596871e-02,3.259464330764690488e-03,1.761097960397727391e+01,3.272505849682673107e-01,2.117327133780248088e-02
2.179999999999999993e-02,2.144274719144802915e-02,3.324085913926854395e-03,1.762232193152491533e+01,3.307739151218175300e-01,2.135994357387082862e-02
2.200000000000000219e-02,2.163179036091865751e-02,3.389374165448732525e-03,1.763244306021115193e+01,3.342993916209912042e-01,2.154634228925517148e-02
2.220000000000000098e-02,2.182060212083852813e-02,3.455328656517413048e-03,1.764133764778688729e+01,3.378267696917909846e-01,2.173246565248869444e-02
2.239999999999999977e-02,2.200918000475221917e-02,3.521948902373793749e-03,1.764900069373463154e+01,3.413558035259431356e-01,2.191831190762973114e-02
2.260000000000000203e-02,2.219752156213507591e-02,3.589234362337032514e-03,1.765542754430678229e+01,3.448862463497472941e-01,2.210387937594848404e-02
2.280000000000000082e-02,2.238562435914754831e-02,3.657184439849387337e-03,1.766061389738277043e+01,3.484178504939162702e-01,2.228916645757210088e-02
2.299999999999999961e-02,2.257348597938651016e-02,3.725798482541539496e-03,1.766455580713896012e+01,3.519503674643684188e-01,2.247417163308597712e-02
2.320000000000000187e-02,2.276110402463297350e-02,3.795075782318438080e-03,1.766724968852483713e+01,3.554835480139348358e-01,2.265889346508914715e-02
