x,y,G_real,G_imag,block
8.066666666666666,-0.17,0.29794689285385,0.8616672343754459,-1.3073961436699322
8.066666666666666,-0.16666666666666669,0.30570468950394236,0.8648176994835595,-1.3089085923106687
8.066666666666666,-0.16333333333333333,0.31480860263413657,0.8675701975872911,-1.3071471828983874
8.066666666666666,-0.16,0.3251816612586538,0.8698476945617912,-1.3017837978310507
8.066666666666666,-0.15666666666666668,0.3367468784800609,0.8715791383173297,-1.292503468367828
8.066666666666666,-0.15333333333333335,0.3494273860954129,0.8726992474294697,-1.27900895662098
8.066666666666666,-0.15000000000000002,0.36314656212275676,0.8731483059605587,-1.2610250772404323
8.066666666666666,-0.14666666666666667,0.37782815157030747,0.8728719642697946,-1.2383027077783488
8.066666666666666,-0.14333333333333334,0.3933963807546874,0.8718210456150324,-1.2106224463728028
8.066666666666666,-0.14,0.40977606546546763,0.869951358354335,-1.1777978841483867
8.066666666666666,-0.13666666666666666,0.4268927132597158,0.8672235135606989,-1.1396784676766438
8.066666666666666,-0.13333333333333336,0.4446726201597144,0.8636027478667323,-1.0961519340065302
8.066666666666666,-0.13,0.463042962015475,0.8590587513616654,-1.0471463072379983
8.066666666666666,-0.12666666666666668,0.481931880784237,0.8535655003671536,-0.9926314514015947
8.066666666666666,-0.12333333333333334,0.501268565967333,0.8471010949226923,-0.9326201795845552
8.066666666666666,-0.12000000000000001,0.5209833314364705,0.8396476008142315,-0.8671689238369036
8.066666666666666,-0.11666666666666667,0.5410076878703833,0.8311908959859267,-0.7963779744700588
8.066666666666666,-0.11333333333333334,0.5612744110154715,0.8217205211763563,-0.7203913009231565
8.066666666666666,-0.11,0.581717605972929,0.8112295346253475,-0.6393959694991641
8.066666666666666,-0.10666666666666667,0.6022727677079933,0.7997143707012739,-0.5536211759669762
8.066666666666666,-0.10333333333333333,0.6228768379678047,0.787174702300856,-0.46333691333134086
8.066666666666666,-0.1,0.6434682587861622,0.7736133068782838,-0.36885229702771655
8.075,-0.2,0.2996334046659417,0.850784344116505,-1.2681076460040954
8.075,-0.19666666666666668,0.2937718621144363,0.848297592452127,-1.2666137967797833
8.075,-0.19333333333333336,0.2895644820185872,0.8465590670419658,-1.265629329488542
8.075,-0.19,0.28696196097364,0.8454324098915436,-1.264817585298372
8.075,-0.18666666666666668,0.2859127218743964,0.8447888853913241,-1.2638443527021797
8.075,-0.18333333333333335,0.28636314847328315,0.8445071310809809,-1.2623768832861948
8.075,-0.18000000000000002,0.28825780873556717,0.8444729155034167,-1.26008388144362
8.075,-0.17666666666666667,0.2915396674623896,0.844578902935794,-1.256636291160297
8.075,-0.17333333333333334,0.2961502886354488,0.8447244247908685,-1.251708720758808
8.075,-0.17,0.30203002791965083,0.844815257485827,-1.2449813630313982
8.075,-0.16666666666666669,0.30911821574398424,0.8447634065829988,-1.236142283593937
8.075,-0.16333333333333333,0.3173533313646324,0.8444868970096451,-1.2248899645854976
8.075,-0.16,0.3266731682992159,0.8439095691696501,-1.2109360040989132
8.075,-0.15666666666666668,0.33701499150585335,0.8429608807650943,-1.1940078840011463
8.075,-0.15333333333333335,0.34831568666718304,0.8415757141490374,-1.1738517301340623
8.075,-0.15000000000000002,0.3605119019244878,0.8396941890357432,-1.150234999342366
8.075,-0.14666666666666667,0.37354018239466846,0.8372614803990039,-1.122949037392979
8.075,-0.14333333333333334,0.3873370977893522,0.8342276413928502,-1.0918114606799996
8.075,-0.14,0.4018393634433739,0.8305474311329561,-1.0566683226979532
