phase,scale,tx,ty,contact_cluster_count,dual_eq_residual,dual_norm_residual,duality_gap
1.378810109075520263e+00,1.012445108052720588e+00,2.239557443915258239e-01,2.362898357906005609e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.396263401595463582e+00,1.010280505301126786e+00,2.228523093122717902e-01,2.343873744920348945e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.413716694115406902e+00,1.008087599470044227e+00,2.218343837952768127e-01,2.324135165286374816e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.431169986635350222e+00,1.005805902413029917e+00,2.207772923924370967e-01,2.303688631566651601e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.448623279155293542e+00,1.003442288810074912e+00,2.196586314976607945e-01,2.282540371973419968e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.466076571675236861e+00,1.001093849668493574e+00,2.186491757844600536e-01,2.260696828471420172e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.483529864195180181e+00,9.986783686802188642e-01,2.175731174142132296e-01,2.238164654815606724e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
1.500983156715123501e+00,9.961738723909351334e-01,2.164705539403854462e-01,2.214950714524347719e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
1.518436449235066599e+00,9.936246722511896667e-01,2.154440822957213453e-01,2.191062078788736101e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.535889741755009918e+00,9.910820715277857129e-01,2.143519842965363187e-01,2.166506024318630153e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.553343034274953238e+00,9.884434972336522129e-01,2.132684503218370831e-01,2.141290031126101556e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.570796326794896558e+00,9.857004787234262544e-01,2.122278975753274510e-01,2.115421780246949934e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.588249619314839878e+00,9.884434972336522129e-01,2.111226981553185611e-01,2.141290031126101834e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.605702911834783198e+00,9.910820715277857129e-01,2.100611335803955482e-01,2.166506024318630430e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.623156204354726517e+00,9.936246722511897778e-01,2.090094400646529127e-01,2.191062078788736378e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.640609496874669837e+00,9.961738723909351334e-01,2.078940802487466710e-01,2.214950714524348552e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.658062789394613157e+00,9.986783686802188642e-01,2.068574247389727838e-01,2.238164654815607280e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
1.675516081914556477e+00,1.001093849668493574e+00,2.057975282294120245e-01,2.260696828471421005e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
