phase,scale,tx,ty,contact_cluster_count,dual_eq_residual,dual_norm_residual,duality_gap
1.343903524035633845e+00,1.419551283988291779e+00,1.124755271719324046e-01,4.871850323926176229e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.361356816555576943e+00,1.393624177032946942e+00,1.039558454088796713e-01,4.890738003669027889e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.378810109075520263e+00,1.367272558652936842e+00,9.540449768827240218e-02,4.908135917238319879e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.396263401595463582e+00,1.340504455806494022e+00,8.682408883346515172e-02,4.924038765061040102e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.413716694115406902e+00,1.313328022317054922e+00,7.821723252011540672e-02,4.938441702975688852e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.431169986635350222e+00,1.285751536389523553e+00,6.958655048003267729e-02,4.951340343707851810e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.448623279155293542e+00,1.257783398088652804e+00,6.093467170257368254e-02,4.962730758206609916e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.466076571675236861e+00,1.229432126780303225e+00,5.226423163382666603e-02,4.972609476841366449e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.483529864195180181e+00,1.200706358536359986e+00,4.357787137382900661e-02,4.980973490458727726e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.500983156715123501e+00,1.171614843504102721e+00,3.487823687206255407e-02,4.987820251299120988e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.518436449235066599e+00,1.142166443240826723e+00,2.616797812147192079e-02,4.993147673772869166e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.535889741755009918e+00,1.112370128014524173e+00,1.744974835125047766e-02,4.996954135095478811e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.553343034274953238e+00,1.082234974071457190e+00,8.726203218641738479e-03,4.999238475781956348e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.570796326794896558e+00,1.051770160871442705e+00,-0.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.588249619314839878e+00,1.051609971181578729e+00,8.726203218641799195e-03,4.999238475781956348e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.605702911834783198e+00,1.051129450907318352e+00,1.744974835125054011e-02,4.996954135095478811e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,2.220446049250313081e-16
1.623156204354726517e+00,1.050328746419791903e+00,2.616797812147198324e-02,4.993147673772869166e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,2.220446049250313081e-16
1.640609496874669837e+00,1.049208101621343259e+00,3.487823687206272755e-02,4.987820251299120988e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,2.220446049250313081e-16
1.658062789394613157e+00,1.047767857871233499e+00,4.357787137382918008e-02,4.980973490458727726e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.675516081914556477e+00,1.046008453881660971e+00,5.226423163382834525e-02,4.972609476841366449e-01,3.000000000000000000e+00,1.897375971905327426e-16,0.000000000000000000e+00,2.220446049250313081e-16
1.692969374434499574e+00,1.043930425584124855e+00,6.093467170257374499e-02,4.962730758206610471e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.710422666954442894e+00,1.041534405966174193e+00,6.958655048003273280e-02,4.951340343707851810e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,2.220446049250313081e-16
1.727875959474386214e+00,1.038821124878596125e+00,7.821723252011546224e-02,4.938441702975688852e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,2.220446049250313081e-16
1.745329251994329534e+00,1.035791408813094172e+00,8.682408883346520723e-02,4.924038765061040102e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.762782544514272853e+00,1.032446180650530732e+00,9.540449768827180543e-02,4.908135917238319879e-01,3.000000000000000000e+00,1.897375971905327426e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.780235837034216173e+00,1.028786459379810392e+00,1.039558454088797268e-01,4.890738003669028444e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.797689129554159493e+00,1.024813359787484890e+00,1.124755271719325711e-01,4.871850323926176229e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.815142422074102813e+00,1.020528092118178076e+00,1.209609477998353916e-01,4.851478631379982365e-01,3.000000000000000000e+00,1.897375971905327426e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.832595714594046132e+00,1.015931961705934583e+00,1.294095225512604808e-01,4.829629131445341561e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.850049007113989230e+00,1.011026368576601220e+00,1.378186779084995817e-01,4.806308479691594471e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,2.220446049250313081e-16
1.867502299633932550e+00,1.005812807021367661e+00,1.461858523613683847e-01,4.781523779815177733e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.884955592153875870e+00,1.000292865141587439e+00,1.545084971874737256e-01,4.755282581475767656e-01,3.000000000000000000e+00,1.942890293094023946e-16,0.000000000000000000e+00,2.220446049250313081e-16
