phase,scale,tx,ty,contact_cluster_count,dual_eq_residual,dual_norm_residual,duality_gap
1.884955592153875870e+00,1.347835716784760551e+00,2.563252152882498081e-01,2.890965367264637376e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.902408884673819189e+00,1.353272650619249395e+00,2.530302155114316220e-01,2.932545671448612001e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.919862177193762509e+00,1.358698236313178542e+00,2.497149541013829466e-01,2.973232693812855598e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.937315469713705829e+00,1.364020909284195948e+00,2.464486151251005785e-01,3.013014040696211371e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.954768762233649149e+00,1.369417934919232360e+00,2.431867444848726245e-01,3.051877594315048903e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.972222054753592468e+00,1.374631699560358689e+00,2.399530605495669433e-01,3.089811516454455953e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.989675347273535788e+00,1.379981770261806906e+00,2.367485483306356608e-01,3.126804252074275037e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.007128639793478886e+00,1.385115859197285193e+00,2.335514591820710972e-01,3.162844532828878452e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.024581932313422428e+00,1.390376882695908423e+00,2.304082160244044497e-01,3.197921380499620381e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.042035224833365525e+00,1.395424939925835828e+00,2.272516021136954112e-01,3.232024110338900802e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.059488517353309067e+00,1.400590610940111169e+00,2.241734768812100875e-01,3.265142334324853124e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.076941809873252165e+00,1.405546385432173029e+00,2.210611546371591962e-01,3.297265964325624688e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.094395102393195263e+00,1.410610507502357169e+00,2.180519297283809166e-01,3.328385215172329770e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.111848394913138804e+00,1.415286343679504455e+00,2.149990097262859390e-01,3.358490607639703085e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.129301687433081902e+00,1.419841554126284544e+00,2.120510336475287805e-01,3.387572971333558947e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.146754979953025444e+00,1.424026366581498060e+00,2.090725531708476637e-01,3.415623447484191222e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.164208272472968542e+00,1.428046496105848995e+00,2.061780988868028019e-01,3.442633491644832566e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.181661564992912083e+00,1.431735127672165930e+00,2.032776545781178612e-01,3.468594876294378571e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
