s,x,y,kappa,theta,radial_dot
5.333333333333333676e-02,5.072465979259627861e-02,1.428732089317093050e-02,4.403650195273153045e+00,4.994379731677614509e-01,5.137139619080816760e-02
5.416666666666666852e-02,5.145548389613915918e-02,1.468774358775639527e-02,4.216721452756806876e+00,5.030297946877739790e-01,5.216218617692380127e-02
5.500000000000000028e-02,5.218489600323012595e-02,1.509073287996083070e-02,4.036062434386682440e+00,5.064684546407504095e-01,5.295415986718757240e-02
5.583333333333333898e-02,5.291294812459438474e-02,1.549617421101475920e-02,3.861854079525610217e+00,5.097592531882139122e-01,5.374732576304501463e-02
5.666666666666667074e-02,5.363969120538451818e-02,1.590395750897392879e-02,3.694236501727476529e+00,5.129076242637360394e-01,5.454168540749668864e-02
5.750000000000000250e-02,5.436517497596473486e-02,1.631397722629420940e-02,3.533310273956394187e+00,5.159191020869376976e-01,5.533723385376963788e-02
5.833333333333333426e-02,5.508944782113742861e-02,1.672613235486116942e-02,3.379138131166626202e+00,5.187992889224055659e-01,5.613396016564905361e-02
5.916666666666667296e-02,5.581255666752613781e-02,1.714032641982506100e-02,3.231747037945615908e+00,5.215538244095356823e-01,5.693184793892538953e-02
6.000000000000000472e-02,5.653454688860711647e-02,1.755646745374915899e-02,3.091130564083832688e+00,5.241883567437146674e-01,5.773087583391550009e-02
6.083333333333333648e-02,5.725546222668669027e-02,1.797446795270500608e-02,2.957251508131657491e+00,5.267085159404710781e-01,5.853101810971948760e-02
6.166666666666666824e-02,5.797534473095538460e-02,1.839424481604129413e-02,2.830044708155434741e+00,5.291198893639240675e-01,5.933224515173593505e-02
6.250000000000000000e-02,5.869423471061364223e-02,1.881571927161439575e-02,2.709419979860633099e+00,5.314279996505973935e-01,6.013452398493575324e-02
6.333333333333333870e-02,5.941217070195766586e-02,1.923881678829888336e-02,2.595265124800950396e+00,5.336382851108730785e-01,6.093781876644312201e-02
6.416666666666667740e-02,6.012918944823684303e-02,1.966346697759782311e-02,2.487448955286725383e+00,5.357560826442429036e-01,6.174209125205473020e-02
6.500000000000000222e-02,6.084532589104488243e-02,2.008960348614750174e-02,2.385824287568108826e+00,5.377866131620990808e-01,6.254730123240560824e-02
6.583333333333334092e-02,6.156061317198297661e-02,2.051716388086272796e-02,2.290230860611897512e+00,5.397349694738408088e-01,6.335340693553263847e-02
6.666666666666666574e-02,6.227508264333240368e-02,2.094608952839973476e-02,2.200498144033752101e+00,5.416061065591097901e-01,6.416036539356786972e-02
6.750000000000000444e-02,6.298876388649379821e-02,2.137632547052824294e-02,2.116448005224942364e+00,5.434048341213009170e-01,6.496813277219355698e-02
6.833333333333334314e-02,6.370168473698638312e-02,2.180782029690472856e-02,2.037897212185294737e+00,5.451358112952218171e-01,6.577666466229398212e-02
6.916666666666666796e-02,6.441387131485176720e-02,2.224052601663014522e-02,1.964659754835686778e+00,5.468035433648138488e-01,6.658591633393866338e-02
7.000000000000000666e-02,6.512534805936837090e-02,2.267439792985936203e-02,1.896548973464883936e+00,5.484123803349391091e-01,6.739584295342046505e-02
7.083333333333333148e-02,6.583613776705239673e-02,2.310939450061005873e-02,1.833379488336295937e+00,5.499665171940228969e-01,6.820639976455342146e-02
7.166666666666667018e-02,6.654626163199768574e-02,2.354547723179862065e-02,1.774968929247473959e+00,5.514699957013495801e-01,6.901754223581119119e-02
7.250000000000000888e-02,6.725573928768441290e-02,2.398261054341120635e-02,1.721139467942190970e+00,5.529267075335119186e-01,6.982922617516390540e-02
7.333333333333333370e-02,6.796458884946757206e-02,2.442076165460299944e-02,1.671719159696529955e+00,5.543403986283613749e-01,7.064140781465895469e-02
7.416666666666667240e-02,6.867282695703455508e-02,2.485990047040789741e-02,1.626543103138969437e+00,5.557146745712094882e-01,7.145404386689896414e-02
7.500000000000001110e-02,6.938046881619826245e-02,2.529999947363691798e-02,1.585454429444546287e+00,5.570530068764526499e-01,7.226709155560728792e-02
7.583333333333333592e-02,7.008752823946585997e-02,2.574103362244695159e-02,1.548305133506568065e+00,5.583587400276822654e-01,7.308050862245236978e-02
7.666666666666667462e-02,7.079401768489240743e-02,2.618298025397253551e-02,1.514956760589799334e+00,5.596350991502224703e-01,7.389425331223276050e-02
7.749999999999999944e-02,7.149994829279260333e-02,2.662581899433269506e-02,1.485280962367909297e+00,5.608851982014548820e-01,7.470828433841944505e-02
7.833333333333333814e-02,7.220532991994367544e-02,2.706953167525286835e-02,1.459159936210065345e+00,5.621120485758623886e-01,7.552256083091785088e-02
7.916666666666667684e-02,7.291017117096493250e-02,2.751410225747739219e-02,1.436486761171788862e+00,5.633185680331048717e-01,7.633704226775749058e-02
8.000000000000000167e-02,7.361447942660839794e-02,2.795951676109198480e-02,1.417165643426028465e+00,5.645075898683539206e-01,7.715168839225099162e-02
8.083333333333334036e-02,7.431826086873713488e-02,2.840576320282628409e-02,1.401112082899441003e+00,5.656818722543228706e-01,7.796645911699227882e-02
8.166666666666666519e-02,7.502152050180548037e-02,2.885283154036392961e-02,1.388252971708093808e+00,5.668441076937427159e-01,7.878131441589013295e-02
8.250000000000000389e-02,7.572426217068861654e-02,2.930071362365122001e-02,1.378526633661089518e+00,5.679969325293132698e-01,7.959621420526635793e-02
