s,round9_attack,round10_seed,distributed_holdout,bspline_holdout
1.005000000000000060e-01,0.000000000000000000e+00,6.558166666643342347e-04,0.000000000000000000e+00,9.488228071708485964e-04
1.010000000000000064e-01,0.000000000000000000e+00,6.481663792837141780e-04,0.000000000000000000e+00,9.776636791116787104e-04
1.015000000000000069e-01,0.000000000000000000e+00,6.399374467126947574e-04,0.000000000000000000e+00,1.005806863691430372e-03
1.020000000000000073e-01,0.000000000000000000e+00,6.311421169697447719e-04,0.000000000000000000e+00,1.033006637532338278e-03
1.025000000000000078e-01,0.000000000000000000e+00,6.220635886408296122e-04,0.000000000000000000e+00,1.059734706003824523e-03
1.030000000000000082e-01,0.000000000000000000e+00,6.121558514366091204e-04,3.085179800216258005e-07,1.085477554304010951e-03
1.035000000000000087e-01,0.000000000000000000e+00,6.019791057058854417e-04,1.478849618267279051e-05,1.110759829117112431e-03
1.040000000000000091e-01,0.000000000000000000e+00,5.912643429221556063e-04,5.761139483058421010e-05,1.135120956956044234e-03
1.044999999999999957e-01,0.000000000000000000e+00,5.800289931762960980e-04,9.274869117722253913e-05,1.158865596300285650e-03
1.049999999999999961e-01,0.000000000000000000e+00,5.685333499493714282e-04,1.240431863732257764e-04,1.182301991397182632e-03
1.054999999999999966e-01,0.000000000000000000e+00,5.562802251601177981e-04,1.437927424656326302e-04,1.204389710801234432e-03
1.059999999999999970e-01,0.000000000000000000e+00,5.437831364273158904e-04,1.596937899058361112e-04,1.226189089520628031e-03
1.064999999999999974e-01,0.000000000000000000e+00,5.307981198074173193e-04,1.678978200416332534e-04,1.247411786870705449e-03
1.069999999999999979e-01,0.000000000000000000e+00,5.173434322962899888e-04,1.684156996437383906e-04,1.267757127506697690e-03
1.074999999999999983e-01,0.000000000000000000e+00,5.036539093395482787e-04,1.650905039789971865e-04,1.287663789785647344e-03
1.079999999999999988e-01,0.000000000000000000e+00,4.892881043401314193e-04,1.564430917470495527e-04,1.306764403888180034e-03
1.084999999999999992e-01,0.000000000000000000e+00,4.747065080547967241e-04,1.478838988814194322e-04,1.325437068967391533e-03
1.089999999999999997e-01,0.000000000000000000e+00,4.596933291976262491e-04,1.395011447484247177e-04,1.343253835999960429e-03
1.095000000000000001e-01,0.000000000000000000e+00,4.442693860879075871e-04,1.313791777515825132e-04,1.360529009846564181e-03
1.100000000000000006e-01,0.000000000000000000e+00,4.286400608519147504e-04,1.233876043228165909e-04,1.377533387100185469e-03
1.105000000000000010e-01,0.000000000000000000e+00,4.124237113491844501e-04,1.156463812171771124e-04,1.386346635120380656e-03
1.110000000000000014e-01,0.000000000000000000e+00,3.960214023850232865e-04,1.079878485801739375e-04,1.391225409896190831e-03
1.115000000000000019e-01,0.000000000000000000e+00,3.792471744980002875e-04,1.004946968804433429e-04,1.388235238183230334e-03
1.120000000000000023e-01,0.000000000000000000e+00,3.621213039703518439e-04,9.324775865302844342e-05,1.383497616686374517e-03
1.125000000000000028e-01,0.000000000000000000e+00,3.448196121223906507e-04,8.612392716177141860e-05,1.377886270297570825e-03
1.130000000000000032e-01,0.000000000000000000e+00,3.270210015504399913e-04,7.923821410481816018e-05,1.372499141676494869e-03
1.135000000000000037e-01,0.000000000000000000e+00,3.090669554240909559e-04,7.243196928504454615e-05,1.367161325572811966e-03
1.140000000000000041e-01,0.000000000000000000e+00,2.908020381889451144e-04,6.578466093963019376e-05,1.361922134503915170e-03
1.145000000000000046e-01,0.000000000000000000e+00,2.722476376198811943e-04,5.937412354784517667e-05,1.356732353026325654e-03
1.150000000000000050e-01,0.000000000000000000e+00,2.535484953838582078e-04,5.308197163287481368e-05,1.351567276344389779e-03
