theta,skew
3.861540970037453668e+00,-2.697158123107815664e-01
3.894265893512347532e+00,-2.657269257670277218e-01
3.926990816987240951e+00,-2.572760091179544517e-01
3.959715740462134814e+00,-2.485495948742561800e-01
3.992440663937028678e+00,-2.395570274988780834e-01
4.025165587411922097e+00,-2.303079364582051036e-01
4.057890510886815960e+00,-2.208122259105877450e-01
4.090615434361709823e+00,-2.110800641007221645e-01
4.123340357836602799e+00,-2.011218724712387496e-01
4.156065281311496662e+00,-1.909483145031592166e-01
4.188790204786390525e+00,-1.805702842971760314e-01
4.221515128261284389e+00,-1.699988949079749290e-01
4.254240051736178252e+00,-1.592454664440983991e-01
4.286964975211071227e+00,-1.483215139460898335e-01
4.319689898685965090e+00,-1.372387350558987307e-01
4.352414822160858954e+00,-1.260089974907542543e-01
4.385139745635752817e+00,-1.146443263349153641e-01
4.417864669110646680e+00,-1.031568911629099361e-01
4.450589592585539656e+00,-9.155899300804914986e-02
4.483314516060433519e+00,-7.986305119017228504e-02
4.516039439535327382e+00,-6.808159001672975386e-02
4.548764363010221246e+00,-5.622722537143942656e-02
4.581489286485114221e+00,-4.431265120488314668e-02
4.614214209960008084e+00,-3.235062594150567294e-02
4.646939133434901947e+00,-2.035395881757506853e-02
4.679664056909795811e+00,-8.335496164731559521e-03
4.712388980384689674e+00,3.691892346186498308e-03
4.745113903859582649e+00,-4.556026719702011007e-04
4.777838827334476512e+00,-4.602609819374443856e-03
4.810563750809370376e+00,-8.744688376901191273e-03
4.843288674284264239e+00,-1.287740290308352076e-02
4.876013597759158102e+00,-1.699632798369336839e-02
4.908738521234051078e+00,-2.109705297058660223e-02
4.941463444708944941e+00,-2.517518670473548048e-02
4.974188368183838804e+00,-2.922636221839131077e-02
5.006913291658732668e+00,-3.324624141134302491e-02
5.039638215133626531e+00,-3.723051969626406388e-02
5.072363138608519506e+00,-4.117493060817131734e-02
5.105088062083413369e+00,-4.507525037306395199e-02
5.137812985558307233e+00,-4.892730243084514319e-02
5.170537909033201096e+00,-5.272696190768808022e-02
5.203262832508094071e+00,-5.647016003305385667e-02
5.235987755982987935e+00,-6.015288849663300019e-02
5.268712679457881798e+00,-6.377120374054440211e-02
5.301437602932775661e+00,-6.732123118219596192e-02
5.334162526407669525e+00,-7.079916936328467525e-02
5.366887449882562500e+00,-7.420129402049341349e-02
5.399612373357456363e+00,-7.752396207352507673e-02
5.432337296832350226e+00,-8.076361552620497930e-02
5.465062220307244090e+00,-8.391678527647150609e-02
5.497787143782137953e+00,-8.698009483117769003e-02
5.530512067257030928e+00,-8.995026392172478236e-02
5.563236990731924791e+00,-9.282411201665607958e-02
5.595961914206818655e+00,-9.559856172744962688e-02
5.628686837681712518e+00,-9.827064210386227128e-02
5.661411761156606381e+00,-1.008374918152991628e-01
5.694136684631499357e+00,-1.032963622147964333e-01
5.726861608106393220e+00,-1.056446202823422831e-01
5.759586531581287083e+00,-1.078797514443805561e-01
5.792311455056180947e+00,-1.099993622664791615e-01
5.825036378531073922e+00,-1.111120645789465677e-01
5.857761302005967785e+00,-1.101486694876941397e-01
5.890486225480861648e+00,-1.090673244422308286e-01
5.923211148955755512e+00,-1.078691873739163198e-01
5.955936072430649375e+00,-1.065555412779332078e-01
5.988660995905542350e+00,-1.051277928394245276e-01
6.021385919380436214e+00,-1.035874709271792371e-01
6.054110842855330077e+00,-1.019362249564819134e-01
6.086835766330223940e+00,-1.001758231228772056e-01
6.119560689805117804e+00,-9.817453560814504154e-02
6.152285613280010779e+00,-9.401761429682553572e-02
6.185010536754904642e+00,-8.976001656923254801e-02
6.217735460229798505e+00,-8.540630156765377512e-02
6.250460383704692369e+00,-8.096113135916205295e-02
