true_branch,active_measurement,active_score,active_is_odd,active_correct,random_measurement,random_score,random_is_odd,random_correct,state_norm
1,odd_x,34.02999078379033,True,True,odd_vsum,8.558985581351584,True,True,1.8046604279814247
-1,odd_vsum,36.53921342330855,True,True,odd_y,18.09648323788191,True,True,1.687574905158662
-1,odd_y,23.886654636497266,True,True,odd_vsum,1.9342383993521783,True,True,1.6032146952736117
-1,odd_y,22.372720803669697,True,True,even_mix,0.0,False,False,1.5692490378950845
1,odd_vsum,50.429225604620456,True,True,even_mix,0.0,False,True,1.6858477676997248
-1,odd_mixed,38.66319515598783,True,True,even_yvy,0.0,False,False,1.7704733880980392
1,odd_x,31.911061469530388,True,True,even_xvx,0.0,False,True,1.4421390259609297
1,odd_x,34.43445641182959,True,True,even_v2,0.0,False,True,2.3371724481769127
1,odd_x,19.928607235981175,True,True,odd_x,19.928607235981175,True,True,1.6485959271273392
-1,odd_x,16.37985070609449,True,True,even_xvx,0.0,False,False,1.29390430791132
1,odd_vsum,40.396727869832496,True,True,even_xvx,0.0,False,True,1.4930584010233219
-1,odd_y,15.685707483495781,True,True,even_v2,0.0,False,False,1.665624166789947
1,odd_mixed,33.12613698506854,True,True,even_xvx,0.0,False,True,1.4949544308064893
-1,odd_vsum,25.975602227720685,True,True,even_mix,0.0,False,False,1.3172240948663572
1,odd_mixed,27.660669886404502,True,True,even_mix,0.0,False,True,1.928858181031533
1,odd_vsum,67.7396621398319,True,True,even_yvy,0.0,False,True,2.560005296095577
1,odd_y,26.342475126055586,True,True,odd_mixed,15.688280954682304,True,True,1.816241116460793
-1,odd_vsum,41.44644212387533,True,True,even_mix,0.0,False,False,1.7064814003836664
-1,odd_mixed,40.80444775469369,True,True,even_xy,0.0,False,False,1.7855554216673981
-1,odd_mixed,26.079616172665066,True,True,odd_mixed,26.079616172665066,True,True,1.8572362229338075
-1,odd_mixed,30.766709604542015,True,True,even_mix,0.0,False,False,1.2521283701612278
-1,odd_mixed,32.54711906636617,True,True,even_v2,0.0,False,False,1.7431102240594891
1,odd_vsum,34.339356194859626,True,True,odd_x,5.731767375649654,True,True,1.1788964975925524
-1,odd_vsum,65.42245414888188,True,True,odd_x,20.163081108689088,True,True,2.3770170677565625
-1,odd_vsum,49.0252961726444,True,True,odd_x,23.65585309023036,True,True,1.7989692942730282
1,odd_vsum,57.55523423515274,True,True,odd_x,27.17504673980635,True,True,2.2741915192233035
1,odd_vsum,20.317114284690778,True,True,even_yvy,0.0,False,True,1.7446207439646455
-1,odd_vsum,33.66268282905551,True,True,even_xy,0.0,False,False,1.6484828088098151
1,odd_y,34.28809595389901,True,True,odd_vsum,7.016197832901727,True,True,1.8122005448058554
1,odd_vsum,35.94154505421336,True,True,odd_x,25.209185732362528,True,True,1.7006538934996092
-1,odd_y,19.701877827665747,True,True,odd_mixed,4.303245809184615,True,True,1.8159916518709067
1,odd_vsum,42.607904919468986,True,True,odd_mixed,41.55158371185899,True,True,1.9085924121207785
1,odd_vsum,42.06747621050888,True,True,even_mix,0.0,False,True,2.114350498285927
1,odd_vsum,54.334986688981914,True,True,even_xy,0.0,False,True,1.9867027262186252
-1,odd_y,7.721011771464303,True,True,odd_y,7.721011771464303,True,True,0.6035998848582561
1,odd_vsum,47.934915125453706,True,True,even_mix,0.0,False,True,1.654733041999181
-1,odd_vsum,59.91172324094713,True,True,even_yvy,0.0,False,False,2.2585759877473364
1,odd_y,14.912834018750049,True,True,odd_vsum,13.212001624642303,True,True,1.5606596620784203
-1,odd_x,28.431269165618083,True,True,odd_y,25.26643836148335,True,True,1.5748149884875928
-1,odd_vsum,26.604962778454578,True,True,odd_x,21.923067265390543,True,True,1.165940548274958
1,odd_x,24.663167268728504,True,True,even_v2,0.0,False,True,1.3513401450814018
-1,odd_y,35.654951780632146,True,True,even_mix,0.0,False,False,2.413354620780911
1,odd_y,28.928730283691706,True,True,even_xy,0.0,False,True,1.8078542316257795
1,odd_x,31.333589183131238,True,True,even_yvy,0.0,False,True,1.2816603763193666
1,odd_vsum,34.94717685421772,True,True,odd_x,10.629493918922133,True,True,1.6662833346708614
-1,odd_y,30.765390923019353,True,True,odd_mixed,18.089947367871016,True,True,1.9721741569941287
-1,odd_x,18.88522435636434,True,True,even_yvy,0.0,False,False,1.4456744205033913
-1,odd_mixed,40.927919032681096,True,True,odd_vsum,34.35429705389833,True,True,2.2919950424454836
-1,odd_mixed,26.955610411776913,True,True,even_mix,0.0,False,False,1.1801317980711368
1,odd_vsum,52.76618319733821,True,True,odd_x,5.8498224768987805,True,True,1.6426854655942718
-1,odd_vsum,40.9672454092063,True,True,odd_x,15.137974182892657,True,True,1.7916454113560731
-1,odd_y,31.086587581262574,True,True,even_yvy,0.0,False,False,2.6232855551691423
-1,odd_mixed,17.415859376428504,True,True,odd_y,9.00895084070057,True,True,1.5023269376723511
-1,odd_vsum,27.99678327354933,True,True,odd_y,5.3606815505997165,True,True,1.2371546230746036
-1,odd_y,15.47841404655727,True,True,even_xy,0.0,False,False,0.7296817740712624
-1,odd_vsum,22.741510152821615,True,True,odd_vsum,22.741510152821615,True,True,1.3119216845382367
1,odd_vsum,53.29159265061225,True,True,even_xvx,0.0,False,True,2.1903599589460323
-1,odd_vsum,40.02709761044718,True,True,even_v2,0.0,False,False,2.0076641829477873
-1,odd_y,19.79098251563243,True,True,even_mix,0.0,False,False,1.9123494508231182
-1,odd_x,29.996182670918447,True,True,odd_vsum,7.221755037403682,True,True,1.7799062782302635
1,odd_mixed,10.704328963573605,True,True,odd_vsum,2.0813451553660043,True,False,1.0941532652672694
-1,odd_y,30.456897298967945,True,True,even_v2,0.0,False,False,1.7308111043110437
1,odd_mixed,42.206129390959006,True,True,even_mix,0.0,False,True,2.1772396442473507
-1,odd_y,36.167659404138995,True,True,odd_vsum,0.4416249299779462,True,False,1.6380024356029392
-1,odd_vsum,21.907791722988,True,True,odd_vsum,21.907791722988,True,True,1.4041220708324873
1,odd_vsum,32.68220701708423,True,True,even_xy,0.0,False,True,1.4784957859239478
1,odd_vsum,28.208567107346372,True,True,odd_vsum,28.208567107346372,True,True,1.5540311738610642
1,odd_vsum,58.28058441981584,True,True,odd_mixed,5.598439013117323,True,True,1.9972307252745765
-1,odd_vsum,11.908032840065916,True,True,odd_vsum,11.908032840065916,True,True,0.9551626441766335
1,odd_vsum,35.519841334452515,True,True,odd_y,0.8645913192539767,True,True,1.1532889075975847
-1,odd_vsum,34.32052035396428,True,True,even_r2,0.0,False,False,1.5957562468499424
-1,odd_vsum,36.82664264976552,True,True,odd_y,27.12658606931558,True,True,1.7634378637168928
1,odd_mixed,24.78864909296699,True,True,odd_mixed,24.78864909296699,True,True,1.9970793917246805
-1,odd_vsum,53.192586355144584,True,True,odd_vsum,53.192586355144584,True,True,1.751908110097474
1,odd_vsum,44.75772115404667,True,True,odd_x,4.055221423963568,True,True,1.505184708297435
1,odd_vsum,58.67274815619597,True,True,odd_mixed,14.756033568574395,True,True,2.0511764359979265
-1,odd_vsum,24.34704878656657,True,True,even_yvy,0.0,False,False,1.772613213711425
1,odd_vsum,42.329142874232105,True,True,even_yvy,0.0,False,True,1.8341896941121478
1,odd_x,28.356012795921036,True,True,even_xvx,0.0,False,True,1.5856930589762404
-1,odd_vsum,34.794223140075154,True,True,odd_y,34.79085211177836,True,True,1.8645333024246213
1,odd_y,27.007503726527393,True,True,even_r2,0.0,False,True,1.6776422642345414
-1,odd_x,24.02415322225334,True,True,even_yvy,0.0,False,False,2.086598957789657
1,odd_mixed,21.16831121274365,True,True,even_xy,0.0,False,True,1.3225860099824531
1,odd_y,25.702929389890194,True,True,odd_x,14.92813710383838,True,True,1.5100004151428534
-1,odd_mixed,38.41113048099443,True,True,odd_y,12.900015278219342,True,True,2.0579306756129023
1,odd_mixed,10.094519017179216,True,True,even_yvy,0.0,False,True,1.2778855235724305
-1,odd_x,35.62567514524205,True,True,even_v2,0.0,False,False,1.7341550684367564
1,odd_vsum,44.325627841777056,True,True,even_xvx,0.0,False,True,1.9587355872996006
