scenario,sigma,culprit,ff_class,gf_class,ff_correct,gf_correct,ff_culprit_correct,gf_culprit_correct,ff_rmse,gf_rmse
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004851112764729785,0.11442531017991286
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003850067073777941,0.06555273790553492
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004042327910192728,0.09671637629794812
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003490235344967701,0.07129525502893361
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004584993099913185,0.11326929345292408
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0035240512336250003,0.09370062176637273
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0041615656222364055,0.08996820163955593
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0044578549824611366,0.08783690144229508
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0042369329119726585,0.08214505015003462
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0030671960788458802,0.07512314029095736
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0038149930467607346,0.10917892499594745
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0036815075687465235,0.0778231771606026
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004361500985706155,0.05088360090131937
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.005776467430307057,0.07374098880753019
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.005219776823057358,0.09353665346349864
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004892457170181635,0.07190316862700259
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004114441384536835,0.08189668366745353
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004261884266406206,0.08872515557699236
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003972644694605636,0.06609228365154994
