t,x,y,vx,vy,E_global,Lz_global,x_rot,y_rot,vx_rot,vy_rot,E_rot_naive,E_rot_covariant
1.6674607161361206,-0.45182451419478964,0.9209641377167588,-1.4869748781165624,-0.10634541079411808,3.40070125,2.40975,0.34784779826378714,0.9650503840892279,-0.6460478924951752,0.8275606564354239,2.4485575021909693,3.40070125
1.6916268134714267,-0.4875300350346351,0.9179401666806091,-1.467791349527284,-0.14389957319775187,3.400701250000001,2.4097500000000003,0.33232006232615663,0.9848162574013672,-0.6390204500878924,0.8081309377985806,2.454059833042506,3.40070125
1.715792910806733,-0.5227544225901164,0.9140102995242048,-1.447159288084619,-0.181311724095846,3.40070125,2.4097499999999994,0.3169632035908837,1.0041022565173612,-0.6319103057965745,0.7878484930824413,2.4596423958040043,3.40070125
1.7399590081420389,-0.557462914643407,0.909178414551971,-1.4250990551422729,-0.21854494221228704,3.40070125,2.40975,0.30177890949817593,1.0228879608598638,-0.6247431591369221,0.7667289753686816,2.465283158650672,3.400701250000001
1.764125105477345,-0.5916212581032578,0.9034492802510146,-1.4016324214867955,-0.2555624828560149,3.40070125,2.40975,0.2867682503202952,1.0411533439575529,-0.6175443790753238,0.744789344418686,2.470959860068573,3.4007012499999996
1.7882912028126512,-0.6251957428086614,0.8968285505852038,-1.3767825458524432,-0.29232781418359693,3.40070125,2.4097499999999994,0.27193168777631077,1.0588788047524413,-0.6103389523044529,0.7220478439406732,2.4766500967106513,3.40070125
1.8124573001479571,-0.6581532347967091,0.8893227594153887,-1.350573952066306,-0.32880465325174396,3.40070125,2.4097499999999994,0.2572690848863818,1.0760451983301154,-0.6031514323995825,0.6985239765708348,2.4823314118125,3.40070125
1.8366233974832633,-0.6904612090018158,0.8809393140512684,-1.3230325048462488,-0.3649570018241989,3.40070125,2.40975,0.24277971704311918,1.0926338660181787,-0.596005889951572,0.6742384766113799,2.4879813838189593,3.40070125
1.8607894948185695,-0.7220877813540294,0.8716864879412718,-1.2941853842755582,-0.40074918189764563,3.40070125,2.4097499999999994,0.22846228427529552,1.1086266647992404,-0.5889258637706072,0.6492132805725209,2.4935777148717464,3.40070125
1.8849555921538754,-0.7530017402447607,0.8615734125076624,-1.2640610589794827,-0.4361458709115945,3.40070125,2.40975,0.21431492467689509,1.1240059959859972,-0.5819343132527259,0.6234714955694469,2.4990983188089153,3.40070125
1.9091216894891816,-0.7831725773288729,0.8506100681349265,-1.2326892580301354,-0.47111213660748325,3.40070125,2.40975,0.20033522897232867,1.1387548331072226,-0.5750535719989273,0.597037365629288,2.504521408328853,3.4007012500000005
1.9332877868244878,-0.8125705176327321,0.8388072743203394,-1.2001009416074901,-0.5056134715025974,3.40070125,2.40975,0.18652025618647436,1.1528567489548627,-0.5683053027742838,0.5699362359669076,2.5098255809747934,3.400701249999999
