sigma,corrupt,wx_true,wy_true,wx_hat_all,wy_hat_all,wx_hat_repaired,wy_hat_repaired,state_err_nominal,law_err_nominal,Eerr_nominal,Aerr_nominal,state_err_joint,law_err_joint,Eerr_joint,Aerr_joint,state_err_repaired,law_err_repaired,Eerr_repaired,Aerr_repaired,suspect,suspect_correct,max_residual_id,residual_contrast,mean_rms_nominal,mean_rms_joint
0.0,False,1.2133675125773822,1.9597232304795482,0.8004885433375656,1.9429729683708816,0.8004885433375656,1.9429729683708816,0.4644240518260073,0.37610394164665006,0.14710838070410215,0.018808411960059467,2.358150253726308,0.41321860379373343,0.01884210271099727,0.002508750638914021,2.358150253726308,0.41321860379373343,0.01884210271099727,0.002508750638914021,,True,O4,6.637097174269899,0.1437966043990202,0.25601653474429514
0.0,False,0.9466709709591506,1.5095356942662304,0.9466709709591508,1.5095356942662286,0.9466709709591508,1.5095356942662286,0.13432028338294508,0.15024715146620798,0.08748591455583675,0.03799538621125365,1.537935824982342e-15,1.7798229048217483e-15,4.494802675609671e-16,7.509212652487237e-16,1.537935824982342e-15,1.7798229048217483e-15,4.494802675609671e-16,7.509212652487237e-16,,True,O4,0.0008378421971041497,0.04556740869127953,5.106781949938751e-16
0.0,False,0.9606217075421326,1.8850297398643547,0.9606217075421326,1.8850297398643545,0.9606217075421326,1.8850297398643545,0.43753435055333767,0.23830574591814532,0.09570341684828504,0.020420614750575376,1.6711069443220838e-16,2.220446049250313e-16,0.0,0.0,1.6711069443220838e-16,2.220446049250313e-16,0.0,0.0,,True,O4,0.0004909077615632766,0.15516649511701197,2.9030273733071533e-16
0.0,False,1.3259617912816228,1.9846043816762586,1.3259617913233483,1.9846043816161871,1.3259617913233483,1.9846043816161871,0.37855802467353017,0.4671307971141227,0.15148037958583258,0.11259389700633611,7.042319086055064e-11,7.314098617181624e-11,1.9353477592055406e-11,3.0866134717888266e-11,7.042319086055064e-11,7.314098617181624e-11,1.9353477592055406e-11,3.0866134717888266e-11,,True,O6,1.6621854627908788,0.14104590756778526,2.833469943154231e-11
0.0,True,1.2656300799042457,1.4865491747242656,1.3001309904892233,1.4902676959923262,1.265630079904246,1.4865491747242656,0.12209063751115996,0.3118902236897697,0.05942136449197136,0.15122765499647828,0.010254088468914273,0.03470072379091882,0.0015326277921644288,0.003993415319816446,3.1031676915590914e-17,2.220446049250313e-16,0.0,8.573008849260988e-18,O5,True,O5,53.09419596125356,0.07587184479519359,0.04479498034786639
0.0,True,1.292328949549832,1.4949618605933104,1.3031430306372311,1.4967937198190104,1.324980891113394,1.4943417228215092,1.5422394393868288,0.3308973245821071,0.005046945124595204,0.06298810862956666,0.008041024073601358,0.010968138310015321,0.0061821569877208845,0.00537208718178192,0.015300641707766204,0.032657829975769694,0.01184420673445243,0.0124331129450278,O3,False,O5,56.42692662116191,0.2752470786963401,0.044428321009685245
0.0,True,1.1098950526719693,2.0039120587005486,1.1003277831297342,2.0033107167336044,1.1098950526963423,2.003912058700036,0.3238952871654415,0.3705815266516067,0.15381976780303633,0.010350041830924767,0.005407260427551261,0.009586149313201174,0.0018160564677976892,0.0009088149506183299,2.5818458665707156e-11,2.4378335340264496e-11,4.9330408476012225e-12,2.9878861665609963e-12,O5,True,O5,47.46366983716566,0.2396927231097988,0.04478641969497261
0.0,True,0.9021460755040935,1.5255615616783507,0.8872765691350286,1.5319937843667581,0.8532141806980067,1.7779253454377135,0.07679200896491654,0.15830450237179441,0.046009085823323984,0.04241194233940193,0.01569762208304293,0.016201102072788947,0.010277076500661184,0.017109033715536324,0.3802554262641976,0.2570638241422865,0.005336244028571883,0.058026048243498836,O4,False,O5,40.572383494282256,0.05866484229723239,0.0458581105583212
0.0,True,0.9596063812261126,2.020479579543853,0.9287677724055201,2.029613092959369,0.9596063812261127,2.020479579543853,0.13541691513857515,0.3726751444577974,0.02994597808127351,0.09564779312740133,0.02664602844753715,0.03216272471823463,0.0012357187071866031,0.016560902584144985,6.938893903907228e-17,1.1102230246251565e-16,2.7957709222826733e-16,2.1039898557933737e-16,O5,True,O5,43.98294566335631,0.08427193822967359,0.04554539571992258
0.0,True,1.221226197788809,1.8742938357377172,1.2397934407992632,1.8548615070310144,1.221226197788809,1.8742938357377166,0.07551894943531452,0.31503770462919417,0.14651872683440526,0.01979826376788602,0.011381653465223237,0.02687671691212691,0.013315483532523785,0.007133036168870957,1.0838898772828417e-16,6.661338147750939e-16,0.0,1.3463392502055778e-16,O5,True,O5,70.69697360835511,0.06986693259559669,0.044417113195088696
