sigma,corrupt,suspect,suspect_correct,state_one,state_hist_ls,state_hist_rob,state_repaired,E_one,E_hist_ls,E_hist_rob,E_repaired,A_one,A_hist_ls,A_hist_rob,A_repaired,max_channel_residual,O5_residual
0.0,True,O5,True,0.14815068663869696,0.08679856084139938,0.018456729642818106,1.2412670766236366e-16,0.04235260213449566,0.004351023789528023,0.0006892960091007845,0.0,0.07344947653777417,0.02828470910230498,0.004515040763233224,5.87368122326894e-17,0.31096815247140563,0.31096815247140563
0.0,True,O5,True,0.13259004357290943,0.04962705367640272,0.009476243783446697,1.6653345369377348e-16,0.0003391944677380275,0.005396670499310737,0.0005827636679539602,1.6991116864378283e-16,0.014055919022588802,0.026055671275691833,0.005065357448207231,2.1419195468498706e-16,0.31473395982610936,0.31473395982610936
0.005,False,O2,True,0.0033738180474342083,0.0030998945870527755,0.0030935666530949196,0.0030935666727804592,0.0018923248904001682,0.0014018721330324724,0.0013999616021349512,0.0013999616052868778,0.0023445551448098897,0.0015205949487338848,0.001520574176469148,0.0015205741683278783,0.005766878759237283,0.004953326179723785
0.005,False,O3,True,0.003600769531536529,0.0034236271665431615,0.003415095388974376,0.003415095388974376,0.0009268296668166392,0.0005698080399528955,0.0005647902770100495,0.0005647902770100495,0.0015717370824051154,0.0016411523644150855,0.001637335564484959,0.001637335564484959,0.006651229595758928,0.003847043586233448
0.005,False,O5,True,0.002232717263628835,0.0007430847273300288,0.0007441930342699264,0.0007441930308682019,0.001739085442268222,0.0007409132809502318,0.0007417942187788324,0.0007417942221978576,0.0022211630972797033,0.0007919175968385244,0.0007935093027926538,0.0007935093108417977,0.00487356257090911,0.00487356257090911
0.005,False,O4,True,0.00226435564487227,0.00497430022977214,0.004960510813878152,0.004960510582567476,0.000533648465617406,0.0005668294969056725,0.0005683813420273119,0.0005683813340578033,0.0011422925987807898,0.0015108877643975438,0.0015171620153981644,0.0015171621240482494,0.00657170609000722,0.003395776034832547
0.005,False,O3,True,0.0037973525392965813,0.003452012500807917,0.0034527921604899574,0.0034527921129658356,0.001784962952984686,0.0016396457143243778,0.001641650063732018,0.001641650078739602,0.0010786223103415036,0.0012513297394829235,0.0012496946697952394,0.0012496946729034957,0.005279325725296264,0.004265961303176084
0.005,False,O2,True,0.008905500500921313,0.004251797356901294,0.004256771284479563,0.004256771268623217,0.0005228906568852507,0.0002890232385104131,0.00029275426274024086,0.00029275415879923916,0.005914467067468541,0.0002044947115319672,0.00020451332243338018,0.0002045132946376087,0.006518189957434244,0.005678628026200881
0.005,False,O1,True,0.003616410336549913,0.0011566348936287115,0.0011616876441044287,0.0011616876371304081,0.0004212799601892469,0.0008371822620215745,0.0008409510614605014,0.000840951062138024,0.0005125018586157746,0.001045669629098304,0.001047701535276568,0.0010477015296656855,0.00678421482407753,0.00469009776067076
0.005,False,O2,True,0.006102443854722644,0.002874325959122893,0.0028810822440001158,0.0028810817110519185,0.0018187211400942217,0.002795117197531761,0.0028124747586668417,0.002812475118727191,0.012397238672904638,0.008006903090627628,0.008040104035875182,0.008040102746595062,0.00754339250427,0.0036201859328554185
