sigma,state_err_nominal,law_err_nominal,state_err_joint,law_err_joint,gain_rel_rmse,energy_rel_error,drift_gain_rel_error,drift_identified,fit_rms
0.005,2.8940428184244964,0.02762193969528819,0.006181687984431916,0.002534246781645807,0.008499241049447721,0.007173345772407776,0.001264030102115409,True,0.004579034452628948
0.005,2.9038790591782697,0.00903852475617767,2.8986182920068235,0.0025491600686120826,0.0041765209980849,0.0011223025976695037,0.003591403099074153,True,0.004225519048362984
0.005,2.1092217178512187,0.022159090866986808,2.0731494292293693,0.004696499910638511,0.01160136181552226,0.0053295972071733914,0.00045361166307971427,False,0.004199041632794898
0.005,2.0703032750687735,0.02729053520048069,0.005715536001467408,0.009368426174510261,0.01041504242336564,0.003564497326924201,0.009676705239800368,True,0.0037310162606094626
0.005,0.03521152151889561,0.02382406009392887,2.4804414639418986,0.001837993395614407,0.0038823388492414124,0.00034698086218675227,0.004078412218918558,True,0.005330979334734975
0.005,2.4782251054333426,0.010260420322069566,2.3863796118733887,0.0018010215969257264,0.004850802219632072,0.00072820611802414,0.006038224765928866,True,0.004704189991023513
0.005,1.61287509275597,0.03460390077273645,1.5855133572743214,0.008714709876355857,0.014723281744235,0.011524714293338595,0.01888228711137672,True,0.004564354403008558
0.005,2.1763912805266137,0.020760780735660303,0.006426147869749647,0.0021866046508777835,0.011915855747308296,0.01181435560307424,0.014474098189865803,True,0.004045930803931603
0.005,0.12534655037895542,0.02884784724576048,3.406643056628913,0.0017150865960481158,0.0023350118539731154,0.0013523788908111729,0.002003514798356537,True,0.004932005025218467
0.005,0.07633116276597851,0.015270786197063636,2.238091176310598,0.009847965478092479,0.041430530054536154,0.013551754347523873,0.011839329465613148,False,0.004335718763101701
0.02,0.043173606145201195,0.02702049920668364,2.017922393004041,0.020023348601465346,0.058064095687901884,0.0017904986745491095,0.007410828222728748,False,0.019313484552649897
0.02,0.029241242828560818,0.09423170365504951,0.09401672030972398,0.06465876510292254,0.24892922536792558,0.1968083925556582,0.2514944605725371,False,0.016603237349212797
0.02,0.07211702557868994,0.0961007676633855,0.03467487228162515,0.031657550130521274,0.0878673026498162,0.0724364332637549,0.049384422685323934,True,0.017670331268706048
0.02,0.06540718228867977,0.03903596381257857,0.009873763430074295,0.0035150067831845825,0.01519619041615922,0.011071346589011237,0.0240688722339041,True,0.020034111027717322
0.02,0.07120394435021804,0.012015322084384732,0.019517521770716226,0.011665558418488034,0.0258510032777442,0.006018853416361969,0.0560083636558763,True,0.017865781112581143
0.02,2.789220740348397,0.014007078212121184,0.05126600537351844,0.02155756310860738,0.05066873030514584,0.04878742285750779,0.056246794890793206,False,0.016990879063939614
0.02,2.57717683630073,0.020724359837666045,2.580799592998295,0.007358603941650036,0.030211604807113657,0.012418509288485004,0.0017546988752504076,True,0.018469521766769213
0.02,0.035900135130066714,0.04386519746479154,2.125274496861832,0.0020264147975462728,0.04342091982672259,0.001857013183650086,0.025455476391250016,True,0.016467545045518613
0.02,2.481795375140642,0.021770884533727074,0.030042556727117815,0.02628404732361062,0.031105701803274852,0.028399098390392796,0.0073819536439882205,True,0.017395007110583678
0.02,1.9658330629479528,0.04112136745962891,0.04374146351176859,0.015795134561943616,0.09266387029522445,0.09671226428781343,0.07471370712414437,True,0.01941169990825667
0.02,0.09083130828314169,0.03632582271188543,0.008792675972340574,0.00688993904650076,0.01426502748929509,0.015047909619827231,0.01564039133585185,True,0.014082157639582456
0.02,0.1384497299582335,0.02730162825670706,0.03593226322540197,0.02181917403931128,0.04708389114138414,0.017773147718210345,0.013434820525691317,True,0.01430251634875354
