n_obs,sigma,n_history,n_bad,joint_rank_all,joint_rank_repaired,history_rank,state_err_all,state_err_repaired,state_err_history_only,state_err_hybrid,Eerr_all,Eerr_repaired,Eerr_history,Eerr_hybrid,Lerr_all,Lerr_repaired,Lerr_history,Lerr_hybrid,bad_detection_rate,all_bad_identified
5,0.0,4,1,4,4,4,0.05935103145389184,6.377745716588144e-16,9.550499576785472e-16,7.021666937153402e-16,0.0184709694706782,2.669812738577175e-16,2.669812738577175e-16,1.3349063692885875e-16,0.016159474821834018,1.4898953031759115e-16,4.469685909527735e-16,1.4898953031759115e-16,1.0,True
5,0.0,4,1,4,4,4,0.09858057698549082,2.7511642410880956e-16,4.710277376051325e-16,1.7772239894833365e-16,0.024252991203259265,2.18273642529956e-16,4.36547285059912e-16,4.36547285059912e-16,0.06817717664118,3.920763096581407e-16,0.0,0.0,1.0,True
5,0.0,4,1,4,4,4,0.1466436445146086,6.798699777552592e-16,9.222205069512407e-16,8.968100940422724e-16,0.10113655261794927,6.091262326249075e-16,6.091262326249075e-16,6.091262326249075e-16,0.6619068622347379,8.110091692908604e-16,8.110091692908604e-16,8.110091692908604e-16,1.0,True
5,0.0,4,1,4,4,4,0.07938408379881842,4.440892098500626e-16,9.742167503148516e-16,7.550332863779066e-16,0.004163116083403243,2.3508620606824707e-16,5.877155151706176e-16,4.701724121364941e-16,0.005174948703361564,1.535626222836379e-16,4.606878668509137e-16,3.071252445672758e-16,1.0,True
5,0.0,4,1,4,4,4,0.10266425780633869,3.2159359137519293e-16,2.2887833992611187e-16,2.498001805406602e-16,0.05987231108756113,4.245751598641495e-16,2.1228757993207475e-16,2.1228757993207475e-16,0.02274489520473853,6.127289431177444e-16,3.063644715588722e-16,4.595467073383084e-16,1.0,True
5,0.0,4,1,4,4,4,0.029581120001189582,3.3306690738754696e-16,1.5827980514452614e-15,8.455206652451151e-16,0.018958411777374003,0.0,1.0018620673199197e-15,4.2936945742282274e-16,0.00960268203600397,2.9213082914273433e-16,1.4606541457136716e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.059339841979493345,2.220446049250313e-16,4.577566798522237e-16,5.551115123125783e-17,0.040106140214951284,1.5025186263645155e-16,4.507555879093547e-16,0.0,0.06742340217082382,0.0,4.353441433427531e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.0270132018886606,3.040470972244059e-16,4.972820174300706e-16,4.54378355600607e-16,0.02690286332858964,4.3929808489256455e-16,4.3929808489256455e-16,5.857307798567527e-16,0.10669436596209388,5.329070792175325e-16,1.7763569307251082e-16,5.329070792175325e-16,1.0,True
5,0.0,4,1,4,4,4,0.09883228287094731,5.438959822042073e-16,9.42055475210265e-16,7.364386412590295e-16,0.016544136670271915,4.103850471670178e-16,6.839750786116964e-16,5.471800628893571e-16,0.02363989397660448,0.0,1.0166206813900128e-15,3.3887356046333757e-16,1.0,True
5,0.0,4,1,4,4,4,0.052657627084683835,5.087681048627601e-16,5.20740757162067e-16,1.5700924586837752e-16,0.00507957957717352,3.67691072598926e-16,2.4512738173261734e-16,0.0,0.07962185011711824,7.134482222797797e-16,0.0,1.7836205556994493e-16,1.0,True
5,0.0,4,1,4,4,4,0.10564975186460401,3.885780586188048e-16,4.1910000110727263e-16,3.3306690738754696e-16,0.06247425266148896,1.7578450873222987e-16,3.5156901746445974e-16,3.5156901746445974e-16,0.10322655219563784,3.790248332190799e-16,1.8951241660953995e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.08566593597703177,4.965068306494546e-16,6.377745716588144e-16,2.9893669801409083e-16,0.01673014808958072,0.0,3.610039395883855e-16,1.8050196979419276e-16,0.22819010799432707,2.0403905179810411e-16,4.0807810359620823e-16,2.0403905179810411e-16,1.0,True
5,0.0,4,1,4,4,4,0.06239951632445436,6.306381954147435e-16,1.9214096675087e-15,1.2628786905111156e-15,0.04124286909349171,5.020029137298481e-16,2.0080116549193924e-15,1.0040058274596962e-15,0.24352039007225512,3.368716431460175e-16,1.1790507510110613e-15,6.73743286292035e-16,1.0,True
5,0.0,4,1,4,4,4,0.0641342979568024,3.8459253727671276e-16,4.033640560360252e-15,2.1181705310112556e-15,0.012697345490012666,1.813940372053533e-16,1.6325463348481795e-15,7.255761488214132e-16,0.275642008207579,3.2741223780906304e-15,0.0,1.925954340053312e-15,1.0,True
5,0.0,4,1,4,4,4,0.04560966629007997,3.188872858294072e-16,6.707437923744493e-16,4.1168171577819285e-16,0.08264578238703853,5.312043256098436e-16,3.5413621707322907e-16,7.082724341464581e-16,0.002366259337154203,6.026951868170153e-16,4.0179679121134353e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.038345560452585935,2.2591401799415137e-16,2.7194799110210365e-16,1.2719202621569003e-16,0.020481139865089662,3.0450173616458964e-16,1.5225086808229482e-16,1.5225086808229482e-16,0.16949005047060478,9.36146872918712e-16,2.496391661116565e-15,7.801223940989266e-16,1.0,True
5,0.0,4,1,4,4,4,0.09024759184600156,4.577566798522237e-16,3.1401849173675503e-16,1.5700924586837752e-16,0.026816604173958966,3.510767471835499e-16,0.0,0.0,0.09051671967456404,6.488692393462204e-16,4.3257949289748025e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.08906541151691053,1.2755491433176288e-15,1.4895204919483639e-15,9.155133597044475e-16,0.03767416937413863,5.565565607066001e-16,0.0,2.7827828035330006e-16,0.16800949431738518,2.1912102241912814e-15,5.155788762803015e-16,7.733683144204523e-16,1.0,True
5,0.0,4,1,4,4,4,0.06268972567901172,3.3422138886441676e-16,8.54583310691029e-16,4.871083751574258e-16,0.04144772302086839,0.0,1.0635639781610492e-15,5.317819890805246e-16,0.009491557996031064,7.840179950577904e-16,9.80022493822238e-16,9.80022493822238e-16,1.0,True
5,0.0,4,1,4,4,4,0.02969780063953938,6.38378239159465e-16,5.551115123125783e-16,4.710277376051325e-16,0.0017120093231387042,1.809738523092977e-16,1.809738523092977e-16,1.809738523092977e-16,0.01603781414547689,5.465175393306573e-16,3.643450262204383e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.05626410764472935,2.5438405243138006e-16,2.7194799110210365e-16,2.220446049250313e-16,0.0032839614829088992,1.2057805697809839e-16,2.4115611395619677e-16,2.4115611395619677e-16,0.9932815889085768,3.399874914933316e-15,0.0,1.7628981040394972e-15,1.0,True
5,0.0,4,1,4,4,4,0.0720327678509765,2.4196749845665633e-16,4.002966042486721e-16,2.633125101432526e-16,0.07912268332533078,3.421399354453743e-16,4.5618658059383235e-16,4.5618658059383235e-16,0.06363227006613537,3.484835797311283e-16,3.484835797311283e-16,3.484835797311283e-16,1.0,True
5,0.0,4,1,4,4,4,0.06719807898148938,9.424642647609475e-16,4.965068306494546e-16,1.1188630228279524e-16,0.021103039402297664,5.690756541755952e-16,3.793837694503968e-16,0.0,0.05631482379177032,2.9738260883077905e-16,1.4869130441538952e-16,1.4869130441538952e-16,1.0,True
5,0.0,4,1,4,4,4,0.06830877450446748,8.955206467987463e-16,9.630824789273724e-16,2.5438405243138006e-16,0.034533364722003905,5.675530133746516e-16,5.675530133746516e-16,0.0,0.007788388964953521,1.6347250418721348e-16,6.538900167488539e-16,3.2694500837442695e-16,1.0,True
5,0.0,4,1,4,4,4,0.14972231348993398,4.611102534756203e-16,1.6653345369377348e-16,4.644396126208125e-16,0.039824480044534094,2.128101230047272e-16,0.0,2.128101230047272e-16,0.010666151771977586,0.0,0.0,0.0,1.0,True
5,0.0,4,1,4,4,4,0.10474562889457878,4.982493048981751e-16,6.804363002006077e-16,3.365900013051177e-16,0.02052548862969727,1.1938793387260773e-16,4.775517354904309e-16,1.1938793387260773e-16,0.0005417796173882627,1.687992217652371e-16,1.687992217652371e-16,0.0,1.0,True
