s,round8_attack_deficit,round9_seed_deficit
5.399999999999999939e-02,0.000000000000000000e+00,2.863892282919174373e-02
5.420000000000000512e-02,0.000000000000000000e+00,2.858896838961693526e-02
5.440000000000000391e-02,0.000000000000000000e+00,2.853879142637582092e-02
5.460000000000000270e-02,0.000000000000000000e+00,2.848828712588445319e-02
5.480000000000000149e-02,0.000000000000000000e+00,2.843771101735153781e-02
5.500000000000000028e-02,0.000000000000000000e+00,2.838686358241081231e-02
5.520000000000000601e-02,0.000000000000000000e+00,2.833571999243933437e-02
5.540000000000000480e-02,0.000000000000000000e+00,2.828452066524323252e-02
5.560000000000000359e-02,0.000000000000000000e+00,2.823302505280371466e-02
5.580000000000000238e-02,0.000000000000000000e+00,2.818127769188884940e-02
5.600000000000000117e-02,0.000000000000000000e+00,2.812946318846074045e-02
5.619999999999999996e-02,0.000000000000000000e+00,2.807734109379421417e-02
5.640000000000000568e-02,0.000000000000000000e+00,2.802502960573457352e-02
5.660000000000000447e-02,0.000000000000000000e+00,2.797260266214683655e-02
5.680000000000000326e-02,0.000000000000000000e+00,2.791987517756317622e-02
5.700000000000000205e-02,0.000000000000000000e+00,2.786702006411866800e-02
5.720000000000000084e-02,0.000000000000000000e+00,2.781400137124638919e-02
5.739999999999999963e-02,0.000000000000000000e+00,2.776068898385521469e-02
5.760000000000000536e-02,0.000000000000000000e+00,2.770731016255179383e-02
5.780000000000000415e-02,0.000000000000000000e+00,2.765371980553286632e-02
5.800000000000000294e-02,0.000000000000000000e+00,2.759985152989024096e-02
5.820000000000000173e-02,0.000000000000000000e+00,2.754595920076654408e-02
5.840000000000000052e-02,0.000000000000000000e+00,2.749181665948635320e-02
5.860000000000000625e-02,0.000000000000000000e+00,2.743742958301866389e-02
5.880000000000000504e-02,0.000000000000000000e+00,2.738272348345433677e-02
5.900000000000000383e-02,0.000000000000000000e+00,2.732526534767899112e-02
5.920000000000000262e-02,0.000000000000000000e+00,2.726465390582850576e-02
5.940000000000000141e-02,0.000000000000000000e+00,2.720093601011906725e-02
5.960000000000000020e-02,0.000000000000000000e+00,2.713415984144540438e-02
5.980000000000000593e-02,0.000000000000000000e+00,2.706437476172490059e-02
6.000000000000000472e-02,0.000000000000000000e+00,2.699163116835695542e-02
6.020000000000000351e-02,0.000000000000000000e+00,2.691598035157609370e-02
6.040000000000000230e-02,0.000000000000000000e+00,2.683747435539958134e-02
6.060000000000000109e-02,0.000000000000000000e+00,2.675616584278911123e-02
6.079999999999999988e-02,0.000000000000000000e+00,2.667210796556493402e-02
6.100000000000000561e-02,0.000000000000000000e+00,2.658535423952967242e-02
6.120000000000000440e-02,0.000000000000000000e+00,2.649599342117960055e-02
6.140000000000000319e-02,0.000000000000000000e+00,2.640599774670479918e-02
6.160000000000000198e-02,0.000000000000000000e+00,2.631576799778867146e-02
6.180000000000000077e-02,0.000000000000000000e+00,2.622530592419682061e-02
6.199999999999999956e-02,0.000000000000000000e+00,2.613461325444257216e-02
