t,psi
-2.222500000000000142e+00,2.200859482589031246e-01
-2.219999999999999751e+00,2.302998634087504992e-01
-2.217500000000000249e+00,2.403387653434023441e-01
-2.214999999999999858e+00,2.500147957503083829e-01
-2.212499999999999911e+00,2.591935604305372065e-01
-2.209999999999999964e+00,2.677810345720293972e-01
-2.207500000000000018e+00,2.757130487117988582e-01
-2.205000000000000071e+00,2.829471688957834741e-01
-2.202500000000000124e+00,2.894565693966456577e-01
-2.200000000000000178e+00,2.952254822472024087e-01
-2.197499999999999787e+00,3.002458651860138716e-01
-2.194999999999999840e+00,3.045150037812748289e-01
-2.192499999999999893e+00,3.080338337112486502e-01
-2.189999999999999947e+00,3.108058293286811713e-01
-2.187500000000000000e+00,3.128363546427399000e-01
-2.185000000000000053e+00,3.141324148721527654e-01
-2.182500000000000107e+00,3.147027835849812161e-01
-2.179999999999999716e+00,3.145585150541717612e-01
-2.177500000000000213e+00,3.137138866148749261e-01
-2.174999999999999822e+00,3.121878540371137989e-01
-2.172499999999999876e+00,3.100061461228788562e-01
-2.169999999999999929e+00,3.072041731575754775e-01
-2.167499999999999982e+00,3.038309736273628325e-01
-2.165000000000000036e+00,2.999544610572020820e-01
-2.162500000000000089e+00,2.956682217458110884e-01
-2.160000000000000142e+00,2.910999686972796097e-01
-2.157499999999999751e+00,2.864212851566452223e-01
-2.155000000000000249e+00,2.818570850015078566e-01
-2.152499999999999858e+00,2.776904711461724573e-01
-2.149999999999999911e+00,2.742530229099435224e-01
-2.147499999999999964e+00,2.718806562864579113e-01
-2.145000000000000018e+00,2.708044842481029946e-01
-2.142500000000000071e+00,2.709622791142108911e-01
-2.140000000000000124e+00,2.718505014854666890e-01
-2.137500000000000178e+00,2.727955594370957138e-01
-2.134999999999999787e+00,2.735179108509021573e-01
-2.132499999999999840e+00,2.740001673009807570e-01
-2.129999999999999893e+00,2.742435665482986784e-01
-2.127499999999999947e+00,2.742487429106213459e-01
-2.125000000000000000e+00,2.740157098739084418e-01
-2.122500000000000053e+00,2.735438601507395595e-01
-2.120000000000000107e+00,2.728319829888176118e-01
-2.117499999999999716e+00,2.719051541337900724e-01
-2.115000000000000213e+00,2.711991692374924878e-01
-2.112499999999999822e+00,2.718284918688800844e-01
-2.109999999999999876e+00,2.746659904611220560e-01
-2.107499999999999929e+00,2.798477682767664398e-01
-2.104999999999999982e+00,2.870053046284259390e-01
-2.102500000000000036e+00,2.955844072382523557e-01
-2.100000000000000089e+00,3.050333523158881288e-01
-2.097500000000000142e+00,3.148801820431437748e-01
-2.094999999999999751e+00,3.247506029489831136e-01
-2.092500000000000249e+00,3.343605057459675400e-01
-2.089999999999999858e+00,3.435003162408054034e-01
-2.087499999999999911e+00,3.520186779111937336e-01
-2.084999999999999964e+00,3.598082237077178669e-01
-2.082500000000000018e+00,3.667941021255342049e-01
