real_w,imag_w,G_real,G_imag,orbit_block
8.016666666666667,-0.15000000000000002,-0.011909239349615415,-0.0318639159572746,-0.0017469583164916615
8.016666666666667,-0.14666666666666667,-0.012620836106495434,-0.03127749584348478,-0.0016379924844243774
8.016666666666667,-0.14333333333333334,-0.013315432540397874,-0.03068275772166441,-0.0015282617553369407
8.016666666666667,-0.14,-0.013993098198151213,-0.03007990385289197,-0.001417987637232245
8.016666666666667,-0.13666666666666666,-0.014653900944104428,-0.029469135576730518,-0.0013073862775201995
8.016666666666667,-0.13333333333333336,-0.015297906966023983,-0.028850653333839536,-0.0011966684804965225
8.016666666666667,-0.13,-0.015925180780844927,-0.02822465668850022,-0.0010860397245622151
8.016666666666667,-0.12666666666666668,-0.01653578524027811,-0.027591344351060473,-0.0009757001791723944
8.016666666666667,-0.12333333333333334,-0.01712978153627115,-0.026950914200300175,-0.0008658447215031314
8.016666666666667,-0.12000000000000001,-0.0177072292063273,-0.026303563305716607,-0.0007566629528248612
8.016666666666667,-0.11666666666666667,-0.018268186138677943,-0.02564948794973698,-0.000648339214572635
8.016666666666667,-0.11333333333333334,-0.01881270857731515,-0.02498888364985418,-0.0005410526041019252
8.016666666666667,-0.11,-0.019340851126878823,-0.024321945180693652,-0.00043497699012115467
8.016666666666667,-0.10666666666666667,-0.01985266675740309,-0.0236488665960086,-0.00033028102779062747
8.016666666666667,-0.10333333333333333,-0.020348206808920077,-0.022969841250608764,-0.00022712817347917327
8.016666666666667,-0.1,-0.02082752099592103,-0.022285061822223874,-0.00012567669916961754
8.025,-0.2,0.001877682015801553,-0.03709507282128045,-0.00274503747572727
8.025,-0.19666666666666668,0.0009308419297028546,-0.0367034440982433,-0.002692552683949556
8.025,-0.19333333333333336,1.6974131325682429e-06,-0.03630010006120908,-0.0026353945231451605
8.025,-0.19,-0.0009098438896968306,-0.03588526397707841,-0.002573848709601966
8.025,-0.18666666666666668,-0.0018038726067592104,-0.0354591578203326,-0.0025081958338916766
8.025,-0.18333333333333335,-0.0026804776460660033,-0.03502200229754678,-0.002438711369036625
8.025,-0.18000000000000002,-0.0035397462033671424,-0.034574016871781965,-0.0023656656789320238
8.025,-0.17666666666666667,-0.0043817637697044845,-0.034115419786860536,-0.002289324027000441
8.025,-0.17333333333333334,-0.005206614138817883,-0.03364642809152979,-0.0022099465850558934
8.025,-0.17,-0.006014379414404428,-0.03316725766351221,-0.0021277884423547954
8.025,-0.16666666666666669,-0.00680514001723111,-0.03267812323344612,-0.0020430996148123417
8.025,-0.16333333333333333,-0.00757897469210295,-0.03217923840872158,-0.001956125054363611
8.025,-0.16,-0.008335960514684628,-0.031670815697208185,-0.0018671046584482944
8.025,-0.15666666666666668,-0.00907617289817924,-0.03115306653088198,-0.0017762732795998314
8.025,-0.15333333333333335,-0.009799685599862423,-0.030626201289352038,-0.0016838607351195149
8.025,-0.15000000000000002,-0.010506570727473016,-0.03009042932328739,-0.0015900918168167213
8.025,-0.14666666666666667,-0.011196898745461259,-0.029545958977748844,-0.0014951863007974114
8.025,-0.14333333333333334,-0.011870738481095561,-0.028992997615426452,-0.001399358957283122
8.025,-0.14,-0.012528157130425412,-0.02843175163978534,-0.0013028195604436147
8.025,-0.13666666666666666,-0.013169220264105986,-0.02786242651812163,-0.0012057728982263756
8.025,-0.13333333333333336,-0.013793991833079746,-0.027285226804531278,-0.0011084187821672827
8.025,-0.13,-0.014402534174118933,-0.026700356162792066,-0.001010952057166569
8.025,-0.12666666666666668,-0.014994908015227671,-0.0261080173891655,-0.000913562611215658
8.025,-0.12333333333333334,-0.015571172480905743,-0.02550841243511441,-0.0008164353850595664
8.025,-0.12000000000000001,-0.016131385097272265,-0.0249017424299422,-0.000719750381781372
8.025,-0.11666666666666667,-0.016675601797052048,-0.024288207703357666,-0.0006236826762951944
