mu,gamma,chi_saturation,rho_cancellation,reserve_1_minus_chi,restoring_authority_kappa,max_real_eigenvalue,stability_margin
3.5,0.0,0.9706877692486436,1.0,0.02931223075135636,5.69060477594712,-0.4999999999999998,0.4999999999999998
3.5500000000000007,0.0,0.972077426215927,1.0,0.027922573784073035,5.428580731469185,-0.5,0.5
3.6000000000000005,0.0,0.973403006423134,1.0,0.026596993576865957,5.177918701907622,-0.49999999999999967,0.49999999999999967
3.6500000000000004,0.0,0.9746672967731285,1.0,0.025332703226871534,4.938191474818178,-0.4999999999999997,0.4999999999999997
3.7,0.0,0.9758729785823309,1.0,0.024127021417669092,4.708981651036107,-0.49999999999999967,0.49999999999999967
3.75,0.0,0.9770226300899744,1.0,0.022977369910025636,4.489882076408697,-0.49999999999999994,0.49999999999999994
3.8000000000000007,0.0,0.9781187290638694,1.0,0.02188127093613057,4.280496183670043,-0.4999999999999999,0.4999999999999999
3.8500000000000005,0.0,0.9791636554813195,1.0,0.02083634451868055,4.080438253155859,-0.4999999999999999,0.4999999999999999
3.9000000000000004,0.0,0.9801596942659225,1.0,0.019840305734077468,3.88933360049116,-0.5000000000000002,0.5000000000000002
3.95,0.0,0.9811090380629609,1.0,0.018890961937039097,3.7068186988264875,-0.5,0.5
4.0,0.0,0.9820137900379085,1.0,0.01798620996209155,3.5325412426582217,-0.4999999999999999,0.4999999999999999
4.050000000000001,0.0,0.9828759666842725,1.0,0.017124033315727538,3.3661601597459,-0.4999999999999998,0.4999999999999998
4.1,0.0,0.9836975006285591,1.0,0.016302499371440904,3.2073455771370147,-0.5000000000000001,0.5000000000000001
4.15,0.0,0.9844802434215911,1.0,0.015519756578408872,3.0557787468311615,-0.4999999999999999,0.4999999999999999
4.200000000000001,0.0,0.9852259683067269,1.0,0.01477403169327307,2.911151936159847,-0.4999999999999998,0.4999999999999998
4.25,0.0,0.9859363729567544,1.0,0.014063627043245597,2.7731682875268175,-0.4999999999999999,0.4999999999999999
4.300000000000001,0.0,0.9866130821723351,1.0,0.01338691782766488,2.6415416517480454,-0.4999999999999999,0.4999999999999999
4.35,0.0,0.9872576505358884,1.0,0.012742349464111569,2.5159963988492047,-0.5,0.5
4.4,0.0,0.9878715650157257,1.0,0.012128434984274294,2.396267209821305,-0.5000000000000001,0.5000000000000001
4.450000000000001,0.0,0.9884562475160777,1.0,0.011543752483922254,2.2820988525024384,-0.4999999999999999,0.4999999999999999
