s,x,y,kappa
2.535714285714285587e-02,2.468349062320604123e-02,4.900388866256790571e-03,2.104781556708929813e+01
2.553571428571428659e-02,2.484590649385212680e-02,4.974610161292560874e-03,2.110651511881959053e+01
2.571428571428571383e-02,2.500804150486147029e-02,5.049443000790650345e-03,2.116502256302650764e+01
2.589285714285714454e-02,2.516989258242977034e-02,5.124887977265547845e-03,2.122333137333686182e+01
2.607142857142857179e-02,2.533145664477795198e-02,5.200945651819706070e-03,2.128143498686226565e+01
2.624999999999999903e-02,2.549273009733730652e-02,5.277617611515927377e-03,2.133932642972805738e+01
2.642857142857142974e-02,2.565371020973535379e-02,5.354903564321637430e-03,2.139699932758393075e+01
2.660714285714285698e-02,2.581439393088327469e-02,5.432803860578628262e-03,2.145444705381719785e+01
2.678571428571428423e-02,2.597477814918849881e-02,5.511318932658467243e-03,2.151166291324236823e+01
2.696428571428571494e-02,2.613485974680012508e-02,5.590449180916985325e-03,2.156864018334890787e+01
2.714285714285714218e-02,2.629463556935214205e-02,5.670195034607371058e-03,2.162537209124738524e+01
2.732142857142857290e-02,2.645410148720156798e-02,5.750558804016973023e-03,2.168185103464399077e+01
2.750000000000000014e-02,2.661325530412513365e-02,5.831538899923651917e-03,2.173807097107397723e+01
2.767857142857142738e-02,2.677209387954130812e-02,5.913135591696309055e-03,2.179402508446418452e+01
2.785714285714285809e-02,2.693061391109433794e-02,5.995349418030525637e-03,2.184970640469066794e+01
2.803571428571428534e-02,2.708881115050829763e-02,6.078182664849466829e-03,2.190510710841731523e+01
2.821428571428571258e-02,2.724668360382332538e-02,6.161633254888049596e-03,2.196022132423451723e+01
2.839285714285714329e-02,2.740422811354454799e-02,6.245701325069298072e-03,2.201504217579283917e+01
2.857142857142857054e-02,2.756143990563652765e-02,6.330389961821661013e-03,2.206956129599167582e+01
2.875000000000000125e-02,2.771831725897294652e-02,6.415696514659532251e-03,2.212377307894823630e+01
2.892857142857142849e-02,2.787485663498025582e-02,6.501621690901869532e-03,2.217767027211496966e+01
