phi,z
3.830997708127553469e+00,1.692603903795651121e-01
3.839724354387525018e+00,1.681580729156022247e-01
3.848451000647496567e+00,1.670693225231727752e-01
3.857177646907468116e+00,1.659852655971326973e-01
3.865904293167440109e+00,1.649158373814216816e-01
3.874630939427411658e+00,1.638547560405943793e-01
3.883357585687383207e+00,1.628020390410838125e-01
3.892084231947354755e+00,1.617646597851345736e-01
3.900810878207326748e+00,1.607356708658187194e-01
3.909537524467298297e+00,1.597179769045967979e-01
3.918264170727269846e+00,1.587130079076957689e-01
3.926990816987241395e+00,1.577204194544431226e-01
3.935717463247212944e+00,1.567355072288716122e-01
3.944444109507184937e+00,1.557687061113585958e-01
3.953170755767156486e+00,1.548066262011640326e-01
3.961897402027128035e+00,1.538647766369538594e-01
3.970624048287099583e+00,1.529291365163893968e-01
3.979350694547071576e+00,1.520105512858837271e-01
3.988077340807043125e+00,1.511019909621410806e-01
3.996803987067014674e+00,1.502077543613846156e-01
4.005530633326986667e+00,1.493268951782491527e-01
4.014257279586957772e+00,1.484571104750430082e-01
4.022983925846929765e+00,1.475679025644011932e-01
4.031710572106900869e+00,1.466477998284911599e-01
4.040437218366872862e+00,1.456969794182388644e-01
4.049163864626844855e+00,1.447154776489300576e-01
4.057890510886815960e+00,1.437033651037302462e-01
4.066617157146787953e+00,1.426608228916234067e-01
4.075343803406759058e+00,1.415878523248540188e-01
4.084070449666731051e+00,1.404845606286487247e-01
4.092797095926703044e+00,1.393511281517088307e-01
4.101523742186674149e+00,1.381875763051564621e-01
4.110250388446646141e+00,1.369940150431875059e-01
4.118977034706618134e+00,1.357705659392744180e-01
4.127703680966589239e+00,1.345173795600609623e-01
4.136430327226561232e+00,1.332345184129648530e-01
4.145156973486532337e+00,1.319221007015483338e-01
4.153883619746504330e+00,1.305802467687960378e-01
4.162610266006476323e+00,1.292090790854497351e-01
4.171336912266447428e+00,1.278087222384038657e-01
4.180063558526419421e+00,1.263793026023577182e-01
4.188790204786390525e+00,1.249209589415407051e-01
4.197516851046362518e+00,1.234338064537526952e-01
4.206243497306334511e+00,1.219194841475370883e-01
4.214970143566305616e+00,1.204036549985888355e-01
4.223696789826277609e+00,1.188592828916520128e-01
4.232423436086248714e+00,1.172865131335698030e-01
4.241150082346220707e+00,1.156854891370554111e-01
4.249876728606192700e+00,1.140563454978359981e-01
4.258603374866163804e+00,1.124235971343862522e-01
4.267330021126135797e+00,1.107910137839863557e-01
4.276056667386107790e+00,1.091586661567095773e-01
4.284783313646078895e+00,1.075266254693628271e-01
4.293509959906050888e+00,1.058925269651938839e-01
4.302236606166021993e+00,1.042756702891522863e-01
4.310963252425993986e+00,1.026842488386742192e-01
4.319689898685965979e+00,1.011204384048786237e-01
4.328416544945937083e+00,9.958953356435461257e-02
4.337143191205909076e+00,9.809000861158809204e-02
4.345869837465880181e+00,9.662621974279030079e-02
4.354596483725852174e+00,9.520098162394202701e-02
4.363323129985824167e+00,9.382000746298203853e-02
4.372049776245795272e+00,9.248551923823085386e-02
4.380776422505767265e+00,9.119826892135485252e-02
4.389503068765738369e+00,8.999056221864518146e-02
4.398229715025710362e+00,8.893302149508246213e-02
4.406956361285682355e+00,8.802269350551404636e-02
4.415683007545653460e+00,8.722871744976808117e-02
4.424409653805625453e+00,8.655140574209785331e-02
4.433136300065597446e+00,8.599000852582774912e-02
4.441862946325568551e+00,8.555047314876022824e-02
4.450589592585540544e+00,8.523303797487251365e-02
4.459316238845511648e+00,8.504004466455108990e-02
4.468042885105483641e+00,8.497115765607549109e-02
4.476769531365455634e+00,8.503129561084632471e-02
4.485496177625426739e+00,8.514715326285514363e-02
4.494222823885398732e+00,8.529463946374310490e-02
4.502949470145369837e+00,8.547007766924849537e-02
4.511676116405341830e+00,8.567483161354581822e-02
4.520402762665313823e+00,8.586540773317420661e-02
4.529129408925284928e+00,8.602384208565612422e-02
4.537856055185256920e+00,8.615012820807127492e-02
4.546582701445228913e+00,8.624426215277659902e-02
4.555309347705200018e+00,8.630624210384714445e-02
4.564035993965172011e+00,8.633612733650425364e-02
4.572762640225143116e+00,8.633387125912102278e-02
4.581489286485115109e+00,8.629947530012449519e-02
4.590215932745087102e+00,8.623294807015309538e-02
4.598942579005058207e+00,8.614175065994394975e-02
4.607669225265030200e+00,8.604310321755385960e-02
4.616395871525001304e+00,8.591241538514364506e-02
4.625122517784973297e+00,8.574965280590531036e-02
4.633849164044945290e+00,8.555482143474361922e-02
4.642575810304916395e+00,8.539088012569773234e-02
4.651302456564888388e+00,8.527673732592473688e-02
4.660029102824859493e+00,8.521325883459369976e-02
4.668755749084831486e+00,8.519916768941897256e-02
4.677482395344803479e+00,8.524074508851714471e-02
4.686209041604774583e+00,8.533166790827891035e-02
4.694935687864746576e+00,8.548322900263237434e-02
4.703662334124718569e+00,8.569395956911946000e-02
4.712388980384689674e+00,8.596541295209599032e-02
4.721115626644661667e+00,8.630206031390158516e-02
4.729842272904632772e+00,8.670511044506673537e-02
4.738568919164604765e+00,8.717869540097947234e-02
4.747295565424576758e+00,8.773116276397208146e-02
4.756022211684547862e+00,8.836575963088581787e-02
4.764748857944519855e+00,8.906902240360223266e-02
4.773475504204490960e+00,8.985069281288203535e-02
4.782202150464462953e+00,9.073358272501866328e-02
4.790928796724434946e+00,9.168699266501458001e-02
4.799655442984406051e+00,9.273160902319482757e-02
4.808382089244378044e+00,9.386721294209281197e-02
4.817108735504349148e+00,9.508025019570810754e-02
4.825835381764321141e+00,9.638531938081693062e-02
4.834562028024293134e+00,9.777737690975547846e-02
4.843288674284264239e+00,9.923531915647895718e-02
4.852015320544236232e+00,1.008052739621719540e-01
4.860741966804208225e+00,1.024141390973753452e-01
4.869468613064179330e+00,1.041145892109128224e-01
4.878195259324151323e+00,1.059058387692367320e-01
4.886921905584122428e+00,1.077345907228400151e-01
4.895648551844094420e+00,1.096365511369395557e-01
4.904375198104066413e+00,1.116220035135986333e-01
4.913101844364037518e+00,1.136574090641752077e-01
4.921828490624009511e+00,1.157269232546968424e-01
4.930555136883980616e+00,1.178193390829379711e-01
4.939281783143952609e+00,1.198850671848170207e-01
4.948008429403924602e+00,1.219239481410290954e-01
4.956735075663895707e+00,1.239358220778365854e-01
4.965461721923867700e+00,1.259205330004178891e-01
4.974188368183838804e+00,1.278779258512829919e-01
4.982915014443810797e+00,1.298078495402640586e-01
4.991641660703782790e+00,1.317101528403209487e-01
5.000368306963753895e+00,1.335846890055704395e-01
5.009094953223725888e+00,1.354313128294679092e-01
5.017821599483697881e+00,1.372498811703438404e-01
5.026548245743668986e+00,1.390402532374016564e-01
5.035274892003640979e+00,1.408022905094559185e-01
5.044001538263612083e+00,1.425358570636787447e-01
5.052728184523584076e+00,1.442408193453892651e-01
5.061454830783556069e+00,1.459170588152894910e-01
5.070181477043527174e+00,1.475644353639425643e-01
