phi,z
2.295107966372543551e+00,1.121473621798115411e-01
2.303834612632515100e+00,1.142357503180607137e-01
2.312561258892486649e+00,1.163187594149664716e-01
2.321287905152458197e+00,1.183764784514222262e-01
2.330014551412429746e+00,1.204086698655901094e-01
2.338741197672401739e+00,1.224151753133246728e-01
2.347467843932373288e+00,1.243958141562304665e-01
2.356194490192344837e+00,1.263504063985304571e-01
2.364921136452316386e+00,1.282787705685611568e-01
2.373647782712288379e+00,1.301807643962176464e-01
2.382374428972259928e+00,1.320561644929802991e-01
2.391101075232231477e+00,1.339048693146239477e-01
2.399827721492203025e+00,1.357266755886877008e-01
2.408554367752174574e+00,1.375214078874682500e-01
2.417281014012146567e+00,1.392889308238567936e-01
2.426007660272118116e+00,1.410291071770202187e-01
2.434734306532089665e+00,1.427417463725891011e-01
2.443460952792061214e+00,1.444266998532346968e-01
2.452187599052033207e+00,1.460838208026548346e-01
2.460914245312004756e+00,1.477129644418749277e-01
2.469640891571976304e+00,1.493139884383879457e-01
2.478367537831947853e+00,1.508867581964715987e-01
2.487094184091919402e+00,1.524456018122963552e-01
2.495820830351891395e+00,1.540011583468519074e-01
2.504547476611862944e+00,1.555616282267613393e-01
2.513274122871834493e+00,1.571311663127534508e-01
2.522000769131806042e+00,1.587115428152565677e-01
2.530727415391778035e+00,1.602975763402201270e-01
2.539454061651749583e+00,1.618930417587960136e-01
2.548180707911721132e+00,1.634959392398301070e-01
2.556907354171692681e+00,1.651097274357457290e-01
2.565634000431664230e+00,1.667266538548381749e-01
2.574360646691636223e+00,1.683508259380895600e-01
2.583087292951607772e+00,1.699843703931609995e-01
2.591813939211579321e+00,1.716231548804560136e-01
2.600540585471550870e+00,1.732702627866150868e-01
2.609267231731522863e+00,1.749193050849166264e-01
2.617993877991494411e+00,1.765784019172533525e-01
2.626720524251465960e+00,1.782418111403300809e-01
2.635447170511437509e+00,1.799101636767818091e-01
2.644173816771409058e+00,1.815860823497734144e-01
2.652900463031381051e+00,1.832627176285290815e-01
2.661627109291352600e+00,1.849477977035561826e-01
2.670353755551324149e+00,1.866365090001511906e-01
2.679080401811295697e+00,1.883298543196177122e-01
2.687807048071267690e+00,1.900299962699443512e-01
2.696533694331239239e+00,1.917296251659723061e-01
2.705260340591210788e+00,1.934337293815534820e-01
2.713986986851182337e+00,1.951442415493491178e-01
2.722713633111153886e+00,1.968546775992848219e-01
2.731440279371125879e+00,1.985743893653518222e-01
2.740166925631097428e+00,2.002923486575887702e-01
2.748893571891068976e+00,2.020144590754957004e-01
2.757620218151040525e+00,2.037421935684709529e-01
2.766346864411012518e+00,2.054675528862085210e-01
2.775073510670984067e+00,2.071968983753594284e-01
2.783800156930955616e+00,2.089314732782932837e-01
2.792526803190927165e+00,2.106630486693417403e-01
2.801253449450898714e+00,2.123984957398807050e-01
2.809980095710870707e+00,2.141386720930444632e-01
2.818706741970842256e+00,2.158753539339090810e-01
2.827433388230813804e+00,2.176200449782352553e-01
2.836160034490785353e+00,2.193604840159397995e-01
2.844886680750757346e+00,2.211044061768773494e-01
2.853613327010728895e+00,2.228523661251120280e-01
2.862339973270700444e+00,2.245954464529308359e-01
2.871066619530671993e+00,2.263418403993875394e-01
2.879793265790643542e+00,2.280918732842125984e-01
2.888519912050615535e+00,2.298363983877974304e-01
2.897246558310587083e+00,2.315840671494148462e-01
2.905973204570558632e+00,2.333349756356119520e-01
2.914699850830530181e+00,2.350751519887756547e-01
2.923426497090502174e+00,2.367877911843453420e-01
2.932153143350473723e+00,2.384727446649911042e-01
2.940879789610445272e+00,2.401298656144111032e-01
2.949606435870416821e+00,2.417590092536308632e-01
2.958333082130388370e+00,2.433600332501447971e-01
2.967059728390360362e+00,2.449328030082273400e-01
2.975786374650331911e+00,2.464771751151638990e-01
2.984513020910303460e+00,2.479930042641121934e-01
2.993239667170275009e+00,2.494801567519001895e-01
3.001966313430247002e+00,2.509385004127173135e-01
3.010692959690218551e+00,2.523679200487635721e-01
3.019419605950190100e+00,2.537682768958093305e-01
