n,order,round,lower,upper,width,lower_float,upper_float,width_float,rho
2,4,3,6994758511515882344041703704141125838875928425216/4946041176255201878775086487573351061418968498177,4946041176255201878775086487573351061418968498177/3497379255757941172020851852070562919437964212608,1/17298181807959549882659272694507430758694930035994171324093552383123282847262734884162646088415616,1.4142135623730951,1.4142135623730951,5.7809543864307291e-98,1.025304832720493910381224325052031106963012109648287353053092810043281046885027603166530962387540151E-98
2,4,4,6770736229888452262320978176825528826369194395200860848160848978434911280671041730892183694084784566790226060986350541514654154409887221237834146482160520905550110242163896509537695183089927965696/4787633501779563550338751478164352626393810985192405254654229276251925362787770306352384325384596398594331240032637710299217577668263130246892221798809427255174348445597103634783814035090442551297,4787633501779563550338751478164352626393810985192405254654229276251925362787770306352384325384596398594331240032637710299217577668263130246892221798809427255174348445597103634783814035090442551297/3385368114944226131160489088412764413184597197600430424080424489217455640335520865446091847042392283395113030493175270757327077204943610618917073241080260452775055121081948254768847591544963982848,1/16207901802963305358953104995107962944580288226360273862214792773825746520390666916181487945905521185480050502718396729968222061511921853590431963883231862854549365739571307965640599553021472637177206503147912510401725225600535967037936143318401223620375536048011185340256710462785907579977304036581162417504828560754609799801583561441289258661703863156236214119175696133641980180747668153856,1.4142135623730951,1.4142135623730951,0,0
3,2,0,3/2,2,1/2,1.5,2,0.5,0.07179676972449082589021463397651053222877898475847748777677208219226793236479985167541525297100569739
3,2,1,12/7,7/4,1/28,1.7142857142857142,1.75,0.035714285714285712,0.005154776142871562463004875671147451202905786618684828874809150691751053107197923455813541594079762342
3,2,2,168/97,97/56,1/5432,1.731958762886598,1.7321428571428572,0.00018409425625920471,0.00002657171708311782294588020260553336372260402485680171297523419970430279639715042782706925147386007933
3,2,3,32592/18817,18817/10864,1/204427888,1.732050805123027,1.7320508100147276,4.8917004904927646e-09,7.060561487452555448566426103364798714608756661099638716717314396103592008439242099672471498433805082E-10
3,2,4,1226567328/708158977,708158977/408855776,1/289534888072701152,1.7320508075688772,1.7320508075688772,3.4538152091325989e-18,4.985152851809824231096504144732511697400252321864185005443418103918778900268817201241547321296521036E-19
3,3,0,3/2,2,1/2,1.5,2,0.5,0.07179676972449082589021463397651053222877898475847748777677208219226793236479985167541525297100569739
3,3,1,45/26,26/15,1/390,1.7307692307692308,1.7333333333333334,0.0025641025641025641,0.0003700962757110485918536254195537846119020279031101164705560274922468111359710767059743293461109730386
3,3,2,121635/70226,70226/40545,1/2847313170,1.7320508073932732,1.7320508077444814,3.5120829367708785e-10,5.069255072402395452935592816102111004765858485718347799548193104472820750161307503009607921156560549E-11
