s,x,y,kappa
2.370617696160267074e-01,1.736795780424852664e-01,1.374422186483237884e-01,4.246098062457831723e+00
2.387312186978297335e-01,1.741854907955042997e-01,1.390331620456705108e-01,4.231174388906270956e+00
2.404006677796327318e-01,1.746801530191896823e-01,1.406276393811676240e-01,4.216312617302927279e+00
2.420701168614357301e-01,1.751635796771854880e-01,1.422255591025730626e-01,4.201513242703293294e+00
2.437395659432387285e-01,1.756357863791261076e-01,1.438268303725236397e-01,4.186776733290332508e+00
2.454090150250417546e-01,1.760967893667353956e-01,1.454313630687678882e-01,4.172103531016309930e+00
2.470784641068447529e-01,1.765466055002317958e-01,1.470390677842104976e-01,4.157494052236656579e+00
2.487479131886477512e-01,1.769852522450632293e-01,1.486498558267765890e-01,4.142948688335731156e+00
2.504173622704507496e-01,1.774127476589961172e-01,1.502636392191001868e-01,4.128467806344253255e+00
2.520868113522537479e-01,1.778291103736525658e-01,1.518803306968889155e-01,4.114051749559787474e+00
2.537562604340567463e-01,1.782343595817806048e-01,1.534998437083567036e-01,4.099700838145958315e+00
2.554257095158598001e-01,1.786285150367163954e-01,1.551220924156375969e-01,4.085415369701930643e+00
2.570951585976627984e-01,1.790115970323077899e-01,1.567469916921000461e-01,4.071195619862479020e+00
2.587646076794657968e-01,1.793836263711336421e-01,1.583744571177821137e-01,4.057041842905230844e+00
2.604340567612687951e-01,1.797446243880220229e-01,1.600044049843583893e-01,4.042954272254292825e+00
2.621035058430717934e-01,1.800946129161118681e-01,1.616367522895766073e-01,4.028933121076759605e+00
2.637729549248747918e-01,1.804336142634400675e-01,1.632714167339318345e-01,4.014978582845886379e+00
2.654424040066777901e-01,1.807616512423522448e-01,1.649083167252225479e-01,4.001090831818763682e+00
2.671118530884807885e-01,1.810787470986877090e-01,1.665473713675344192e-01,3.987270023652129236e+00
2.687813021702837868e-01,1.813849255679010897e-01,1.681885004691059393e-01,3.973516295828368072e+00
2.704507512520868406e-01,1.816802107953183476e-01,1.698316245303119199e-01,3.959829768258965821e+00
2.721202003338898390e-01,1.819646273849595819e-01,1.714766647495958585e-01,3.946210543708987828e+00
2.737896494156928373e-01,1.822382003509916693e-01,1.731235430158590272e-01,3.932658708338032216e+00
2.754590984974958356e-01,1.825009551063741242e-01,1.747721819061023030e-01,3.919174332181471154e+00
2.771285475792988340e-01,1.827529174927687017e-01,1.764225046873922897e-01,3.905757469582757491e+00
2.787979966611018323e-01,1.829941137197415024e-01,1.780744353081896714e-01,3.892408159712465121e+00
2.804674457429048307e-01,1.832245703736439524e-01,1.797278983978775335e-01,3.879126427002455912e+00
2.821368948247078290e-01,1.834443144199881248e-01,1.813828192649953874e-01,3.865912281582486454e+00
2.838063439065108828e-01,1.836533731904465283e-01,1.830391238936662779e-01,3.852765719723310944e+00
2.854757929883138812e-01,1.838517743536039473e-01,1.846967389386890424e-01,3.839686724281496932e+00
2.871452420701168795e-01,1.840395459196356165e-01,1.863555917237316450e-01,3.826675265107327917e+00
2.888146911519198778e-01,1.842167162308224748e-01,1.880156102379952343e-01,3.813731299456874169e+00
2.904841402337228762e-01,1.843833139518222253e-01,1.896767231327823044e-01,3.800854772395523717e+00
2.921535893155258745e-01,1.845393680601354336e-01,1.913388597180161188e-01,3.788045617192695058e+00
2.938230383973288729e-01,1.846849078367800157e-01,1.930019499587117826e-01,3.775303755707838604e+00
2.954924874791318712e-01,1.848199628571958741e-01,1.946659244714027404e-01,3.762629098767838354e+00
2.971619365609349250e-01,1.849445629824179316e-01,1.963307145205255289e-01,3.750021546535902139e+00
2.988313856427379234e-01,1.850587383505865879e-01,1.979962520147643124e-01,3.737480988872067034e+00
3.005008347245409217e-01,1.851625193689231674e-01,1.996624695033598629e-01,3.725007305685426040e+00
3.021702838063439200e-01,1.852559367064207652e-01,2.013293001723822084e-01,3.712600367278183544e+00
3.038397328881469184e-01,1.853390212877662480e-01,2.029966778409722505e-01,3.700260034681680299e+00
3.055091819699499167e-01,1.854118042896521490e-01,2.046645369575529894e-01,3.687986159984477208e+00
3.071786310517529150e-01,1.854743171320995254e-01,2.063328125957775427e-01,3.675778586654479874e+00
3.088480801335559134e-01,1.855265914124533400e-01,2.080014404493799873e-01,3.663637149861584952e+00
3.105175292153589672e-01,1.855686589839408152e-01,2.096703568306100829e-01,3.651561676764531583e+00
