s,x,y,kappa
3.839732888146911438e-02,3.817776774751793084e-02,3.549985869071892002e-03,4.795319019883155676e+00
4.006677796327211966e-02,3.981742854527409170e-02,3.863924970144866702e-03,4.791736192241089043e+00
4.173622704507512493e-02,4.145452554543153922e-02,4.190970420563366709e-03,4.788012550486967278e+00
4.340567612687813021e-02,4.308895609929942749e-02,4.531091120870601834e-03,4.784149770296202142e+00
4.507512520868113548e-02,4.472061805888898067e-02,4.884254838609308064e-03,4.780149652186843845e+00
4.674457429048414076e-02,4.634940978482770396e-02,5.250428159139145998e-03,4.776014132666098533e+00
4.841402337228714603e-02,4.797523016677225638e-02,5.629576530361622526e-03,4.771745295468329040e+00
5.008347245409015130e-02,4.959797864336441126e-02,6.021664301498918202e-03,4.767345384152759991e+00
5.175292153589315658e-02,5.121755520977425841e-02,6.426654688731464615e-03,4.762816816997434088e+00
5.342237061769616185e-02,5.283386043548623373e-02,6.844509811017456674e-03,4.758162202596476043e+00
5.509181969949916713e-02,5.444679548271235542e-02,7.275190728989870161e-03,4.753384357070097543e+00
5.676126878130217240e-02,5.605626211477849480e-02,7.718657431142409396e-03,4.748486323729951941e+00
5.843071786310517768e-02,5.766216270927135984e-02,8.174868853517675005e-03,4.743471394287893439e+00
6.010016694490818295e-02,5.926440027303368774e-02,8.643782912150845335e-03,4.738343131988455248e+00
6.176961602671118823e-02,6.086287845512771549e-02,9.125356527663434913e-03,4.733105397075246579e+00
6.343906510851418656e-02,6.245750155237687201e-02,9.619545619279735310e-03,4.727762375096658864e+00
6.510851419031719878e-02,6.404817452211890305e-02,1.012630514008682620e-02,4.722318607244912592e+00
6.677796327212019711e-02,6.563480299219617842e-02,1.064558910288427272e-02,4.716779023562263085e+00
6.844741235392320933e-02,6.721729327014913657e-02,1.117735060719007162e-02,4.711148979048402019e+00
7.011686143572620766e-02,6.879555234618107973e-02,1.172154184555440626e-02,4.705434293228683451e+00
7.178631051752921988e-02,7.036948790115553354e-02,1.227811413844255399e-02,4.699641292598704112e+00
7.345575959933221821e-02,7.193900831152330588e-02,1.284701796179957452e-02,4.693776856674300113e+00
7.512520868113523043e-02,7.350402265329701590e-02,1.342820297724207391e-02,4.687848467685119758e+00
7.679465776293822876e-02,7.506444070382115030e-02,1.402161806054777297e-02,4.681864264192968861e+00
7.846410684474124098e-02,7.662017293999440204e-02,1.462721132471911205e-02,4.675833098962161039e+00
8.013355592654423931e-02,7.817113053832321079e-02,1.524493015811365960e-02,4.669764600832616352e+00
8.180300500834725153e-02,7.971722537171888057e-02,1.587472125867794501e-02,4.663669241181342962e+00
8.347245409015024986e-02,8.125837000424997181e-02,1.651653066984397344e-02,4.657558405075652885e+00
8.514190317195326208e-02,8.279447768373861261e-02,1.717030381841174944e-02,4.651444467318921028e+00
8.681135225375626041e-02,8.432546233247084633e-02,1.783598555594029939e-02,4.645340873534665072e+00
8.848080133555927262e-02,8.585123853410359107e-02,1.851352019827228260e-02,4.639262226705598735e+00
9.015025041736227096e-02,8.737172151862700187e-02,1.920285157016785732e-02,4.633224379155283401e+00
9.181969949916528317e-02,8.888682714473065960e-02,1.990392305349753671e-02,4.627244530196278127e+00
9.348914858096828151e-02,9.039647187859807531e-02,2.061667763687888635e-02,4.621341329753845706e+00
9.515859766277129372e-02,9.190057276923485619e-02,2.134105796810317063e-02,4.615534988140247208e+00
9.682804674457429206e-02,9.339904742005258886e-02,2.207700640950851015e-02,4.609847392201211314e+00
9.849749582637730427e-02,9.489181395641292649e-02,2.282446509646186839e-02,4.604302228064357294e+00
1.001669449081803026e-01,9.637879098881439732e-02,2.358337599911636620e-02,4.598925110730556653e+00
1.018363939899833148e-01,9.785989757138427447e-02,2.435368098761500621e-02,4.593743720764170035e+00
1.035058430717863132e-01,9.933505315531408753e-02,2.513532190091595162e-02,4.588787948357540003e+00
1.051752921535893254e-01,1.008041775368544307e-01,2.592824061941778613e-02,4.584090045070006170e+00
1.068447412353923237e-01,1.022671907994591317e-01,2.673237914156670683e-02,4.579684783572833595e+00
1.085141903171953220e-01,1.037240132496431294e-01,2.754767966463006826e-02,4.575609625770105104e+00
1.101836393989983343e-01,1.051745653460902791e-01,2.837408466982354119e-02,4.571904899712538217e+00
1.118530884808013326e-01,1.066187676215176461e-01,2.921153701198018690e-02,4.568613985777381536e+00
1.135225375626043448e-01,1.080565405967727488e-01,3.005998001395257524e-02,4.565783512652992648e+00
1.151919866444073431e-01,1.094878046866060856e-01,3.091935756593906445e-02,4.563463563735381534e+00
1.168614357262103554e-01,1.109124800965267110e-01,3.178961422992675895e-02,4.561707894574491995e+00
1.185308848080133537e-01,1.123304867101108662e-01,3.267069534944458398e-02,4.560574161521450343e+00
1.202003338898163659e-01,1.137417439658015145e-01,3.356254716430756568e-02,4.560124132437278988e+00
1.218697829716193642e-01,1.151461707227480341e-01,3.446511693112225966e-02,4.560424123032047028e+00
1.235392320534223765e-01,1.165436851164080023e-01,3.537835305216856241e-02,4.561544886629707030e+00
1.252086811352253748e-01,1.179342043999854761e-01,3.630220520734012829e-02,4.563562307718516564e+00
1.268781302170283731e-01,1.193176447729875356e-01,3.723662449329888380e-02,4.566557491813447278e+00
1.285475792988313992e-01,1.206939211955117275e-01,3.818156356915978350e-02,4.570617142171697900e+00
1.302170283806343976e-01,1.220629471872334698e-01,3.913697680883927721e-02,4.575833909422135193e+00
1.318864774624373959e-01,1.234246346094742541e-01,4.010282045953909857e-02,4.582306766204878201e+00
1.335559265442403942e-01,1.247788934292098917e-01,4.107905280681779098e-02,4.590141409671273820e+00
1.352253756260434203e-01,1.261256314685690327e-01,4.206563435238155207e-02,4.599450702550140768e+00
1.368948247078464187e-01,1.274647541296620168e-01,4.306252799299428724e-02,4.610355140716702493e+00
1.385642737896494170e-01,1.287961640990577805e-01,4.406969920885209224e-02,4.622983363248816424e+00
1.402337228714524153e-01,1.301197610292600670e-01,4.508711626002311762e-02,4.637472707125057880e+00
1.419031719532554414e-01,1.314354411931542566e-01,4.611475038888273453e-02,4.653969808925029206e+00
1.435726210350584398e-01,1.327430971161115414e-01,4.715257603552236443e-02,4.672631268574164665e+00
1.452420701168614381e-01,1.340426171785033538e-01,4.820057106016072124e-02,4.693624374352952877e+00
1.469115191986644364e-01,1.353338851839340218e-01,4.925871697118678477e-02,4.717127894456016435e+00
1.485809682804674625e-01,1.366167798955010559e-01,5.032699916379321237e-02,4.743332950066625919e+00
1.502504173622704609e-01,1.378911745351076301e-01,5.140540716721819087e-02,4.772443976657486431e+00
1.519198664440734592e-01,1.391569362423501766e-01,5.249393490069347024e-02,4.804679783928946790e+00
1.535893155258764575e-01,1.404139254970944162e-01,5.359258094298575276e-02,4.840274734887676011e+00
1.552587646076794836e-01,1.416619954886872979e-01,5.470134880624761414e-02,4.879480042040672316e+00
1.569282136894824820e-01,1.429009914362685263e-01,5.582024722088936575e-02,4.922565205847528880e+00
1.585976627712854803e-01,1.441307498542530041e-01,5.694929043030130117e-02,4.969819610298848112e+00
1.602671118530884786e-01,1.453510977574952179e-01,5.808849849510653446e-02,5.021554293479092657e+00
1.619365609348914770e-01,1.465618518004375981e-01,5.923789760680320260e-02,5.078103913298465777e+00
1.636060100166945031e-01,1.477628173438842174e-01,6.039752041053082082e-02,5.139828930578427268e+00
1.652754590984975014e-01,1.489537874423000063e-01,6.156740633652908745e-02,5.207118033766952259e+00
1.669449081803004997e-01,1.501345417436893981e-01,6.274760193964515342e-02,5.280390831702218790e+00
1.686143572621034981e-01,1.513048452931622379e-01,6.393816124597377637e-02,5.360100842971588619e+00
1.702838063439065242e-01,1.524644472302109643e-01,6.513914610536784833e-02,5.446738812428372434e+00
1.719532554257095225e-01,1.536130793684999385e-01,6.635062654811921257e-02,5.540836387185877676e+00
1.736227045075125208e-01,1.547504546455702734e-01,6.757268114355215183e-02,5.642970185695485696e+00
1.752921535893155192e-01,1.558762654282646321e-01,6.880539735757347508e-02,5.753766294031475326e+00
1.769616026711185452e-01,1.569901816578448961e-01,7.004887190533996832e-02,5.873905222824575389e+00
1.786310517529215436e-01,1.580918488304446923e-01,7.130321109580745054e-02,6.004127368560735256e+00
1.803005008347245419e-01,1.591808857767717245e-01,7.256853115872556603e-02,6.145238990362856590e+00
1.819699499165275403e-01,1.602568821869418680e-01,7.384495854362926881e-02,6.298118691601236385e+00
1.836393989983305663e-01,1.613193959949068002e-01,7.513263019555291300e-02,6.463724539013711912e+00
1.853088480801335647e-01,1.623679503553816517e-01,7.643169376840841522e-02,6.643101583916900310e+00
1.869782971619365630e-01,1.634020304815038682e-01,7.774230778992105573e-02,6.837390013528456656e+00
1.886477462437395614e-01,1.644210800360138558e-01,7.906464173129564010e-02,7.047833593940230124e+00
1.903171953255425874e-01,1.654244972158247506e-01,8.039887597249534279e-02,7.275788416087470623e+00
1.919866444073455858e-01,1.664116304616890529e-01,8.174520162681080115e-02,7.522731683275296177e+00
1.936560934891485841e-01,1.673817737116868876e-01,8.310382018266286586e-02,7.790270152073497378e+00
1.953255425709515825e-01,1.683341612205031257e-01,8.447494291711771242e-02,8.080147772941062456e+00
1.969949916527546085e-01,1.692679618322471546e-01,8.585879001606679106e-02,8.394251735791785407e+00
1.986644407345576069e-01,1.701822727682984482e-01,8.725558933095187153e-02,8.734615991611306640e+00
2.003338898163606052e-01,1.710761128722347035e-01,8.866557467830207817e-02,9.103420820556689108e+00
2.020033388981636036e-01,1.719484152502815111e-01,9.008898356738002933e-02,9.502986491325589924e+00
2.036727879799666296e-01,1.727980193578530776e-01,9.152605422185693118e-02,9.935758486662106037e+00
2.053422370617696280e-01,1.736236625721445936e-01,9.297702173210838084e-02,1.040428089722873928e+01
2.070116861435726263e-01,1.744239712702089773e-01,9.444211313934675056e-02,1.091115347705379612e+01
2.086811352253756247e-01,1.751974516775454127e-01,9.592154123206625416e-02,1.145896678438852412e+01
2.103505843071786507e-01,1.759424804337605119e-01,9.741549677096641990e-02,1.205020794179871224e+01
2.120200333889816491e-01,1.766572954463601353e-01,9.892413886203565987e-02,1.268712849056430869e+01
2.136894824707846474e-01,1.773399872682737688e-01,1.004475831352211052e-01,1.337156374681315540e+01
2.153589315525876458e-01,1.779884919154175460e-01,1.019858874192605819e-01,1.410469244708845693e+01
2.170283806343906441e-01,1.786005855060301961e-01,1.035390345457524175e-01,1.488672435291124962e+01
2.186978297161936702e-01,1.791738822033276390e-01,1.051069120554717906e-01,1.571650607486528273e+01
2.203672787979966685e-01,1.797058369717764448e-01,1.066892886909508870e-01,1.659103993176621472e+01
2.220367278797996669e-01,1.801937543936834862e-01,1.082857877114825479e-01,1.750491965009064543e+01
2.237061769616026652e-01,1.806348060731184091e-01,1.098958575359652856e-01,1.844970465909132429e+01
2.253756260434056913e-01,1.810260590529860492e-01,1.115187407008800397e-01,1.941327974426599567e+01
2.270450751252086896e-01,1.813645168850124001e-01,1.131534427079019245e-01,2.037927997640496258e+01
2.287145242070116880e-01,1.816471764642511311e-01,1.147987033842040872e-01,2.132670373049427326e+01
