s,x,y,kappa
1.652754590984975014e-01,1.579486057285811873e-01,4.195246979925617431e-02,3.141592653589793116e+00
1.669449081803004997e-01,1.593958464761852378e-01,4.278466452798987407e-02,3.141592653589793116e+00
1.686143572621034981e-01,1.608387027032841254e-01,4.362443816176247297e-02,3.141592653589793116e+00
1.702838063439065242e-01,1.622771347210600346e-01,4.447176760082072883e-02,3.141592653589793116e+00
1.719532554257095225e-01,1.637111029623923852e-01,4.532662953757302798e-02,3.141592653589793116e+00
1.736227045075125208e-01,1.651405679829462125e-01,4.618900045723037945e-02,3.141592653589793116e+00
1.752921535893155192e-01,1.665654904622572430e-01,4.705885663845333494e-02,3.141592653589793116e+00
1.769616026711185452e-01,1.679858312048133628e-01,4.793617415400452247e-02,3.141592653589793116e+00
1.786310517529215436e-01,1.694015511411328112e-01,4.882092887140663390e-02,3.141592653589793116e+00
1.803005008347245419e-01,1.708126113288389036e-01,4.971309645360646318e-02,3.141592653589793116e+00
1.819699499165275403e-01,1.722189729537313974e-01,5.061265235964426679e-02,3.141592653589793116e+00
1.836393989983305663e-01,1.736205973308537209e-01,5.151957184532876544e-02,3.141592653589793116e+00
1.853088480801335647e-01,1.750174459055574283e-01,5.243382996391771772e-02,3.141592653589793116e+00
1.869782971619365630e-01,1.764094802545627116e-01,5.335540156680439183e-02,3.141592653589793116e+00
1.886477462437395614e-01,1.777966620870151671e-01,5.428426130420908186e-02,3.141592653589793116e+00
1.903171953255425874e-01,1.791789532455391465e-01,5.522038362587661925e-02,3.141592653589793116e+00
1.919866444073455858e-01,1.805563157072873626e-01,5.616374278177885260e-02,3.141592653589793116e+00
1.936560934891485841e-01,1.819287115849867742e-01,5.711431282282332378e-02,3.141592653589793116e+00
1.953255425709515825e-01,1.832961031279807806e-01,5.807206760156690545e-02,3.141592653589793116e+00
1.969949916527546085e-01,1.846584527232675577e-01,5.903698077293494106e-02,3.141592653589793116e+00
1.986644407345576069e-01,1.860157228965347853e-01,6.000902579494615113e-02,3.141592653589793116e+00
2.003338898163606052e-01,1.873678763131904346e-01,6.098817592944245219e-02,3.141592653589793116e+00
2.020033388981636036e-01,1.887148757793896126e-01,6.197440424282465998e-02,3.141592653589793116e+00
2.036727879799666296e-01,1.900566842430579106e-01,6.296768360679330656e-02,3.141592653589793116e+00
2.053422370617696280e-01,1.913932647949102006e-01,6.396798669909475876e-02,3.141592653589793116e+00
2.070116861435726263e-01,1.927245806694663777e-01,6.497528600427290857e-02,3.141592653589793116e+00
2.086811352253756247e-01,1.940505952460623018e-01,6.598955381442596357e-02,3.141592653589793116e+00
2.103505843071786507e-01,1.953712720498574085e-01,6.701076222996869836e-02,3.141592653589793116e+00
2.120200333889816491e-01,1.966865747528377117e-01,6.803888316039971573e-02,3.141592653589793116e+00
2.136894824707846474e-01,1.979964671748153382e-01,6.907388832507435628e-02,3.141592653589793116e+00
2.153589315525876458e-01,1.993009132844237308e-01,7.011574925398243729e-02,3.141592653589793116e+00
2.170283806343906441e-01,2.005998772001085506e-01,7.116443728853154294e-02,3.141592653589793116e+00
2.186978297161936702e-01,2.018933231911149428e-01,7.221992358233514375e-02,3.141592653589793116e+00
2.203672787979966685e-01,2.031812156784701395e-01,7.328217910200618412e-02,3.141592653589793116e+00
2.220367278797996669e-01,2.044635192359623987e-01,7.435117462795587384e-02,3.141592653589793116e+00
2.237061769616026652e-01,2.057401985911152253e-01,7.542688075519703161e-02,3.141592653589793116e+00
2.253756260434056913e-01,2.070112186261577614e-01,7.650926789415336826e-02,3.141592653589793116e+00
2.270450751252086896e-01,2.082765443789908189e-01,7.759830627147309978e-02,3.141592653589793116e+00
2.287145242070116880e-01,2.095361410441483330e-01,7.869396593084806990e-02,3.141592653589793116e+00
2.303839732888146863e-01,2.107899739737550959e-01,7.979621673383771596e-02,3.141592653589793116e+00
2.320534223706177124e-01,2.120380086784796336e-01,8.090502836069815573e-02,3.141592653589793116e+00
2.337228714524207107e-01,2.132802108284828080e-01,8.202037031121604815e-02,3.141592653589793116e+00
2.353923205342237090e-01,2.145165462543624224e-01,8.314221190554778318e-02,3.141592653589793116e+00
2.370617696160267074e-01,2.157469809480928868e-01,8.427052228506312637e-02,3.141592653589793116e+00
2.387312186978297335e-01,2.169714810639607749e-01,8.540527041319438684e-02,3.141592653589793116e+00
2.404006677796327318e-01,2.181900129194956628e-01,8.654642507628974857e-02,3.141592653589793116e+00
2.420701168614357301e-01,2.194025429963969431e-01,8.769395488447223608e-02,3.141592653589793116e+00
2.437395659432387285e-01,2.206090379414556157e-01,8.884782827250292669e-02,3.141592653589793116e+00
2.454090150250417546e-01,2.218094645674717758e-01,9.000801350064936701e-02,3.141592653589793116e+00
2.470784641068447529e-01,2.230037898541673835e-01,9.117447865555848574e-02,3.141592653589793116e+00
2.487479131886477512e-01,2.241919809490948157e-01,9.234719165113446093e-02,3.141592653589793116e+00
2.504173622704507496e-01,2.253740051685402257e-01,9.352612022942159709e-02,3.141592653589793116e+00
2.520868113522537479e-01,2.265498299984229080e-01,9.471123196149118517e-02,3.141592653589793116e+00
2.537562604340567463e-01,2.277194230951894161e-01,9.590249424833389991e-02,3.141592653589793116e+00
2.554257095158598001e-01,2.288827522867034059e-01,9.709987432175640198e-02,3.141592653589793116e+00
2.570951585976627984e-01,2.300397855731303176e-01,9.830333924528251999e-02,3.141592653589793116e+00
2.587646076794657968e-01,2.311904911278180597e-01,9.951285591505952544e-02,3.141592653589793116e+00
2.604340567612687951e-01,2.323348372981720311e-01,1.007283910607685296e-01,3.141592653589793116e+00
2.621035058430717934e-01,2.334727926065260639e-01,1.019499112465397372e-01,3.141592653589793116e+00
2.637729549248747918e-01,2.346043257510081192e-01,1.031773828718721558e-01,3.141592653589793116e+00
2.654424040066777901e-01,2.357294056064014875e-01,1.044107721725577448e-01,3.141592653589793116e+00
2.671118530884807885e-01,2.368480012250007427e-01,1.056500452216103808e-01,3.141592653589793116e+00
2.687813021702837868e-01,2.379600818374631999e-01,1.068951679301988894e-01,3.141592653589793116e+00
2.704507512520868406e-01,2.390656168536551829e-01,1.081461060485849057e-01,3.141592653589793116e+00
2.721202003338898390e-01,2.401645758634935179e-01,1.094028251670647461e-01,3.141592653589793116e+00
2.737896494156928373e-01,2.412569286377820033e-01,1.106652907169162620e-01,3.141592653589793116e+00
2.754590984974958356e-01,2.423426451290430494e-01,1.119334679713493430e-01,3.141592653589793116e+00
2.771285475792988340e-01,2.434216954723439630e-01,1.132073220464615143e-01,3.141592653589793116e+00
2.787979966611018323e-01,2.444940499861186223e-01,1.144868179021971827e-01,3.141592653589793116e+00
2.804674457429048307e-01,2.455596791729838524e-01,1.157719203433117405e-01,3.141592653589793116e+00
2.821368948247078290e-01,2.466185537205509704e-01,1.170625940203394444e-01,3.141592653589793116e+00
2.838063439065108828e-01,2.476706445022318070e-01,1.183588034305660397e-01,3.141592653589793116e+00
2.854757929883138812e-01,2.487159225780401217e-01,1.196605129190050631e-01,3.141592653589793116e+00
2.871452420701168795e-01,2.497543591953875486e-01,1.209676866793787942e-01,3.141592653589793116e+00
2.888146911519198778e-01,2.507859257898746308e-01,1.222802887551032031e-01,3.141592653589793116e+00
2.904841402337228762e-01,2.518105939860763032e-01,1.235982830402768545e-01,3.141592653589793116e+00
2.921535893155258745e-01,2.528283355983226288e-01,1.249216332806742241e-01,3.141592653589793116e+00
2.938230383973288729e-01,2.538391226314741234e-01,1.262503030747429145e-01,3.141592653589793116e+00
2.954924874791318712e-01,2.548429272816915558e-01,1.275842558746048405e-01,3.141592653589793116e+00
2.971619365609349250e-01,2.558397219372011699e-01,1.289234549870617308e-01,3.141592653589793116e+00
2.988313856427379234e-01,2.568294791790537435e-01,1.302678635746042368e-01,3.141592653589793116e+00
3.005008347245409217e-01,2.578121717818790959e-01,1.316174446564255529e-01,3.141592653589793116e+00
3.021702838063439200e-01,2.587877727146349338e-01,1.329721611094383249e-01,3.141592653589793116e+00
3.038397328881469184e-01,2.597562551413504783e-01,1.343319756692959721e-01,3.141592653589793116e+00
3.055091819699499167e-01,2.607175924218643193e-01,1.356968509314177007e-01,3.141592653589793116e+00
3.071786310517529150e-01,2.616717581125576064e-01,1.370667493520173474e-01,3.141592653589793116e+00
3.088480801335559134e-01,2.626187259670812457e-01,1.384416332491361368e-01,3.141592653589793116e+00
3.105175292153589672e-01,2.635584699370778772e-01,1.398214648036792962e-01,3.141592653589793116e+00
3.121869782971619656e-01,2.644909641728981908e-01,1.412062060604559743e-01,3.141592653589793116e+00
3.138564273789649639e-01,2.654161830243124687e-01,1.425958189292238221e-01,3.141592653589793116e+00
3.155258764607679622e-01,2.663341010412157428e-01,1.439902651857364602e-01,3.141592653589793116e+00
3.171953255425709606e-01,2.672446929743279020e-01,1.453895064727948050e-01,3.141592653589793116e+00
3.188647746243739589e-01,2.681479337758883585e-01,1.467935043013023910e-01,3.141592653589793116e+00
3.205342237061769572e-01,2.690437986003450521e-01,1.482022200513239685e-01,3.141592653589793116e+00
3.222036727879799556e-01,2.699322628050376260e-01,1.496156149731479035e-01,3.141592653589793116e+00
3.238731218697829539e-01,2.708133019508754957e-01,1.510336501883519644e-01,3.141592653589793116e+00
3.255425709515860078e-01,2.716868918030101998e-01,1.524562866908728553e-01,3.141592653589793116e+00
3.272120200333890061e-01,2.725530083315018115e-01,1.538834853480791076e-01,3.141592653589793116e+00
3.288814691151920044e-01,2.734116277119799099e-01,1.553152069018475523e-01,3.141592653589793116e+00
3.305509181969950028e-01,2.742627263262990001e-01,1.567514119696431230e-01,3.141592653589793116e+00
3.322203672787980011e-01,2.751062807631884932e-01,1.581920610456022114e-01,3.141592653589793116e+00
3.338898163606009994e-01,2.759422678188959699e-01,1.596371145016193815e-01,3.141592653589793116e+00
3.355592654424039978e-01,2.767706644978261687e-01,1.610865325884373311e-01,3.141592653589793116e+00
3.372287145242069961e-01,2.775914480131731477e-01,1.625402754367404334e-01,3.141592653589793116e+00
3.388981636060100500e-01,2.784045957875471711e-01,1.639983030582512213e-01,3.141592653589793116e+00
3.405676126878130483e-01,2.792100854535955468e-01,1.654605753468305074e-01,3.141592653589793116e+00
3.422370617696160466e-01,2.800078948546183000e-01,1.669270520795805846e-01,3.141592653589793116e+00
3.439065108514190450e-01,2.807980020451774084e-01,1.683976929179515358e-01,3.141592653589793116e+00
3.455759599332220433e-01,2.815803852917004302e-01,1.698724574088509298e-01,3.141592653589793116e+00
3.472454090150250416e-01,2.823550230730783039e-01,1.713513049857565418e-01,3.141592653589793116e+00
3.489148580968280400e-01,2.831218940812574858e-01,1.728341949698322111e-01,3.141592653589793116e+00
3.505843071786310383e-01,2.838809772218259253e-01,1.743210865710467794e-01,3.141592653589793116e+00
