s,x,y,kappa
3.288814691151920044e-01,3.325401817585951769e-02,2.536017783291086292e-01,1.763623372605226169e+00
3.305509181969950028e-01,3.261415178813608512e-02,2.551437346152778951e-01,1.772522374710763016e+00
3.322203672787980011e-01,3.196972542324175159e-02,2.566837907256782070e-01,1.781091748434849187e+00
3.338898163606009994e-01,3.132072271625985227e-02,2.582219238897855429e-01,1.789344524215040089e+00
3.355592654424039978e-01,3.066712823744691119e-02,2.597581115025857645e-01,1.797293137698134480e+00
3.372287145242069961e-01,3.000892745748026322e-02,2.612923311218023903e-01,1.804949458802008300e+00
3.388981636060100500e-01,2.934610671471245269e-02,2.628245604625349396e-01,1.812324818860996167e+00
3.405676126878130483e-01,2.867865318365554750e-02,2.643547773937987011e-01,1.819430036736807921e+00
3.422370617696160466e-01,2.800655484483039609e-02,2.658829599351942297e-01,1.826275443621226291e+00
3.439065108514190450e-01,2.732980045606384079e-02,2.674090862533159418e-01,1.832870906538522471e+00
3.455759599332220433e-01,2.664837952517831732e-02,2.689331346580979276e-01,1.839225850649661265e+00
3.472454090150250416e-01,2.596228228327464305e-02,2.704550836010895520e-01,1.845349280699108752e+00
3.489148580968280400e-01,2.527149965980503982e-02,2.719749116718779836e-01,1.851249801096381820e+00
3.505843071786310383e-01,2.457602325913344626e-02,2.734925975940187826e-01,1.856935634922160627e+00
3.522537562604340922e-01,2.387584533632149467e-02,2.750081202254924806e-01,1.862414642567288947e+00
3.539232053422370905e-01,2.317095877626791992e-02,2.765214585535241132e-01,1.867694338673489440e+00
3.555926544240400888e-01,2.246135707231924905e-02,2.780325916932119834e-01,1.872781908713294197e+00
3.572621035058430872e-01,2.174703430571613139e-02,2.795414988861957273e-01,1.877684224719732509e+00
3.589315525876460855e-01,2.102798512660795580e-02,2.810481594979285513e-01,1.882407860043622261e+00
3.606010016694490838e-01,2.030420473573179771e-02,2.825525530154869847e-01,1.886959103430124296e+00
3.622704507512520822e-01,1.957568886648766368e-02,2.840546590462138532e-01,1.891343972477382174e+00
3.639398998330550805e-01,1.884243376797769751e-02,2.855544573159993771e-01,1.895568226369648279e+00
3.656093489148581344e-01,1.810443618906076857e-02,2.870519276671431030e-01,1.899637377921109094e+00
3.672787979966611327e-01,1.736169336248503253e-02,2.885470500573655284e-01,1.903556705138214511e+00
3.689482470784641310e-01,1.661420298962447764e-02,2.900398045588888918e-01,1.907331262203936451e+00
3.706176961602671294e-01,1.586196322662069766e-02,2.915301713562891139e-01,1.910965889780437355e+00
3.722871452420701277e-01,1.510497267136493536e-02,2.930181307441379612e-01,1.914465224777240904e+00
3.739565943238731260e-01,1.434323034799801257e-02,2.945036631294331575e-01,1.917833710119080104e+00
3.756260434056761244e-01,1.357673569744087538e-02,2.959867490255280176e-01,1.921075603165359302e+00
3.772954924874791227e-01,1.280548856214596722e-02,2.974673690558359840e-01,1.924194984690834831e+00
3.789649415692821210e-01,1.202948917643353183e-02,2.989455039497835864e-01,1.927195766651742304e+00
3.806343906510851749e-01,1.124873815503381336e-02,3.004211345423103419e-01,1.930081699916763815e+00
3.823038397328881732e-01,1.046323648160935732e-02,3.018942417740292927e-01,1.932856381680006397e+00
3.839732888146911716e-01,9.672985498499287252e-03,3.033648066902489560e-01,1.935523262400368649e+00
3.856427378964941699e-01,8.877986897408797484e-03,3.048328104393188687e-01,1.938085652336405618e+00
3.873121869782971682e-01,8.078242709470963984e-03,3.062982342724557272e-01,1.940546727901673929e+00
3.889816360601001666e-01,7.273755296001310940e-03,3.077610595431379270e-01,1.942909537670344466e+00
3.906510851419031649e-01,6.464527339638714148e-03,3.092212677064942183e-01,1.945177008090956505e+00
3.923205342237061632e-01,5.650561835903459423e-03,3.106788403186232506e-01,1.947351948917225739e+00
3.939899833055092171e-01,4.831862085358610941e-03,3.121337590355917624e-01,1.949437058345820262e+00
3.956594323873122154e-01,4.008431685003061018e-03,3.135860056138742302e-01,1.951434928042033112e+00
3.973288814691152138e-01,3.180274520600171340e-03,3.150355619099564075e-01,1.953348047849816194e+00
3.989983305509182121e-01,2.347394759946922708e-03,3.164824098791351736e-01,1.955178810200586925e+00
4.006677796327212104e-01,1.509796846686824482e-03,3.179265315740387177e-01,1.956929514279482696e+00
4.023372287145242088e-01,6.674854902223896968e-04,3.193679091484063481e-01,1.958602370497723788e+00
4.040066777963272071e-01,-1.795343362091273711e-04,3.208065248509044398e-01,1.960199503808807586e+00
4.056761268781302054e-01,-1.031257406837919957e-03,3.222423610310505837e-01,1.961722958017368290e+00
4.073455759599332593e-01,-1.887678244454997533e-03,3.236754001326864749e-01,1.963174698696539267e+00
4.090150250417362576e-01,-2.748791131524879958e-03,3.251056247001744004e-01,1.964556617195969634e+00
4.106844741235392560e-01,-3.614590111156145476e-03,3.265330173723446916e-01,1.965870533273462950e+00
4.123539232053422543e-01,-4.485068995146700328e-03,3.279575608854257140e-01,1.967118198472852297e+00
4.140233722871452526e-01,-5.360221370080505386e-03,3.293792380737832759e-01,1.968301299152909634e+00
4.156928213689482510e-01,-6.240040600146875421e-03,3.307980318669451192e-01,1.969421458986974072e+00
4.173622704507512493e-01,-7.124519833343233126e-03,3.322139252909559470e-01,1.970480241783290731e+00
4.190317195325542476e-01,-8.013652006391057403e-03,3.336269014683782008e-01,1.971479154045914894e+00
4.207011686143573015e-01,-8.907429849317910833e-03,3.350369436180958838e-01,1.972419647398024667e+00
4.223706176961602998e-01,-9.805845889916829997e-03,3.364440350551686221e-01,1.973303120898773910e+00
4.240400667779632982e-01,-1.070889245808957432e-02,3.378481591907326886e-01,1.974130923258937242e+00
4.257095158597662965e-01,-1.161656169007797487e-02,3.392492995319483229e-01,1.974904354960475006e+00
4.273789649415692948e-01,-1.252884553259155272e-02,3.406474396819896833e-01,1.975624670285126339e+00
4.290484140233722932e-01,-1.344573574683306620e-02,3.420425633400758780e-01,1.976293079257207319e+00
4.307178631051752915e-01,-1.436722391243005874e-02,3.434346543015424635e-01,1.976910749506150200e+00
4.323873121869782898e-01,-1.529330143127383135e-02,3.448236964579503017e-01,1.977478808054996096e+00
4.340567612687812882e-01,-1.622395953126316154e-02,3.462096737972200633e-01,1.977998343040793472e+00
4.357262103505843420e-01,-1.715918926869210853e-02,3.475925704023208884e-01,1.978470405107743080e+00
4.373956594323873404e-01,-1.809898153284108385e-02,3.489723704526570547e-01,1.978896009150335589e+00
